ym,ic,n,nan_share
2005-08,-0.08610022006418629,1088,0.0
2005-09,-0.11789124835222671,1048,0.0
2005-10,-0.10245880368813652,1033,0.0
2005-11,-0.16366457377574867,1062,0.0
2005-12,-0.15847502010735162,986,0.0
2006-01,-0.0834356919139557,918,0.0
2006-02,0.06567755727845412,865,0.0
2006-03,-0.010041075707765194,812,0.0
2006-04,-0.07106283312063398,672,0.0
2006-05,-0.155672643204171,509,0.0
2006-06,-0.16994455980965403,663,0.0
2006-07,-0.0840836993451358,701,0.0
2006-08,-0.06941134071768547,760,0.0
2006-09,-0.26182818414005493,797,0.0
2006-10,-0.042377558913027205,776,0.0
2006-11,0.07609251488946323,822,0.0
2006-12,-0.041571857429087575,760,0.0
2007-01,-0.1966895295079072,794,0.0
2007-02,-0.14580727490271025,732,0.0
2007-03,-0.06798661558853492,973,0.0
2007-04,-0.10101791078771807,963,0.0
2007-05,0.035940367293747215,937,0.0
2007-06,-0.12726530728750757,993,0.0
2007-07,-0.15117237046034765,1096,0.0
2007-08,-0.11225924584063078,1119,0.0
2007-09,-0.1141149964004313,1097,0.0
2007-10,-0.2571888130612828,1079,0.0
2007-11,0.050049749255651775,1113,0.0
2007-12,-0.13350688605946903,1076,0.0
2008-01,0.005867765131627538,1001,0.0
2008-02,-0.11603611577889439,982,0.0
2008-03,-0.048309640663675026,1153,0.0
2008-04,-0.01869845801816668,1211,0.0
2008-05,-0.1393075166368163,1243,0.0
2008-06,-0.04316390386648024,1252,0.0
2008-07,-0.1650636585454972,1275,0.0
2008-08,-0.1318426091294079,1289,0.0
2008-09,-0.14566383218135043,1287,0.0
2008-10,-0.06888184406831553,1306,0.0
2008-11,-0.06903515186991549,1315,0.0
2008-12,-0.12173870793054169,1339,0.0
2009-01,-0.12895449088903713,1338,0.0
2009-02,-0.046509376447796284,1359,0.0
2009-03,-0.06915704300677787,1360,0.0
2009-04,-0.09489833463511066,1366,0.0
2009-05,-0.14751667519473863,1348,0.0
2009-06,-0.10143995504530065,1333,0.0
2009-07,-0.0641173340890282,1303,0.0
2009-08,-0.1772514637081141,1274,0.0
2009-09,-0.038550324707076186,1272,0.0
2009-10,-0.12072287245699825,1256,0.0
2009-11,-0.10026132592545417,1302,0.0
2009-12,-0.02367772743419808,1340,0.0
2010-01,0.12607727269447078,1362,0.0
2010-02,-0.1116948202389627,1359,0.0
2010-03,-0.08256201001021835,1373,0.0
2010-04,0.10027140711066608,1364,0.0
2010-05,-0.16369762919469089,1392,0.0
2010-06,-0.11389160645555478,1372,0.0
2010-07,0.056993135734442604,1435,0.0
2010-08,-0.037993940158367163,1473,0.0
2010-09,-0.02786886341801174,1464,0.0
2010-10,-0.11416830588854715,1496,0.0
2010-11,-0.1230818181212401,1546,0.0
2010-12,-0.1931789517353689,1576,0.0
2011-01,0.06730297743862874,1558,0.0
2011-02,-0.24287651892126527,1533,0.0
2011-03,-0.15411079667737818,1600,0.0
2011-04,-0.11407075092418589,1570,0.0
2011-05,0.043205462772928,1622,0.0
2011-06,-0.06359733922667758,1532,0.0
2011-07,-0.08136865569691334,1595,0.0
2011-08,-0.28635533967449234,1550,0.0
2011-09,-0.046521046037608496,1631,0.0
