ym,ic,n,nan_share
2011-10,-0.09377887061166106,1618,0.0
2011-11,-0.17269313281221652,1825,0.0
2011-12,-0.13210161088424635,1856,0.0
2012-01,0.12819118623014217,1837,0.0
2012-02,-0.16015090265021886,1943,0.0
2012-03,-0.17584147262897803,1969,0.0
2012-04,-0.057190489675318736,1961,0.0
2012-05,-0.12599022332921048,1999,0.0
2012-06,-0.10493942157246423,2009,0.0
2012-07,0.09514907749689079,2006,0.0
2012-08,-0.12304225294497984,1900,0.0
2012-09,-0.13784875728427776,1915,0.0
2012-10,-0.19785499564686887,1827,0.0
2012-11,0.028974645080401488,1915,0.0
2012-12,-0.14226010897124788,1976,0.0
2013-01,0.03145885329324753,2058,0.0
2013-02,-0.03448561718264579,2020,0.0
2013-03,-0.07005116477057052,2092,0.0
2013-04,0.11732337211573621,2057,0.0
2013-05,0.07738869087986949,2068,0.0
2013-06,0.04220490542148685,1973,0.0
2013-07,-0.20622157741530586,1989,0.0
2013-08,-0.06517474331025769,1986,0.0
2013-09,-0.18106558311655782,1913,0.0
2013-10,0.07184954785971455,1871,0.0
2013-11,-0.1831921774341134,1918,0.0
2013-12,0.19758559195292782,1912,0.0
2014-01,-0.05071324911056177,1836,0.0
2014-02,-0.32584352349936835,1621,0.0
2014-03,-0.08711569391343646,1740,0.0
2014-04,0.0023993408199219674,1817,0.0
2014-05,-0.00892377972601837,1800,0.0
2014-06,-0.29449836053681794,1676,0.0
2014-07,-0.04978606901952433,1708,0.0
2014-08,-0.040868266280750555,1680,0.0
2014-09,-0.1555008716084601,1478,0.0
2014-10,-0.11916845354890844,1296,0.0
2014-11,-0.10209629090881651,1277,0.0
2014-12,-0.11667509187207054,1248,0.0
2015-01,0.10846221287229381,1765,0.0
2015-02,-0.006426940902107267,1709,0.0
2015-03,-0.05981486834966342,1872,0.0
2015-04,0.03711076051208778,1841,0.0
2015-05,-0.3215918999093546,1945,0.0
2015-06,-0.14176130536905063,2030,0.0
2015-07,-0.16323872140841456,2096,0.0
2015-08,-0.09399408031875048,2156,0.0
2015-09,-0.005264411839681105,2262,0.0
2015-10,-0.00624834251474599,2253,0.0
2015-11,-0.18771619067766615,2366,0.0
2015-12,-0.2765860957863468,2371,0.0
2016-01,-0.06677812682362984,2337,0.0
2016-02,-0.17394270708487938,2313,0.0
2016-03,-0.10371429039553332,2492,0.0
2016-04,-0.0878613532308919,2472,0.0
2016-05,0.02211264154026276,2426,0.0
2016-06,-0.4003076981860692,2449,0.0
2016-07,-0.12035595239240308,2479,0.0
2016-08,-0.05264269254375711,2402,0.0
2016-09,-0.11224821790784853,2305,0.0
2016-10,-0.18013194313128147,2190,0.0
2016-11,-0.07141549789812301,2184,0.0
2016-12,-0.1486955712807427,1942,0.0
2017-01,-0.08012946718415521,1728,0.0
2017-02,-0.09286056859989843,1735,0.0
2017-03,-0.1377944241277694,1860,0.0
2017-04,-0.08671395164646872,1697,0.0
2017-05,-0.17680749451565306,1917,0.0
2017-06,-0.19517257061178372,2047,0.0
2017-07,-0.16836706619909253,2066,0.0
2017-08,-0.032310082034830066,2120,0.0
2017-09,-0.2712520189793133,2174,0.0
2017-10,-0.1690290902382725,2059,0.0
2017-11,-0.0251355032672026,2198,0.0
2017-12,-0.21484788580811842,2141,0.0
2018-01,0.06470261576287896,2172,0.0
2018-02,0.00966689417287246,1838,0.0
2018-03,-0.16513849842035594,2427,0.0
2018-04,-0.06904396198316068,2384,0.0
2018-05,-0.07077679390009661,2645,0.0
2018-06,-0.2399631602767125,2688,0.0
2018-07,-0.17755657434381833,2863,0.0
2018-08,-0.07983744865310193,2909,0.0
2018-09,-0.12623378472979424,2790,0.0
2018-10,-0.15136148752496897,2777,0.0
2018-11,-0.058442299123635695,3009,0.0
2018-12,-0.20564230535397218,3072,0.0
2019-01,0.25571925739706136,3079,0.0
2019-02,-0.03443633429924051,3033,0.0
2019-03,-0.20927849763571457,3140,0.0
2019-04,-0.1407640956544359,3203,0.0
2019-05,-0.20488101655591576,3146,0.0
2019-06,-0.18288011771349721,3106,0.0
2019-07,0.06171020829538163,3200,0.0
2019-08,-0.06057343212878963,3229,0.0
2019-09,-0.14700236585633245,3150,0.0
2019-10,-0.08092624155534318,3075,0.0
2019-11,0.06845835703389334,2937,0.0
2019-12,0.07452847739627359,2756,0.0
2020-01,0.23345200125407348,2455,0.0
2020-02,-0.34762402829334055,2592,0.0
2020-03,-0.07865655856220372,3221,0.0
2020-04,-0.05468704051292845,3311,0.0
2020-05,0.039298436349404414,3267,0.0
2020-06,-0.09500598838889876,3324,0.0
2020-07,-0.20033392935243685,3304,0.0
2020-08,-0.08872180859005616,3128,0.0
2020-09,0.10953193538706485,2935,0.0
2020-10,-0.2753792387304101,2637,0.0
2020-11,-0.04431656423429519,2842,0.0
2020-12,-0.11189935553705728,2857,0.0
2021-01,-0.1456489071522556,2871,0.0
2021-02,-0.24209231464580652,2280,0.0
2021-03,-0.15083711479164974,2551,0.0
2021-04,0.1174623775680816,2533,0.0
2021-05,0.018083826958088235,2170,0.0
2021-06,0.05593627944336225,2176,0.0
2021-07,-0.14610867447925088,1970,0.0
2021-08,-0.28961426231043047,1865,0.0
2021-09,-0.1330703446031373,1472,0.0
2021-10,0.04504912700686594,1360,0.0
2021-11,-0.3220951744831757,2058,0.0
2021-12,-0.2597963952926704,2202,0.0
2022-01,0.01778828823336455,2036,0.0
2022-02,-0.033263652590517626,2250,0.0
2022-03,-0.2673909429488016,2974,0.0
2022-04,-0.03551785361418844,2880,0.0
2022-05,-0.08880529139795129,3461,0.0
2022-06,0.04020052356656901,4070,0.0
2022-07,-0.28417924840500086,4136,0.0
2022-08,-0.16984808058485673,4111,0.0
2022-09,-0.03917831359609332,4117,0.0
2022-10,-0.14680025766349197,4025,0.0
2022-11,-0.1451465711199038,3894,0.0
2022-12,-0.13081535396455649,3931,0.0
2023-01,-0.13589063692476175,3844,0.0
2023-02,-0.027553638746135117,4025,0.0
2023-03,-0.0688783213893629,4009,0.0
2023-04,-0.007117707607860492,3747,0.0
2023-05,-0.0023132150475658865,3631,0.0
2023-06,-0.45078800080342957,3577,0.0
2023-07,0.04582437750041671,3490,0.0
2023-08,-0.1885295121297862,3483,0.0
2023-09,-0.017084242053780913,3710,0.0
2023-10,0.0034300038991185323,3598,0.0
2023-11,-0.13958437724517753,4026,0.0
2023-12,-0.2736901129904633,4145,0.0
2024-01,0.045233270418846463,4253,0.0
2024-02,-0.052748207151680104,4219,0.0
2024-03,-0.278614098885179,4834,0.0
2024-04,-0.007981756659715995,4837,0.0
2024-05,-0.07201237104205958,4857,0.0
2024-06,-0.1385236547338822,4845,0.0
2024-07,-0.15066236510945735,4883,0.0
2024-08,0.023392263174048605,4895,0.0
2024-09,0.15398464471716214,4708,0.0
2024-10,-0.26166498641513536,4722,0.0
2024-11,-0.24534984151215622,4916,0.0
2024-12,-0.043031877956823214,4921,0.0
2025-01,0.12752259317306833,4895,0.0
2025-02,-0.2754552299146164,4899,0.0
2025-03,-0.10255438901259772,4925,0.0
2025-04,0.02643182707867309,4921,0.0
2025-05,-0.06873207021340572,4784,0.0
2025-06,-0.160294264804063,4797,0.0
2025-07,-0.010819811311075104,4753,0.0
2025-08,-0.03389076293508522,4660,0.0
2025-09,-0.25600236004925003,4614,0.0
2025-10,-0.1635941715362345,3589,0.0
2025-11,-0.012331973648738202,3594,0.0
2025-12,-0.08380543164135058,3723,0.0
2026-01,0.010247364701932648,3604,0.0
2026-02,-0.21663052453936793,3347,0.0
2026-03,0.061160596390217446,3805,0.0
2026-04,0.07891185872422693,4350,0.0
2026-05,0.11669591013363421,4216,0.0
2026-06,-0.5849350409672183,4319,0.0
2026-07,0.1952148226765068,4285,0.0
