,shr_roll20,epct,pct60,snowball,nav_end,mdd_intra,ret,mdd,crow_state
2020-01,0.0838825931725126,23.93822393822394,,0.5579071681318304,26.99489046556583,-0.026184734962897638,0.002078773944095502,-0.026184734962897638,low
2020-02,0.0657966899205948,0.0,,0.5133274554243143,25.90758691497629,-0.044548068872636515,-0.04027812418711185,-0.044548068872636515,low
2020-03,0.0705867022640068,15.282392026578073,,0.1411826941533958,27.00380042936336,-0.02889700279367491,0.04231245148321339,-0.02889700279367491,low
2020-04,0.0778031055658445,31.987577639751553,,0.1588098430332192,27.597563230195437,-0.0061883008771239645,0.02198811987169158,-0.0061883008771239645,mid
2020-05,0.0877401633014804,47.05882352941176,,0.367287199658316,28.420738925369587,-0.006587058727034356,0.029827839809910772,-0.006587058727034356,mid
2020-06,0.078593648434322,32.22222222222222,,0.5262952861642296,29.74939030861893,-0.014826331889847277,0.04674936097679483,-0.014826331889847277,mid
2020-07,0.0571232742197337,0.5221932114882507,,0.6978535165084021,32.613796781156886,-0.046410512625528755,0.0962845437443498,-0.046410512625528755,low
2020-08,0.068728474088216,16.08910891089109,,0.7650086931885676,34.7768897873641,-0.018210046010797676,0.06632447674589592,-0.018210046010797676,low
2020-09,0.0880663438249819,56.10328638497653,,0.5056553268036534,33.03558881831095,-0.06833825718911368,-0.050070635404717456,-0.06833825718911368,mid
2020-10,0.0959724259392933,71.04072398190046,,0.5188015397663628,33.161660507948724,-0.03234802609203591,0.0038162386125806247,-0.03234802609203591,high
2020-11,0.0747374937343674,28.725701943844495,,0.6229397648567703,34.109108057533426,-0.01438605847073493,0.02857057020282805,-0.01438605847073493,low
2020-12,0.0589346772093782,3.7037037037037033,,0.5202872424249658,32.46956730708538,-0.06504074320044018,-0.048067535148751395,-0.06504074320044018,low
2021-01,0.043422933966161,0.592885375494071,,0.4350846052982922,30.816837775072475,-0.06774146872923348,-0.05090087947221433,-0.06774146872923348,low
2021-02,0.0449942105579932,2.3032629558541267,,0.4675761598420014,31.152676584816767,-0.014685969800666054,0.010897899784381826,-0.014685969800666054,low
2021-03,0.0616373400562818,15.808823529411764,,0.5270300335659615,31.61725198742508,-0.012429485097813386,0.014912856728167556,-0.012429485097813386,low
2021-04,0.077339548627707,43.53982300884956,,0.5243402454284185,31.6487290902389,-0.008732642594848739,0.000995567319586721,-0.008732642594848739,mid
2021-05,0.0555644007499879,8.576329331046312,,0.5352276000205882,32.03063123580431,-0.004402341563258583,0.012066903049297917,-0.004402341563258583,low
2021-06,0.055959982927572,8.940397350993377,,0.49425443009948,32.864545882114,-0.01576031181673887,0.02603491139998293,-0.01576031181673887,low
2021-07,0.0457993744903726,3.5143769968051117,,0.296056602030418,32.35444676881265,-0.04841687612722645,-0.01552125853590336,-0.04841687612722645,low
2021-08,0.0476494093188235,9.5679012345679,,0.3604567559029223,34.08297723566058,-0.016137905570989597,0.053424819135343915,-0.016137905570989597,low
2021-09,0.0398493313958823,0.0,,0.3975038071489409,34.13086100803328,-0.04453786712877705,0.0014049175352732757,-0.04453786712877705,low
2021-10,0.0446765297992332,5.847953216374268,,0.3654624307128584,33.788946323839305,-0.032813695432537204,-0.010017757363738888,-0.032813695432537204,low
2021-11,0.060785986858945,29.745042492917843,,0.4306498592933088,36.226462369363794,-0.010199199912097168,0.07213945123245047,-0.010199199912097168,low
2021-12,0.0593153074863957,27.846364883401918,,0.46207444216533,37.14180863216365,-0.019708357855319436,0.025267337822473923,-0.019708357855319436,low
2022-01,0.0620263162232722,32.219251336898395,3.333333333333333,0.2817547671593661,35.74800289262752,-0.08052107930894181,-0.03752659848473672,-0.08052107930894181,mid
2022-02,0.0590362166206542,26.308900523560208,16.666666666666664,0.354802391588259,36.83252380928222,-0.011904954254274736,0.03033794418983815,-0.011904954254274736,low
2022-03,0.0582824958052881,24.650571791613725,48.333333333333336,0.2601821351972375,35.485224422994854,-0.07248796590619544,-0.036579067816901345,-0.07248796590619544,low
2022-04,0.0575103041984961,24.68982630272953,91.66666666666666,0.1208350533843831,33.85732139638155,-0.05895958455975436,-0.04587551729159711,-0.05895958455975436,low
2022-05,0.056333827781635,19.03030303030303,46.66666666666666,0.1451255598086995,34.605037258598294,-0.010259830423669625,0.02208431829154245,-0.010259830423669625,low
2022-06,0.0509543144114167,14.657210401891252,75.0,0.228639370871144,35.246899218908474,-0.008856430906574175,0.018548223355855376,-0.008856430906574175,low
2022-07,0.0538069466053652,19.83852364475202,83.33333333333334,0.1349079237424926,36.09870993322831,-0.020156851819669863,0.024166968817014967,-0.020156851819669863,low
2022-08,0.0604856481194432,38.08988764044944,48.333333333333336,0.1160765310533005,35.916732600478475,-0.02766755689191136,-0.005041103493350185,-0.02766755689191136,mid
2022-09,0.0624826360539229,45.225027442371015,1.6666666666666667,-0.059234605401837,35.23553866779495,-0.02506224056610562,-0.018965921545838316,-0.02506224056610562,mid
2022-10,0.0630307973014873,46.92556634304207,63.33333333333333,0.0269913222851103,35.77198898653733,-0.011278088512106876,0.01522469469815979,-0.011278088512106876,mid
2022-11,0.0639774891381145,48.99894625922023,41.66666666666667,0.0831370150385655,36.43985173251093,-0.004125831972498273,0.018669991937684705,-0.004125831972498273,mid
2022-12,0.0609028607893374,38.516992790937174,8.333333333333332,0.0021906649203777,35.752738857111,-0.02890676820975291,-0.018856083181779337,-0.02890676820975291,mid
2023-01,0.056384490362913,20.364741641337385,43.333333333333336,0.101778809155649,37.05494643742063,-0.004411797778589355,0.03642259647614754,-0.004411797778589355,low
2023-02,0.0672124574601175,55.71002979145978,48.333333333333336,0.1755313538881091,38.5552213094026,-0.016272108772300342,0.040487843492519104,-0.016272108772300342,mid
2023-03,0.0656197733268216,52.81553398058253,33.33333333333333,0.251500461844564,38.36524125388929,-0.023357456058187842,-0.004927479315673833,-0.023357456058187842,mid
2023-04,0.0541831702985209,16.873212583412776,10.0,0.2844165309654729,37.21046189397171,-0.06381158586411695,-0.030099624612695774,-0.06381158586411695,low
2023-05,0.0610245439044749,41.066417212347986,78.33333333333333,0.294831364103256,39.636736943016224,-0.014684112945928973,0.06520410996127901,-0.014684112945928973,mid
2023-06,0.0680335145871397,58.31037649219467,86.66666666666667,0.187150794870865,40.489512487610334,-0.020604308481782962,0.021514776703745797,-0.020604308481782962,mid
2023-07,0.0827720573863641,76.30630630630631,88.33333333333333,0.2056201757315336,41.19629773655046,-0.008144479040557595,0.017456007877506563,-0.008144479040557595,high
2023-08,0.1007898060192356,92.40953221535746,85.0,0.1090528143833653,40.707061969007405,-0.04891806482345107,-0.011875721713434317,-0.04891806482345107,high
2023-09,0.0882288459643172,79.09800520381613,16.666666666666664,0.1946356069288055,40.85712931321904,-0.009538746709142787,0.0036865186764372115,-0.009538746709142787,high
2023-10,0.076430173155619,65.8974358974359,50.0,0.1449092098082167,40.64873691680505,-0.02123874614437793,-0.005100514889737173,-0.02123874614437793,mid
2023-11,0.0794169830597939,71.30872483221476,41.66666666666667,0.1148598928296558,41.02334930779412,-0.004026178350522547,0.009215843330034668,-0.004026178350522547,high
2023-12,0.0785790097502388,69.08491343775762,56.66666666666666,0.1175184175898582,40.77166443668343,-0.020817838451408277,-0.006135161447260784,-0.020817838451408277,mid
2024-01,0.0771367246739603,64.8582995951417,76.66666666666667,-0.0455552311517795,39.05275145277426,-0.04442237159525797,-0.04215949992864687,-0.04442237159525797,mid
2024-02,0.070002104362972,54.879999999999995,90.0,0.0468557243433471,39.34059639059641,-0.042926698645099126,0.0073706698533198,-0.042926698645099126,mid
2024-03,0.066448507084012,47.36428009441384,50.0,0.076027035098827,39.82746597092777,-0.009867537462931009,0.012375754945284312,-0.009867537462931009,mid
2024-04,0.0639669926587683,42.91247095274981,20.0,0.0575887539070096,40.270661603839216,-0.030695834636385033,0.011127889312238848,-0.030695834636385033,mid
2024-05,0.0664180102456653,47.59725400457666,30.0,0.0838971965608916,41.05884352178496,-0.014904306599795691,0.01957211246488688,-0.014904306599795691,mid
2024-06,0.0722083296721126,61.278195488721806,51.66666666666667,0.022243493876692,39.54827697904128,-0.03826591973457849,-0.03679028470303114,-0.03826591973457849,mid
2024-07,0.0673170531948036,47.74575018477458,96.66666666666669,0.0176976073844512,39.190205499896216,-0.023526313720641512,-0.00905403487830403,-0.023526313720641512,mid
2024-08,0.0736842180667901,63.490909090909085,81.66666666666667,-0.0128470994547322,39.07469214705655,-0.013857334324081871,-0.0029475056679652,-0.013857334324081871,mid
2024-09,0.0582861048196781,22.022955523672884,100.0,0.2560844417281946,41.811663710702014,-0.0160515810118258,0.07004460977824056,-0.0160515810118258,low
2024-10,0.0475249881196601,7.436260623229461,80.0,0.3183488158543304,42.67758037528906,-0.06163511723359161,0.02070993085992434,-0.06163511723359161,low
2024-11,0.0475154091387098,8.722958827634333,61.66666666666667,0.2913359808792015,44.34383229610473,-0.03203518724792298,0.039042792636399204,-0.03203518724792298,low
2024-12,0.0535676722015114,15.601374570446735,3.333333333333333,0.3132928522330969,43.00117873579463,-0.05905910830817884,-0.030278248197958324,-0.05905910830817884,low
2025-01,0.0493242512287234,10.52274270196877,11.666666666666666,0.3374544374536621,43.34004979839683,-0.02452568133662958,0.007880506362029527,-0.02452568133662958,low
2025-02,0.0464268867997353,7.176391683433938,68.33333333333333,0.524134340262107,45.148619480413785,-0.018188614028532557,0.041729755513198796,-0.018188614028532557,low
2025-03,0.0596665498980525,31.613756613756617,50.0,0.3577441341223422,49.22166301105802,-0.03135391932846898,0.09021413229281983,-0.03135391932846898,mid
2025-04,0.0626403702463071,42.922374429223744,41.66666666666667,0.3560065541069206,49.41834160957109,-0.09671629847200569,0.0039957731308037925,-0.09671629847200569,mid
2025-05,0.0710544736333572,62.88659793814433,45.0,0.3067793126395823,51.35690322050344,-0.013360403316017289,0.039227573159939855,-0.013360403316017289,mid
2025-06,0.0675073200275637,51.781170483460556,78.33333333333333,0.4183969094738957,52.84535196927957,-0.018752052741454084,0.028982447449866555,-0.018752052741454084,mid
2025-07,0.061466492329248,37.492163009404386,93.33333333333331,0.6025537214570174,55.78493574267728,-0.009507398003588574,0.05562615563818296,-0.009507398003588574,mid
2025-08,0.056554026099521,20.915841584158414,33.33333333333333,0.8740367680315002,57.34970471459661,-0.02408754772315269,0.02805002732524864,-0.02408754772315269,low
2025-09,0.0396307441856541,0.0,1.6666666666666667,1.0761214196245912,58.93856814158316,-0.019692705336125882,0.027704823152858493,-0.019692705336125882,low
2025-10,0.0426730761346598,2.416918429003021,18.33333333333333,0.6247732720805952,60.933885083881634,-0.014746148010269522,0.03385418080577196,-0.014746148010269522,low
2025-11,0.0508021944558187,15.641791044776118,3.333333333333333,0.4835790312842487,62.0652537528096,-0.05215199175919327,0.018567151386630343,-0.05215199175919327,low
2025-12,0.0438613536774426,3.297997644287397,23.33333333333333,0.5847471630006098,61.33605696828055,-0.04522304983404435,-0.011748873007645488,-0.04522304983404435,low
2026-01,0.0382656032963901,0.11641443538998836,71.66666666666667,0.8867364849537493,66.26453470774176,-0.021806866082719645,0.08035204711659127,-0.021806866082719645,low
2026-02,0.0404268565022574,2.367205542725173,31.666666666666664,0.8349582190411715,71.0521465419196,-0.0028838025038363524,0.07224998795046988,-0.0028838025038363524,low
2026-03,0.040240554874019,2.8506271379703536,8.333333333333332,0.5588784283215928,67.8231544614454,-0.10291907520084431,-0.04544538395569997,-0.10291907520084431,low
2026-04,0.0372644584795093,0.0,68.33333333333333,0.8781969470550297,70.76823439531792,-0.0274489665117299,0.04342292771927436,-0.0274489665117299,low
2026-05,0.0310934655843017,0.0,50.0,0.8283301812661705,67.16866094056572,-0.07324092789694592,-0.05086425407541828,-0.07324092789694592,low
2026-06,0.0231581559988228,0.0,5.0,0.9572814750421652,62.94598427873959,-0.0926565115413982,-0.06286676855985818,-0.0926565115413982,low
2026-07,0.0243777058358952,1.3609145345672293,51.66666666666667,0.5400800152701273,62.73930028086797,-0.05878532113959367,-0.003283513638556612,-0.05878532113959367,low
2026-08,0.0275489443648331,2.4864864864864864,63.33333333333333,0.543543625845518,64.30956281284777,-0.004728660727865486,0.02502837176937156,-0.004728660727865486,low
