ep_start,ep_end,days,tstat_first,fwd21,fwd42,fwd63
2019-02-11,2019-03-26,32,-2.607,-0.0559,-0.0465,-0.0716
2019-05-20,2019-07-12,39,-2.09,0.0015,0.0411,0.027
2019-07-26,2019-08-28,24,-2.212,0.0159,-0.0367,-0.0418
2019-11-12,2020-01-03,38,-2.314,-0.0009,0.0601,0.0513
2020-05-15,2020-06-15,22,-2.098,-0.0492,-0.0296,-0.0431
2020-07-28,2020-08-27,23,-2.323,-0.0249,-0.048,-0.1069
2020-10-22,2021-03-23,103,-2.312,0.0042,-0.0624,-0.0192
2021-06-01,2021-06-22,15,-2.339,-0.0186,0.0384,0.0271
2021-10-22,2021-11-24,24,-2.65,-0.0195,-0.0333,-0.0146
2022-04-11,2022-06-29,54,-2.011,0.0963,0.084,0.0581
2022-10-14,2022-10-27,10,-2.462,-0.0175,-0.0787,-0.0739
2022-12-30,2023-02-20,31,-2.646,0.0292,-0.0388,0.0252
2023-04-25,2023-06-02,26,-3.002,0.0148,-0.0416,0.0152
2023-08-15,2023-08-22,6,-2.27,-0.011,0.0202,0.0806
2023-08-24,2023-08-29,4,-2.009,0.0031,0.0317,0.099
2024-01-25,2024-04-25,58,-2.014,0.0044,-0.0381,-0.0552
2024-05-20,2024-08-15,63,-2.268,-0.0162,0.0095,0.0784
2025-01-17,2025-03-03,26,-2.083,0.0019,0.0168,0.0561
2025-09-12,2025-11-25,47,-2.208,-0.0468,0.0175,-0.0099
2025-12-29,2026-01-27,20,-2.198,-0.0224,-0.0628,-0.0535
2026-04-10,2026-08-07,82,-2.586,,,
