k,sh513100_ret,sh513100_trend_gross,sh513100_trend_cash,sh513100_mom_gross,sh513100_mom_cash,sh513100_mix_gross,sh513100_mix_cash,sh513100_sma200_gross,sh513100_sma200_cash,sh513100_sma240_gross,sh513100_sma240_cash,sh513100_ma50_200_gross,sh513100_ma50_200_cash,sh513100_buyhold_cash,sh513500_ret,sh513500_trend_gross,sh513500_trend_cash,sh513500_mom_gross,sh513500_mom_cash,sh513500_mix_gross,sh513500_mix_cash,sh513500_sma200_gross,sh513500_sma200_cash,sh513500_sma240_gross,sh513500_sma240_cash,sh513500_ma50_200_gross,sh513500_ma50_200_cash,sh513500_buyhold_cash,hs300_ret
201502,0.0586080586080584,0.0586080586080584,0.0586080586080584,0.0586080586080584,0.0586080586080584,0.03452974076440798,0.036046222449144925,0.0586080586080584,0.06012454029279535,0.0586080586080584,0.06012454029279535,0.0586080586080584,0.06012454029279535,,0.044642857142856984,0.044642857142856984,0.044642857142856984,0.044642857142856984,0.044642857142856984,0.028699157419080256,0.030017430812662258,0.044642857142856984,0.045961130536438986,0.044642857142856984,0.045961130536438986,0.044642857142856984,0.045961130536438986,,0.04031370927588296
201503,-0.00692041522491349,-0.00692041522491349,-0.00692041522491349,-0.00692041522491349,-0.00692041522491349,-0.0030627308799241865,-0.0012101313169332795,-0.00692041522491349,-0.0050678156619225825,-0.00692041522491349,-0.0050678156619225825,-0.00692041522491349,-0.0050678156619225825,,-0.017094017094017144,-0.017094017094017144,-0.017094017094017144,-0.017094017094017144,-0.017094017094017144,-0.012515791096371765,-0.011625688403681606,-0.017094017094017144,-0.016203914401326985,-0.017094017094017144,-0.016203914401326985,-0.017094017094017144,-0.016203914401326985,,0.1338880549747079
201504,0.013937282229965264,0.013937282229965264,0.013937282229965264,0.013937282229965264,0.013937282229965264,0.006790000398784024,0.008707305499348167,0.013937282229965264,0.015854587330529406,0.013937282229965264,0.015854587330529406,0.013937282229965264,0.015854587330529406,,0.006956521739130528,0.006956521739130528,0.006956521739130528,0.006956521739130528,0.006956521739130528,0.006896485931906499,0.00692875204282899,0.006956521739130528,0.006988787850053019,0.006956521739130528,0.006988787850053019,0.006956521739130528,0.006988787850053019,,0.1724628036504703
201505,0.010309278350515427,0.010309278350515427,0.010309278350515427,0.010309278350515427,0.010309278350515427,0.005071438001545126,0.0068752346266095984,0.010309278350515427,0.0121130749755799,0.010309278350515427,0.0121130749755799,0.010309278350515427,0.0121130749755799,,0.008635578583765069,0.008635578583765069,0.008635578583765069,0.008635578583765069,0.008635578583765069,0.008635578583765069,0.008635578583765069,0.008635578583765069,0.008635578583765069,0.008635578583765069,0.008635578583765069,0.008635578583765069,0.008635578583765069,,0.019146354249343966
201506,-0.030612244897959218,-0.030612244897959218,-0.030612244897959218,-0.030612244897959218,-0.030612244897959218,-0.02431766849401475,-0.023600568862122927,-0.030612244897959218,-0.029895145266067395,-0.030612244897959218,-0.029895145266067395,-0.030612244897959218,-0.029895145266067395,,-0.025684931506849362,-0.025684931506849362,-0.025684931506849362,-0.025684931506849362,-0.025684931506849362,-0.025684931506849362,-0.025684931506849362,-0.025684931506849362,-0.025684931506849362,-0.025684931506849362,-0.025684931506849362,-0.025684931506849362,-0.025684931506849362,,-0.07598512568818283
201507,0.06666666666666665,0.06666666666666665,0.06666666666666665,0.06666666666666665,0.06666666666666665,0.02798555318758901,0.02977272263364983,0.06666666666666665,0.06845383611272747,0.06666666666666665,0.06845383611272747,0.06666666666666665,0.06845383611272747,,0.03163444639718804,0.03163444639718804,0.03163444639718804,0.03163444639718804,0.03163444639718804,0.013272537181427947,0.01506039550956267,0.03163444639718804,0.03342230472532277,0.03163444639718804,0.03342230472532277,0.03163444639718804,0.03342230472532277,,-0.14672463524463897
201508,-0.03618421052631582,-0.03618421052631582,-0.03618421052631582,-0.03618421052631582,-0.03618421052631582,-0.011377350023986266,-0.009438167331249593,-0.03618421052631582,-0.03424502783357915,-0.03618421052631582,-0.03424502783357915,-0.03618421052631582,-0.03424502783357915,,-0.02555366269165249,-0.0,0.00282856409001786,-0.02555366269165249,-0.02555366269165249,-0.0,0.00282856409001786,-0.0,0.00282856409001786,-0.02555366269165249,-0.02272509860163463,-0.02555366269165249,-0.02272509860163463,,-0.11794563836446104
201509,-0.05802047781569952,-0.0,0.002709435743662114,-0.05802047781569952,-0.05802047781569952,-0.0,0.002709435743662114,-0.0,0.002709435743662114,-0.0,0.002709435743662114,-0.05802047781569952,-0.05531104207203741,,-0.04195804195804176,-0.0,0.002709435743662114,-0.04195804195804176,-0.04195804195804176,-0.0,0.002709435743662114,-0.0,0.002709435743662114,-0.0,0.002709435743662114,-0.04195804195804176,-0.039248606214379644,,-0.04859238101122343
201510,0.13043478260869557,0.13043478260869557,0.13043478260869557,0.13043478260869557,0.13043478260869557,0.0432746286475725,0.04498487126535085,0.13043478260869557,0.13214502522647392,0.13043478260869557,0.13214502522647392,0.13043478260869557,0.13214502522647392,,0.10401459854014594,0.10401459854014594,0.10401459854014594,0.10401459854014594,0.10401459854014594,0.040248982335097286,0.041817991275157854,0.10401459854014594,0.10558360748020651,0.10401459854014594,0.10558360748020651,0.10401459854014594,0.10558360748020651,,0.10338319573093302
201511,0.012820512820512775,0.012820512820512775,0.012820512820512775,0.012820512820512775,0.012820512820512775,0.005817702069951068,0.007195131177063614,0.012820512820512775,0.014197941927625322,0.012820512820512775,0.014197941927625322,0.012820512820512775,0.014197941927625322,,0.009917355371900749,0.009917355371900749,0.009917355371900749,0.009917355371900749,0.009917355371900749,0.005285358850212859,0.006463167155496387,0.009917355371900749,0.011095163677184277,0.009917355371900749,0.011095163677184277,0.009917355371900749,0.011095163677184277,,0.009148918289602292
