date,MA15_base,S1_rot,S2_reb,S3_crisis,S4_grad,S1b_costscaled,S1_sw0
2006-01-04,1.0,1.0137542397922858,1.0137542397922858,1.0137542397922858,1.0061894079065286,1.0137542397922858,1.0137542397922858
2006-01-05,1.0,1.030654561072727,1.030654561072727,1.030654561072727,1.0137378014103986,1.030654561072727,1.030654561072727
2006-01-06,1.0,1.04187027345937,1.04187027345937,1.04187027345937,1.0221903667866234,1.04187027345937,1.04187027345937
2006-01-09,1.0,1.0525020080152419,1.0525020080152419,1.0525020080152419,1.0320997327374362,1.0525020080152419,1.0525020080152419
2006-01-10,1.0,1.05413396830672,1.05413396830672,1.05413396830672,1.0327607332814097,1.05413396830672,1.05413396830672
2006-01-11,1.0,1.0513114846136244,1.0513114846136244,1.0513114846136244,1.030275371067525,1.0513114846136244,1.0513114846136244
2006-01-12,1.0,1.067686822085412,1.067686822085412,1.067686822085412,1.0440782784799225,1.067686822085412,1.067686822085412
2006-01-13,1.0,1.0669143690650384,1.0669143690650384,1.0669143690650384,1.043189627442978,1.0669143690650384,1.0669143690650384
2006-01-16,1.0,1.0527785114947812,1.0527785114947812,1.0527785114947812,1.0331624487786293,1.0527785114947812,1.0527785114947812
2006-01-17,1.0,1.0556510211605217,1.0556510211605217,1.0556510211605217,1.0349291073102946,1.0556510211605217,1.0556510211605217
2006-01-18,1.0,1.0764368066544525,1.0764368066544525,1.0764368066544525,1.0491935467854063,1.0764368066544525,1.0764368066544525
2006-01-19,1.0,1.0866563302809709,1.0866563302809709,1.0866563302809709,1.0547503975793358,1.0866563302809709,1.0866563302809709
2006-01-20,1.0,1.0926939409044027,1.0926939409044027,1.0926939409044027,1.0587590003251028,1.0926939409044027,1.0926939409044027
2006-01-23,1.0,1.097554539443451,1.097554539443451,1.097554539443451,1.0630214129224616,1.097554539443451,1.097554539443451
2006-01-24,1.0,1.0975398239183016,1.0975398239183016,1.0975398239183016,1.0630078730281918,1.0975398239183016,1.0975398239183016
2006-01-25,1.0,1.1036902194809137,1.1036902194809137,1.1036902194809137,1.0686669141168839,1.1036902194809137,1.1036902194809137
2006-02-06,0.9995036632355648,1.1279118499596634,1.1279118499596634,1.1279118499596634,1.0909245082702301,1.1284734000179064,1.1279118499596634
2006-02-07,0.9993927078333068,1.1285723315077432,1.1285723315077432,1.1285723315077432,1.091525334475362,1.129134210397935,1.1285723315077432
2006-02-08,1.0085484230274753,1.1338871096379473,1.1338871096379473,1.1338871096379473,1.0969579555338247,1.1344516345806375,1.1338871096379473
2006-02-09,0.9936635789461725,1.117806288367958,1.117806288367958,1.117806288367958,1.0810549608033746,1.1183628072008436,1.117806288367958
2006-02-10,1.024659920621708,1.1304719867537893,1.1304719867537893,1.1304719867537893,1.0984563128017422,1.1310348114195876,1.1304719867537893
2006-02-13,1.0564152850496094,1.1286265359931322,1.1286265359931322,1.1286265359931322,1.1036105519260218,1.1291884418699472,1.1286265359931322
2006-02-14,1.0535277484371444,1.1355428878191673,1.1355428878191673,1.1355428878191673,1.1084176853344128,1.1361082371191282,1.1355428878191673
2006-02-15,1.0455820356788617,1.1357667837964962,1.1357667837964962,1.1357667837964962,1.104968798163667,1.1363322445668695,1.1357667837964962
2006-02-16,0.9903183093095926,1.1068746575649515,1.1068746575649515,1.1068746575649515,1.0714320627332714,1.1074257338999023,1.1068746575649515
2006-02-17,0.971644591892654,1.1003146594759128,1.1003146594759128,1.1003146594759128,1.0639608818967603,1.100862469804474,1.1003146594759128
2006-02-20,0.9677670202356345,1.0985731602599276,1.0985731602599276,1.0985731602599276,1.0621488198342712,1.099120103553546,1.0985731602599276
2006-02-21,0.9887924711101279,1.1174186931072145,1.1174186931072145,1.1174186931072145,1.080612273129611,1.1179750189692212,1.1174186931072145
2006-02-22,0.9871003203284834,1.1172175176474817,1.1172175176474817,1.1172175176474817,1.0803349873545456,1.1177737433508712,1.1172175176474817
2006-02-23,0.9784314743939327,1.1185037584866788,1.1185037584866788,1.1185037584866788,1.0810421945467865,1.1190606245669013,1.1185037584866788
2006-02-24,0.9883732553331797,1.128230168796858,1.128230168796858,1.128230168796858,1.0901109679142038,1.128791877335537,1.128230168796858
2006-02-27,0.9849400701587494,1.1209611352562259,1.1209611352562259,1.1209611352562259,1.0833550377551155,1.1215192247831813,1.1209611352562259
2006-02-28,0.9800571152202279,1.124657530480976,1.124657530480976,1.124657530480976,1.0829306055825536,1.1252174603210319,1.124657530480976
2006-03-01,0.9927870071876957,1.130421916246297,1.130421916246297,1.130421916246297,1.090819120556632,1.1311572603898539,1.130421916246297
2006-03-02,0.9632034243634218,1.1104793817843697,1.1104793817843697,1.1104793817843697,1.0649533403150584,1.1112017532265719,1.1104793817843697
2006-03-03,0.9599772557910882,1.1126401687821654,1.1126401687821654,1.1126401687821654,1.0645568821727658,1.1133639458252689,1.1126401687821654
2006-03-06,0.9463127242889402,1.107609701178573,1.107609701178573,1.107609701178573,1.0559118735499384,1.1083302058816427,1.107609701178573
2006-03-07,0.9133750834951311,1.0797516088948749,1.0797516088948749,1.0797516088948749,1.0250650513750716,1.0804539917934066,1.0797516088948749
2006-03-08,0.9073344381821139,1.0756672434189656,1.0756672434189656,1.0756672434189656,1.0199669021940958,1.0763669694208202,1.0756672434189656
2006-03-09,0.91276231924995,1.071249101940813,1.071249101940813,1.071249101940813,1.0196899620316253,1.0719459539233172,1.071249101940813
