,spread_pp
2007-04,0.015283792164702548
2007-05,-8.78002589394535
2007-08,-0.9148227518801892
2007-09,-2.1822976871252857
2007-10,4.710436928270447
2007-11,-1.2921497243565616
2008-04,3.006781835595797
2008-05,-0.8155776868728093
2008-08,-0.632413376693286
2008-09,-0.12299847896796723
2008-10,1.501272759758393
2008-11,-0.3993486707245225
2009-04,3.70321391269188
2009-05,0.19303136894218004
2009-08,-1.6574160548627634
2009-09,1.1391232971299265
2009-10,0.43726746351935575
2009-11,-1.436536852970736
2010-04,-1.339657060265008
2010-05,-0.40071033067772543
2010-08,-0.2873087642921761
2010-09,-2.0186406504691585
2010-10,-1.036880265866945
2010-11,-1.639371274748551
2011-04,-0.2812115779734725
2011-05,-0.7680369128741572
2011-08,0.3347924256188031
2011-09,-0.5539678172524147
2011-10,-0.9152351145654901
2011-11,-1.549236416861488
2012-04,-0.507428369902747
2012-05,-2.385205054112401
2012-08,0.33134935701207013
2012-09,0.34890385449334843
2012-10,0.16731130849431675
2012-11,-0.027397081211816277
2013-04,-0.3160063309847916
2013-05,-2.006843327246105
2013-08,-0.29655480816815766
2013-09,-0.2864821014317478
2013-10,1.3927377211236394
2013-11,-1.6203495661231155
2014-04,0.9791366507550393
2014-05,0.09644150807303145
2014-08,2.0488315846438567
2014-09,-0.23861557650717205
2014-10,0.11863221566657395
2014-11,-2.0456045502233424
2015-04,0.5181587251897934
2015-05,1.0754623733619377
2015-08,-2.7696097771741988
2015-09,0.5793243926172115
2015-10,1.6773560232836784
2015-11,0.5142882225900064
2016-04,-1.749697661010626
2016-05,-1.23580121729683
2016-08,0.3628576230183162
2016-09,0.497402999366215
2016-10,0.9672009954470505
2016-11,0.8034373708460073
2017-04,-0.41146797338503793
2017-05,-1.4825444413931397
2017-08,0.07283539847632858
2017-09,-1.8622464069841964
2017-10,-1.2210520397839049
2017-11,-1.3722150009401544
2018-04,-0.5345034706768732
2018-05,-1.4860583511952477
2018-08,0.11595224925458907
2018-09,1.077969851129526
2018-10,2.220886319728234
2018-11,-0.36420264021776105
2019-04,-0.334712261077115
2019-05,-0.945650425824286
2019-08,-0.27859819915292233
2019-09,-0.8615046571835708
2019-10,0.2466192835256214
2019-11,0.4893815547208885
2020-04,0.3550012235759237
2020-05,-1.8993883074822921
2020-08,0.35912892793577567
2020-09,0.06885369768002206
2020-10,2.0256727820132423
2020-11,-2.229910088447266
2021-04,1.3725814479350291
2021-05,-0.291949165769808
2021-08,2.2308491029537207
2021-09,-0.49750080564151705
2021-10,1.5639735153757341
2021-11,2.622230214325241
2022-04,0.8098970017434787
2022-05,-0.45753911216243337
2022-08,-0.4536795525370174
2022-09,1.095906917029214
2022-10,2.1369375509170245
2022-11,0.6329446715271532
2023-04,1.251142183265637
2023-05,-0.7634651661807722
2023-08,0.06444945998772711
2023-09,2.432585680992278
2023-10,0.4556602296140806
2023-11,-0.32574394248498506
2024-04,0.2633657641153444
2024-05,-0.9155932442368897
2024-08,2.344643871102081
2024-09,1.7628872363410528
2024-10,1.1017883076450734
2024-11,-2.6333437783821205
2025-04,0.7486336362235134
2025-05,-0.20987745774596195
2025-08,-0.21350708247964179
2025-09,0.7328132099063337
2025-10,1.848727491941894
2025-11,-1.8486663210347938
2026-04,-1.759900659466687
2026-05,-3.5710504216941747
