,SPREAD5_top,SPREAD10_top,SPREAD20_top,REB_bottom,FLOW_pos_cross,dd60,dev15,rsi14,B1_oversold,C_crisis
SPREAD5_top,1.0,0.0,0.0,0.0,0.0050933786078098476,0.0031031807602792862,0.0,0.0,0.0,0.0
SPREAD10_top,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPREAD20_top,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REB_bottom,0.0,0.0,0.0,1.0,0.01914580265095729,0.03338278931750742,0.00576036866359447,0.011988716502115656,0.006269592476489028,0.056910569105691054
FLOW_pos_cross,0.0050933786078098476,0.0,0.0,0.01914580265095729,1.0,0.09793510324483776,0.07365892714171338,0.09746251441753172,0.06017191977077364,0.011844331641285956
dd60,0.0031031807602792862,0.0,0.0,0.03338278931750742,0.09793510324483776,1.0,0.36955063715627096,0.47619047619047616,0.4137392661982826,0.01326053042121685
dev15,0.0,0.0,0.0,0.00576036866359447,0.07365892714171338,0.36955063715627096,1.0,0.5090514120202752,0.6964520367936925,0.010376134889753566
rsi14,0.0,0.0,0.0,0.011988716502115656,0.09746251441753172,0.47619047619047616,0.5090514120202752,1.0,0.40060468631897206,0.008270676691729323
B1_oversold,0.0,0.0,0.0,0.006269592476489028,0.06017191977077364,0.4137392661982826,0.6964520367936925,0.40060468631897206,1.0,0.014814814814814815
C_crisis,0.0,0.0,0.0,0.056910569105691054,0.011844331641285956,0.01326053042121685,0.010376134889753566,0.008270676691729323,0.014814814814814815,1.0
