date,buyhold,BASE_MA15,A_REB,B_triple_C,B_FLOW_top
2006-01-05,1.0,1.0,1.0,1.0,1.0
2006-01-06,1.0094985584492107,1.0094985584492107,1.0094985584492107,1.0094985584492107,1.0094985584492107
2006-01-09,1.023169333907117,1.023169333907117,1.023169333907117,1.023169333907117,1.023169333907117
2006-01-10,1.0268446916633083,1.0268446916633083,1.0268446916633083,1.0268446916633083,1.0268446916633083
2006-01-11,1.016780452365002,1.016780452365002,1.016780452365002,1.016780452365002,1.016780452365002
2006-01-12,1.0334629826099857,1.0334629826099857,1.0334629826099857,1.0334629826099857,1.0334629826099857
2006-01-13,1.037239060376955,1.037239060376955,1.037239060376955,1.037239060376955,1.037239060376955
2006-01-16,1.0230385757417553,1.0230385757417553,1.0230385757417553,1.0230385757417553,1.0230385757417553
2006-01-17,1.0250588013851438,1.0250588013851438,1.0250588013851438,1.0250588013851438,1.0250588013851438
2006-01-18,1.046357428918191,1.046357428918191,1.046357428918191,1.046357428918191,1.0235212131830662
2006-01-19,1.0515008613132968,1.0515008613132968,1.0515008613132968,1.0515008613132968,1.0235212131830662
2006-01-20,1.0455771909358822,1.0455771909358822,1.0455771909358822,1.0455771909358822,1.0235212131830662
2006-01-23,1.0399312459112557,1.0399312459112557,1.0399312459112557,1.0399312459112557,1.0235212131830662
2006-01-24,1.0298127042087664,1.0298127042087664,1.0298127042087664,1.0298127042087664,1.0235212131830662
2006-01-25,1.0151805851105034,1.0151805851105034,1.0151805851105034,1.0151805851105034,1.0235212131830662
2006-02-06,1.0378368425527598,1.0136578142328376,1.0136578142328376,1.0136578142328376,1.0235212131830662
2006-02-07,1.0410274313365544,1.0152535834778327,1.0152535834778327,1.0152535834778327,1.0235212131830662
2006-02-08,1.0482618939311392,1.0223089346170997,1.0223089346170997,1.0223089346170997,1.0235212131830662
2006-02-09,1.0377717881557016,1.0120785437945437,1.0120785437945437,1.0120785437945437,1.0235212131830662
2006-02-10,1.0439116075158201,1.018066352971929,1.018066352971929,1.018066352971929,1.0235212131830662
2006-02-13,1.0415450431965083,1.0157583802582537,1.0157583802582537,1.0157583802582537,1.0235212131830662
2006-02-14,1.0503296343182804,1.024325481707556,1.024325481707556,1.024325481707556,1.0235212131830662
2006-02-15,1.0472225175781764,1.0212952912344535,1.0212952912344535,1.0212952912344535,1.0235212131830662
2006-02-16,1.0153131691425274,0.9901759572279109,0.9901759572279109,0.9901759572279109,1.0235212131830662
2006-02-17,1.0060154720668948,0.988690693292069,0.988690693292069,0.988690693292069,1.0235212131830662
2006-02-20,0.9994001460081008,0.988690693292069,0.988690693292069,0.988690693292069,1.0235212131830662
2006-02-21,1.0150887919824199,0.988690693292069,0.988690693292069,0.988690693292069,1.0235212131830662
2006-02-22,1.0147220352534192,0.988690693292069,0.988690693292069,0.988690693292069,1.0235212131830662
2006-02-23,1.0178256240192038,0.988690693292069,0.988690693292069,0.988690693292069,1.0235212131830662
2006-02-24,1.0252460229291571,0.988690693292069,0.988690693292069,0.988690693292069,1.0235212131830662
2006-02-27,1.0261265015564351,0.988690693292069,0.988690693292069,0.988690693292069,1.0235212131830662
2006-02-28,1.0257244799012846,0.988690693292069,0.988690693292069,0.988690693292069,1.0235212131830662
2006-03-01,1.0350149282317362,0.988690693292069,0.988690693292069,0.988690693292069,1.0235212131830662
2006-03-02,1.0159193043525434,0.9689666975355223,0.9689666975355223,0.9689666975355223,1.0235212131830662
2006-03-03,1.0164379555238137,0.9675132474892191,0.9675132474892191,0.9675132474892191,1.0235212131830662
2006-03-06,1.0124299957908973,0.9675132474892191,0.9675132474892191,0.9675132474892191,1.0235212131830662
2006-03-07,0.9859412745806062,0.9675132474892191,0.9675132474892191,0.9675132474892191,1.0235212131830662
2006-03-08,0.9826398666654051,0.9675132474892191,0.9675132474892191,0.9675132474892191,1.0235212131830662
2006-03-09,0.9792914210604626,0.9675132474892191,0.9675132474892191,0.9675132474892191,1.0235212131830662
2006-03-10,0.9812852966477745,0.9675132474892191,0.9675132474892191,0.9675132474892191,1.0235212131830662
