ym,peer,rho
2005-08,log_mv,-0.1324944406255133
2005-08,amt20,0.07612318556301245
2005-08,roe_ttm,-0.22911810041087938
2005-08,pb_inv,-0.06002742557249972
2005-08,beta120,
2005-08,vol120,
2005-09,log_mv,-0.17170342960032123
2005-09,amt20,0.12302074372595309
2005-09,roe_ttm,-0.20759389629208033
2005-09,pb_inv,-0.1731633538731831
2005-09,beta120,
2005-09,vol120,
2005-10,log_mv,-0.17097123482984122
2005-10,amt20,0.23113696970843
2005-10,roe_ttm,-0.07893508073939107
2005-10,pb_inv,-0.06852198493010535
2005-10,beta120,
2005-10,vol120,
2005-11,log_mv,-0.17312691885989567
2005-11,amt20,0.324817076432007
2005-11,roe_ttm,0.041324053677983724
2005-11,pb_inv,-0.00466319928806224
2005-11,beta120,
2005-11,vol120,
2005-12,log_mv,0.004412705800587568
2005-12,amt20,0.30636451554588584
2005-12,roe_ttm,0.03959883888316347
2005-12,pb_inv,-0.1350822893864168
2005-12,beta120,
2005-12,vol120,
2006-01,log_mv,0.01898334353139574
2006-01,amt20,0.29623809448650656
2006-01,roe_ttm,0.022685878814296737
2006-01,pb_inv,-0.028246798248130034
2006-01,beta120,-0.07953260707508385
2006-01,vol120,0.7868057661938431
2006-02,log_mv,0.05955877526822367
2006-02,amt20,0.3457025858243843
2006-02,roe_ttm,0.03340609685668707
2006-02,pb_inv,0.012111166540617073
2006-02,beta120,-0.16370359671859486
2006-02,vol120,0.7519279281766054
2006-03,log_mv,-0.01057670943516238
2006-03,amt20,0.3489196224713225
2006-03,roe_ttm,0.02162567490117269
2006-03,pb_inv,-0.029117802645214706
2006-03,beta120,-0.15561676288275123
2006-03,vol120,0.6308112624876896
2006-04,log_mv,0.052144798727681
2006-04,amt20,0.2527966463708135
2006-04,roe_ttm,-0.010550382240124329
2006-04,pb_inv,-0.028812117797055854
2006-04,beta120,-0.1378717778986017
2006-04,vol120,0.5681918981743095
2006-05,log_mv,0.05453704139741117
2006-05,amt20,0.15245828624764482
2006-05,roe_ttm,-0.04881917775318942
2006-05,pb_inv,-0.16012009100067648
2006-05,beta120,-0.12116207663065555
2006-05,vol120,0.329017586892385
2006-06,log_mv,0.03414343445126279
2006-06,amt20,0.04606568905267141
2006-06,roe_ttm,-0.17754019864573145
2006-06,pb_inv,-0.1952299525874138
2006-06,beta120,-0.24198006399066338
2006-06,vol120,0.2575023972558199
2006-07,log_mv,-0.07149038797177908
2006-07,amt20,-0.023556359553899536
2006-07,roe_ttm,-0.24032765719045432
2006-07,pb_inv,-0.1865610014974147
2006-07,beta120,-0.1054524908253465
2006-07,vol120,0.3048604489364826
2006-08,log_mv,-0.0014260046163577227
2006-08,amt20,0.1798002340358523
2006-08,roe_ttm,-0.16689018020091653
2006-08,pb_inv,-0.21181302487500833
2006-08,beta120,-0.08221898674374689
2006-08,vol120,0.36144886934929343
2006-09,log_mv,-0.07383018195830014
2006-09,amt20,0.1935856567156581
2006-09,roe_ttm,-0.17882944732041972
2006-09,pb_inv,-0.21919398384293623
2006-09,beta120,0.03771479030851044
2006-09,vol120,0.43515406241497295
2006-10,log_mv,-0.07924611757478967
2006-10,amt20,0.22515950145855626
2006-10,roe_ttm,-0.04825411318483876
2006-10,pb_inv,-0.13867708742754825
2006-10,beta120,0.054024939723622795
2006-10,vol120,0.3771265461496786
2006-11,log_mv,0.12927515660827094
2006-11,amt20,0.35848373722031324
2006-11,roe_ttm,0.07223363679601114
2006-11,pb_inv,-0.1594018151378185
2006-11,beta120,0.008596308908751953
2006-11,vol120,0.40768923528850787
2006-12,log_mv,0.09336581046437946
2006-12,amt20,0.24143706874135243
2006-12,roe_ttm,-0.011554595384295159
2006-12,pb_inv,-0.10406729771361968
2006-12,beta120,0.14097876922019675
2006-12,vol120,0.42831589743270315
2007-01,log_mv,-0.003909874733005128
2007-01,amt20,0.0023261450667380937
2007-01,roe_ttm,-0.2023357953806896
2007-01,pb_inv,-0.1329354654141427
2007-01,beta120,-0.13756365243732838
2007-01,vol120,0.38399214043171503
2007-02,log_mv,0.02605962381524457
2007-02,amt20,0.09198504483433573
2007-02,roe_ttm,-0.08555359418307006
2007-02,pb_inv,-0.12869222213724055
2007-02,beta120,-0.14293958962000697
2007-02,vol120,0.33940288683323777
2007-03,log_mv,-0.08689914102006732
2007-03,amt20,-0.028903664129790296
2007-03,roe_ttm,-0.2081948371958668
2007-03,pb_inv,-0.12324391793248612
2007-03,beta120,-0.09271188273347142
2007-03,vol120,0.3195875341184076
2007-04,log_mv,-0.011729292269745482
2007-04,amt20,0.015196066647632034
2007-04,roe_ttm,-0.13430236308946297
2007-04,pb_inv,-0.08844624013199341
2007-04,beta120,-0.11854912389587889
2007-04,vol120,0.3320668740770808
2007-05,log_mv,0.09114102221512994
2007-05,amt20,0.0842072851015961
2007-05,roe_ttm,-0.02049626857293866
2007-05,pb_inv,-0.1446699146939364
2007-05,beta120,-0.122465360103535
2007-05,vol120,0.26029959002542474
2007-06,log_mv,-0.059440772692217855
2007-06,amt20,0.006779669575098242
2007-06,roe_ttm,-0.21748459125691136
2007-06,pb_inv,-0.18703338514694473
2007-06,beta120,-0.1339934837863062
2007-06,vol120,0.34106962011639425
2007-07,log_mv,-0.13612485582564485
2007-07,amt20,0.025803975513312205
2007-07,roe_ttm,-0.2223246033263032
2007-07,pb_inv,-0.12000799136781082
2007-07,beta120,-0.05843483498354879
2007-07,vol120,0.35407964170565726
2007-08,log_mv,-0.008827472239106939
2007-08,amt20,0.15113867559586172
2007-08,roe_ttm,-0.06971800192105317
2007-08,pb_inv,-0.08302317870635165
