ym,ic_dual_low,ic_price
2014-08,-0.16029841799378686,-0.1488053238734776
2014-09,0.22368130415508625,0.2316937687815371
2014-10,0.19421579532814237,0.2912124582869855
2014-11,0.32553451619945006,0.2484873134806211
2018-01,-0.16644385026737968,0.36397058823529416
2018-02,0.2892965696917065,0.23188405831261633
2018-03,-0.13601809954751132,-0.17891807511536473
2018-04,0.15639097744360902,-0.02925545549735924
2018-05,-0.3068074465129203,-0.03373159210891915
2018-06,0.33420712235617206,0.2522951532773186
2018-07,-0.08598901098901097,0.07175072691273475
2018-08,-0.18159391129385005,0.04746741317470038
2018-09,-0.10473736789526263,0.08145908643490485
2018-10,0.06219136680764438,0.680218772736559
2018-11,-0.25686465433300876,0.37379196194039954
2018-12,0.16612331679659817,-0.34113275561829504
2019-01,0.4927699403147043,0.013591969614758547
2019-02,0.2025829653210895,0.39340684196274955
2019-03,-0.024466099937798053,0.11263911424409165
2019-04,-0.19684387256761485,0.02483171486764039
2019-05,0.19279635591407385,-0.1842947317355807
2019-06,0.00036816644548139896,0.09655206366826635
2019-07,-0.09349873343960467,-0.11054055523745707
2019-08,-0.04128090064556762,0.36297827113840336
2019-09,0.028355489574195293,0.11295035394247281
2019-10,-0.11243578761063619,-0.029461932961210437
2019-11,0.19522247995829212,-0.26188926804262946
2019-12,-0.007997344755101074,0.013393255798904633
2020-01,0.019520370220489476,0.05198564599853389
2020-02,-0.03351327600276191,0.3923001074964443
2020-03,0.07059140761392167,-0.2664922578110549
2020-04,0.05159839684215994,0.1645321433687931
2020-05,0.1534956490409092,-0.4510073356460452
2020-06,0.26579109021953956,-0.1465226381671108
2020-07,-0.0009708881335894784,0.12726328303777898
2020-08,0.14772252773455777,0.329071419360779
2020-09,0.020942359615129504,-0.05441644246946721
2020-10,0.19629569621389134,0.19569986039939022
2020-11,-0.30318584070796467,-0.2858290441886905
2020-12,-0.09397936389745772,-0.07438863227442324
2021-01,0.33441915839320996,0.32574247043953486
2021-02,0.26767247929146426,0.45053859683344494
2021-03,-0.0014626805324157446,0.11461314719819059
2021-04,0.07403999661058383,0.09381530326590048
2021-05,0.12085319802516158,0.1364737310398686
2021-06,0.03382289200735618,-0.12711674077392773
2021-07,0.15363448058272403,-0.042523084079690375
2021-08,0.23998332417341864,0.3928818361782574
2021-09,-0.13609057280163878,-0.049437394602959525
2021-10,-0.05599889978618518,-0.19388065680917396
2021-11,0.21779633293107217,0.29939170999334186
2021-12,0.42828051216835594,0.6534262713928183
2022-01,0.07351394204539217,0.06750948395502052
2022-02,0.31672088589739783,0.46326911160237233
2022-03,0.137595596153741,0.38654967899091236
2022-04,-0.10750012442144029,-0.2951381328552139
2022-05,-0.14047800419990017,-0.32381543041437216
2022-06,0.041147350653602026,0.02934791751321956
2022-07,0.2695335985200797,0.6161671415533551
2022-08,-0.01588032362419769,0.3298432650699554
2022-09,-0.1465694513811775,0.09982842404352944
2022-10,0.3408935506604054,0.10342430514372812
2022-11,0.007710830401557031,0.3822059248580729
2022-12,0.09553475540557169,-0.47791335360833126
2023-01,0.017703621166280725,0.2356458603409509
2023-02,0.016413010763265075,0.20623148847158615
2023-03,0.15998429580072268,0.38727570140852974
2023-04,0.053051889904206714,0.1618206793977236
2023-05,0.036063357958237625,-0.18736681239626896
2023-06,0.22781497861964325,0.3557829023302197
2023-07,0.013893396457807143,0.2752350983020302
2023-08,0.3021444179583613,-0.007233156384014075
2023-09,-0.005813125874666953,0.2692893219548461
2023-10,0.13174248841713485,-0.08343736230281545
2023-11,0.040955079557784324,0.17962027922444113
2023-12,-0.11411792627262242,0.726924620795981
2024-01,0.21618884481270528,-0.2620543075381561
2024-02,0.026486661080642876,-0.09397208488440513
2024-03,0.21054272858156073,-0.05503820500992311
2024-04,-0.1919706170572304,0.3154807825362629
2024-05,0.051738061349943625,-0.05614609716029506
2024-06,-0.019349347410647467,0.16126621683000647
2024-07,-0.12287395086416131,0.10179745721408509
2024-08,0.487834608443789,0.09706769934468523
2024-09,0.07057207572580768,0.36403354581911435
2024-10,0.09621653016514381,0.1415301740425365
2024-11,-0.17867375682695114,0.216044874202465
2024-12,0.08644891494298558,0.005558481487824007
2025-01,-0.1417341215620719,-0.01955812486502024
2025-02,-0.06506258016295449,0.18715493645611175
2025-03,0.06687649327661073,0.15134971141980935
2025-04,0.07702806640738377,0.11056543954663735
2025-05,-0.0817820821535992,-0.03669464365177413
2025-06,0.0061091011823365335,-0.0334217089517334
2025-07,-0.050349973067185264,-0.19012900492568377
2025-08,0.018967931688886507,-0.09721968808476104
2025-09,0.04238112282303401,0.28369704321573835
2025-10,-0.07952019041070794,0.307645431452967
2025-11,-0.14447312222565067,-0.2443526262577257
2025-12,-0.2811095975827139,-0.2550155226366666
2026-01,0.07504835535245678,0.10954507946030856
2026-02,0.32817855488652153,0.6499250132190345
2026-03,-0.290870700979875,-0.5373382660592546
2026-04,-0.10510693777913394,0.015036499115909931
2026-05,-0.02799939738665417,-0.017549925684179207
2026-06,0.20492265923623762,0.4358827802188642
2026-07,-0.09873797231332056,-0.0238551454738386
