ym,cap_m,got,n_sel
2018-02,6067614.42326,1,1
2018-04,216530.31117500004,1,1
2018-05,4032601.5522200004,2,2
2018-06,822280.5258150001,2,2
2018-07,4394826.653155001,2,2
2018-08,1968733.94147,3,3
2018-09,1599353.7500999998,1,1
2018-10,1686785.08732,3,3
2018-12,1025163.3915100001,2,2
2019-01,4496502.602925,3,3
2019-02,4933284.0291450005,5,5
2019-03,8749390.576705001,6,6
2019-04,8933571.456785,6,6
2019-05,3094119.4640299994,3,3
2019-06,5395598.416480526,5,5
2019-07,1482055.042105,3,3
2019-08,312329.1745,1,1
2019-09,3798785.5728200004,4,4
2019-10,2009803.0989200003,3,3
2019-11,187672.09305000002,1,1
2019-12,8039479.32208,3,3
2020-01,1502123.48177,2,2
2020-02,6790094.048865,5,5
2020-03,119280137.872865,9,9
2020-04,39231367.589805,8,8
2020-05,15884642.76419,5,5
2020-06,1648058.42699,3,3
2020-07,4438310.882945001,3,3
2020-08,59281252.01403001,4,4
2020-09,11014304.553984998,5,5
2020-10,25038329.637875,5,5
2020-11,14646616.818825003,3,3
2020-12,14811777.515709998,6,6
2021-01,8607531.234440003,7,7
2021-02,22796036.952475,4,4
2021-03,17348956.365165,6,6
2021-04,5103001.36795,6,6
2021-05,9758350.202219998,5,5
2021-06,22420909.859470002,6,6
2021-07,3591065.3587849997,2,2
2021-08,12744311.10648,5,5
2021-09,79584367.86138,2,2
2021-10,64870825.790989995,2,2
2021-11,24429748.949385002,4,4
2021-12,39622221.95950001,2,2
2022-01,9488867.93471,4,4
2022-02,268836424.103675,6,6
2022-03,29260294.242740005,5,5
2022-04,112063510.96796499,4,4
2022-05,58534119.41386501,5,5
2022-06,17136874.079200003,2,2
2022-07,14956990.944120001,4,4
2022-08,5589569.4339499995,2,2
2022-10,36469985.041645,4,4
2022-11,68827939.85451001,4,4
2022-12,39217521.627450004,3,3
2023-01,26225962.1614,2,2
2023-02,2997403.10414,1,1
2023-03,10325862.217565,3,3
2023-04,21184755.26556,2,2
2023-05,30696599.370215,3,3
2023-06,114142109.67671001,3,3
2023-07,7593957.310715001,2,2
2023-08,3656817.9017050005,1,1
2023-10,6207400.011720001,2,2
2023-11,29718326.702675,5,5
2023-12,32816777.361370005,3,3
2024-01,19057451.052675,10,10
2024-02,49834767.14760501,7,7
2024-03,35353139.50351445,5,5
2024-04,16782044.248760004,4,4
2024-05,24950573.677389998,6,6
2024-06,46095414.75828001,6,6
2024-07,24603855.465760004,5,5
2024-08,11343443.031040002,4,4
2024-09,46756819.8547875,3,3
2024-10,47776569.884265006,4,4
2024-11,75030174.39449,4,4
2024-12,4384161.983150001,1,1
2025-01,44713907.66285,5,5
2025-02,29691302.94711,6,6
2025-03,40351169.264235005,4,4
2025-04,63747341.96138501,4,4
2025-05,26353584.944250003,3,3
2025-06,8139049.391565001,2,2
2025-07,52085820.33078501,4,4
2025-08,120558687.194625,7,7
2025-09,45551525.29936001,3,3
2025-10,145554393.18252,6,6
2025-11,46758283.24689499,2,2
2025-12,121606006.78960499,7,7
2026-01,135505395.60869002,6,6
2026-02,97567694.533505,2,2
2026-03,41688742.387669995,3,3
2026-04,64827015.309204996,5,5
2026-05,57470907.73821001,4,4
2026-06,18991598.875025004,3,3
