ym,nav,n_held,n_sold,n_bought,n_cand,turnover,cost_frac
2024-06,1.7597446734738156,15,6,6,362,0.4,0.0008
2024-07,1.7569702834053984,15,5,5,359,0.3333333333333333,0.0006666666666666666
2024-08,1.7202377519370058,15,4,4,358,0.26666666666666666,0.0005333333333333334
2024-09,1.8992342787580356,15,3,3,361,0.2,0.0004
2024-10,2.023903655613229,15,4,4,363,0.26666666666666666,0.0005333333333333334
2024-11,2.0810282410368512,15,4,4,362,0.26666666666666666,0.0005333333333333334
2024-12,2.0965845305767172,15,1,1,363,0.06666666666666667,0.00013333333333333334
2025-01,2.121963717753575,15,5,5,348,0.3333333333333333,0.0006666666666666666
2025-02,2.189502676328607,15,6,6,345,0.4,0.0008
2025-03,2.1727490898045847,15,4,4,343,0.26666666666666666,0.0005333333333333334
2025-04,2.1360202229414558,15,4,4,336,0.26666666666666666,0.0005333333333333334
2025-05,2.15007870114218,15,3,3,329,0.2,0.0004
2025-06,2.2124496400110987,15,2,2,324,0.13333333333333333,0.0002666666666666667
2025-07,2.2712882994091257,15,4,4,324,0.26666666666666666,0.0005333333333333334
2025-08,2.3237817639301395,15,7,7,321,0.4666666666666667,0.0009333333333333333
2025-09,2.2959140763564196,15,3,3,309,0.2,0.0004
2025-10,2.2881866073847252,15,6,6,296,0.4,0.0008
2025-11,2.263954231072791,15,2,2,284,0.13333333333333333,0.0002666666666666667
2025-12,2.2779423281053166,15,7,7,279,0.4666666666666667,0.0009333333333333333
2026-01,2.327589359257196,15,6,6,267,0.4,0.0008
2026-02,2.306969108101522,15,2,2,261,0.13333333333333333,0.0002666666666666667
2026-03,2.2644695110712703,15,3,3,259,0.2,0.0004
2026-04,2.274098775279731,15,5,5,248,0.3333333333333333,0.0006666666666666666
2026-05,2.2819115447602747,15,4,4,237,0.26666666666666666,0.0005333333333333334
2026-06,2.263588388221057,15,3,3,232,0.2,0.0004
2026-07,2.3122808740494514,15,0,0,0,0.0,0.0
