ym,nav,n_held,n_sold,n_bought,n_cand,turnover,cost_frac
2018-01,0.999,15,0,15,33,1.0,0.001
2018-02,0.9944614866557598,15,1,1,48,0.06666666666666667,0.00013333333333333334
2018-03,1.0088593116008329,15,0,0,51,0.0,0.0
2018-04,0.9897619656078326,15,1,1,56,0.06666666666666667,0.00013333333333333334
2018-05,0.9648055805929522,15,2,2,60,0.13333333333333333,0.0002666666666666667
2018-06,0.9348082964019966,15,2,2,64,0.13333333333333333,0.0002666666666666667
2018-07,0.9684548185294909,15,2,2,65,0.13333333333333333,0.0002666666666666667
2018-08,0.9533671397990263,15,3,3,71,0.2,0.0004
2018-09,0.9501406832920123,15,1,1,77,0.06666666666666667,0.00013333333333333334
2018-10,0.9378792313409446,15,3,3,78,0.2,0.0004
2018-11,0.9814619288837667,15,0,0,79,0.0,0.0
2018-12,0.9693860865040707,15,2,2,84,0.13333333333333333,0.0002666666666666667
2019-01,0.9913257053206622,15,3,3,96,0.2,0.0004
2019-02,1.1048409449737537,15,5,5,103,0.3333333333333333,0.0006666666666666666
2019-03,1.195152157940676,15,6,6,106,0.4,0.0008
2019-04,1.1444107282018943,15,6,6,121,0.4,0.0008
2019-05,1.1135302621449232,15,3,3,136,0.2,0.0004
2019-06,1.1205957393398178,15,5,5,141,0.3333333333333333,0.0006666666666666666
2019-07,1.1278440631224416,15,3,3,144,0.2,0.0004
2019-08,1.1291516908928765,15,1,1,147,0.06666666666666667,0.00013333333333333334
2019-09,1.1555514935547184,15,4,4,148,0.26666666666666666,0.0005333333333333334
2019-10,1.1471859387975492,15,3,3,150,0.2,0.0004
2019-11,1.1261231893075752,15,1,1,150,0.06666666666666667,0.00013333333333333334
2019-12,1.181901244325254,15,3,3,158,0.2,0.0004
2020-01,1.1954530503732244,15,2,2,165,0.13333333333333333,0.0002666666666666667
2020-02,1.2367728448636133,15,5,5,185,0.3333333333333333,0.0006666666666666666
2020-03,1.2839058202419773,15,9,9,183,0.6,0.0012000000000000001
2020-04,1.2974051671122933,15,8,8,183,0.5333333333333333,0.0010666666666666667
2020-05,1.2574271298439113,15,5,5,186,0.3333333333333333,0.0006666666666666666
2020-06,1.2474260507716544,15,3,3,194,0.2,0.0004
2020-07,1.32816973207491,15,3,3,202,0.2,0.0004
2020-08,1.357348800917349,15,4,4,220,0.26666666666666666,0.0005333333333333334
2020-09,1.3196465313056511,15,5,5,227,0.3333333333333333,0.0006666666666666666
2020-10,1.344332942710281,15,5,5,225,0.3333333333333333,0.0006666666666666666
2020-11,1.3462533922617397,15,3,3,232,0.2,0.0004
2020-12,1.2842390068653713,15,6,6,244,0.4,0.0008
2021-01,1.2133341076574666,15,7,7,250,0.4666666666666667,0.0009333333333333333
2021-02,1.2520850425327559,15,4,4,257,0.26666666666666666,0.0005333333333333334
2021-03,1.3178461833022095,15,6,6,260,0.4,0.0008
2021-04,1.4242923794707154,15,6,6,254,0.4,0.0008
2021-05,1.4842338052431023,15,5,5,266,0.3333333333333333,0.0006666666666666666
2021-06,1.5253205832846648,15,6,6,271,0.4,0.0008
2021-07,1.5579474086999283,15,2,2,274,0.13333333333333333,0.0002666666666666667
2021-08,1.6357599253017414,15,5,5,279,0.3333333333333333,0.0006666666666666666
2021-09,1.6370962874281383,15,2,2,280,0.13333333333333333,0.0002666666666666667
2021-10,1.6164558546567367,15,2,2,275,0.13333333333333333,0.0002666666666666667
2021-11,1.6614361927232226,15,4,4,275,0.26666666666666666,0.0005333333333333334
2021-12,1.7091930685741954,15,2,2,275,0.13333333333333333,0.0002666666666666667
2022-01,1.7224429067126543,15,4,4,278,0.26666666666666666,0.0005333333333333334
2022-02,1.7530750529680863,15,6,6,282,0.4,0.0008
2022-03,1.6999701689020867,15,5,5,287,0.3333333333333333,0.0006666666666666666
2022-04,1.698355679001612,15,4,4,286,0.26666666666666666,0.0005333333333333334
2022-05,1.737448799769317,15,5,5,293,0.3333333333333333,0.0006666666666666666
2022-06,1.7552928193474528,15,2,2,303,0.13333333333333333,0.0002666666666666667
2022-07,1.756456826679639,15,4,4,303,0.26666666666666666,0.0005333333333333334
2022-08,1.75930930367405,15,2,2,308,0.13333333333333333,0.0002666666666666667
2022-09,1.732537140267517,15,0,0,310,0.0,0.0
2022-10,1.7181118763155998,15,4,4,311,0.26666666666666666,0.0005333333333333334
2022-11,1.754149965582661,15,4,4,324,0.26666666666666666,0.0005333333333333334
2022-12,1.7255335609579745,15,3,3,330,0.2,0.0004
2023-01,1.759083074967888,15,2,2,341,0.13333333333333333,0.0002666666666666667
2023-02,1.7481026987456336,15,1,1,338,0.06666666666666667,0.00013333333333333334
2023-03,1.7635579759309308,15,3,3,340,0.2,0.0004
2023-04,1.7854884158070172,15,2,2,342,0.13333333333333333,0.0002666666666666667
2023-05,1.7771662427279753,15,3,3,352,0.2,0.0004
2023-06,1.7689672250659354,15,3,3,355,0.2,0.0004
2023-07,1.811022613231935,15,2,2,351,0.13333333333333333,0.0002666666666666667
2023-08,1.7826713736863473,15,1,1,357,0.06666666666666667,0.00013333333333333334
2023-09,1.7673732740434258,15,0,0,371,0.0,0.0
2023-10,1.7461050569915149,15,2,2,376,0.13333333333333333,0.0002666666666666667
2023-11,1.7394274175635884,15,5,5,376,0.3333333333333333,0.0006666666666666666
2023-12,1.7476230796071965,15,3,3,374,0.2,0.0004
2024-01,1.7328240827845238,15,10,10,365,0.6666666666666666,0.0013333333333333333
2024-02,1.8001771219511118,15,7,7,370,0.4666666666666667,0.0009333333333333333
2024-03,1.7865273643680775,15,5,5,369,0.3333333333333333,0.0006666666666666666
2024-04,1.822550095049682,15,4,4,365,0.26666666666666666,0.0005333333333333334
2024-05,1.8690587935213698,15,6,6,363,0.4,0.0008
