ym,ret
2018-01,0.0
2018-02,-0.004410311108788674
2018-03,0.014478011605548409
2018-04,-0.018798815567961504
2018-05,-0.024954520135411353
2018-06,-0.03083308812052172
2018-07,0.03626930330264907
2018-08,-0.015185199137211794
2018-09,-0.0032513751098932103
2018-10,-0.012509884427454798
2018-11,0.04646941321059983
2018-12,-0.012040477702712259
2019-01,0.023041704523380363
2019-02,0.11525202164924794
2019-03,0.08260745641105102
2019-04,-0.04168939311693905
2019-05,-0.026594364213796053
2019-06,0.007016458969756409
2019-07,0.00687102553117842
2019-08,0.0012929104770640133
2019-09,0.023926303148846317
2019-10,-0.0068421847079517045
2019-11,-0.018229459585847336
2019-12,0.04995102243642374
2020-01,0.011735903170707652
2020-02,0.035254299406117205
2020-03,0.03935687431240308
2020-04,0.011593314101067691
2020-05,-0.030167286425215236
2020-06,-0.007556627941606839
2020-07,0.06515429250335342
2020-08,0.02251472366605024
2020-09,-0.027127823247621977
2020-10,0.01938642707681699
2020-11,0.0018292837413795707
2020-12,-0.04530066328553228
2021-01,-0.05432898061150556
2021-02,0.03248822369250506
2021-03,0.05336399648842722
2021-04,0.08163816362805008
2021-05,0.0427802436870867
2021-06,0.02850495073316507
2021-07,0.021662586368140058
2021-08,0.05064596549759565
2021-09,0.0010839228640714032
2021-10,-0.012344578051631989
2021-11,0.028374984739368076
2021-12,0.02901873839962092
2022-01,0.008289856082758349
2022-02,0.018599007862196704
2022-03,-0.029645516023826965
2022-04,-0.0004166054630490325
2022-05,0.023700684832886985
2022-06,0.010539719225017374
2022-07,0.0011971131905992528
2022-08,0.0018911659150465518
2022-09,-0.015217428425248092
2022-10,-0.007796917212196152
2022-11,0.02152021393340617
2022-12,-0.015919913093165577
2023-01,0.019714903681581734
2023-02,-0.006109583415264412
2023-03,0.009244870263889484
2023-04,0.01270539297717496
2023-05,-0.004262711566307028
2023-06,-0.004215220525739675
2023-07,0.02404705737050854
2023-08,-0.01552356007458311
2023-09,-0.008581559040400559
2023-10,-0.011770272381979793
2023-11,-0.0031597454762972996
2023-12,0.005113746579604668
2024-01,-0.007144263639522157
2024-02,0.039839459057347655
2024-03,-0.006920399468671913
2024-04,0.020707925793756195
2024-05,0.026339546327009834
2024-06,-0.05773237179295812
2024-07,-0.000910527063208162
2024-08,-0.020384284298441458
2024-09,0.10449516314196074
2024-10,0.06621056156156097
2024-11,0.028773632204997956
2024-12,0.0076096379228553414
2025-01,0.012780201794260444
2025-02,0.032654640859310684
2025-03,-0.007122242334688788
2025-04,-0.016379732174901105
2025-05,0.0069844160046803605
2025-06,0.02928315264825393
2025-07,0.027142158841408
2025-08,0.024067553942008636
2025-09,-0.011597024672553514
2025-10,-0.0025678025735285104
2025-11,-0.010326296846659007
2025-12,0.007118590346137362
2026-01,0.022612773314589992
2026-02,-0.008594684117735677
2026-03,-0.018029477126352236
2026-04,0.004922274903227897
2026-05,0.003970996551542906
2026-06,-0.007632793175026241
2026-07,0.02151119261866391
