ym,ver,Q1,Q2,Q3,Q4,Q5
2005-08,v1,0.03338194121228263,,,,
2005-08,v1,,0.03172139455060971,,,
2005-08,v1,,,0.03373815658420813,,
2005-08,v1,,,,0.015696730977730368,
2005-08,v1,,,,,0.015106148010958673
2005-08,v2,0.03712246220696053,,,,
2005-08,v2,,0.03299118566637456,,,
2005-08,v2,,,0.027236124239461066,,
2005-08,v2,,,,0.020039904933028187,
2005-08,v2,,,,,0.012280441836162705
2005-09,v1,-0.066319875701545,,,,
2005-09,v1,,-0.06872227845195164,,,
2005-09,v1,,,-0.05583362966603088,,
2005-09,v1,,,,-0.05239390436313721,
2005-09,v1,,,,,-0.07642165874269956
2005-09,v2,-0.06120916961429109,,,,
2005-09,v2,,-0.07198118360179359,,,
2005-09,v2,,,-0.05279650233777212,,
2005-09,v2,,,,-0.05414031139432259,
2005-09,v2,,,,,-0.07958801479709453
2005-10,v1,0.03168564024179868,,,,
2005-10,v1,,0.02429602200605693,,,
2005-10,v1,,,0.006556386911656793,,
2005-10,v1,,,,-0.009488964058303795,
2005-10,v1,,,,,-0.06336409679602133
2005-10,v2,0.024553549112402373,,,,
2005-10,v2,,0.02042580751078778,,,
2005-10,v2,,,0.01778215288502517,,
2005-10,v2,,,,-0.007485627021124364,
2005-10,v2,,,,,-0.06559991291358527
2005-11,v1,0.0029762968965757934,,,,
2005-11,v1,,0.026269421303114552,,,
2005-11,v1,,,0.02576754715022266,,
2005-11,v1,,,,0.02092731898037097,
2005-11,v1,,,,,-0.0093428886593266
2005-11,v2,0.015603163727981335,,,,
2005-11,v2,,0.025162962481291337,,,
2005-11,v2,,,0.02887974098576604,,
2005-11,v2,,,,0.01629879256470125,
2005-11,v2,,,,,-0.01935927766343963
2005-12,v1,0.06961016339089947,,,,
2005-12,v1,,0.10293803358113858,,,
2005-12,v1,,,0.09860766883455685,,
2005-12,v1,,,,0.08375123389933457,
2005-12,v1,,,,,0.03448365791794887
2005-12,v2,0.0871432441332136,,,,
2005-12,v2,,0.09783529473650199,,,
2005-12,v2,,,0.08710885901362593,,
2005-12,v2,,,,0.08835083042358596,
2005-12,v2,,,,,0.02886352890709139
2006-01,v1,0.027392094341736124,,,,
2006-01,v1,,0.02547317567749047,,,
2006-01,v1,,,0.017718106052076518,,
2006-01,v1,,,,0.020057111179608875,
2006-01,v1,,,,,-0.029013417758118623
2006-01,v2,0.0296853568758834,,,,
2006-01,v2,,0.015556952479163423,,,
2006-01,v2,,,0.024181641347697604,,
2006-01,v2,,,,0.01357453812829169,
2006-01,v2,,,,,-0.02146054323090387
2006-02,v1,0.010056449423901012,,,,
2006-02,v1,,-0.01658562368938385,,,
2006-02,v1,,,-0.008119255563208177,,
2006-02,v1,,,,-0.01957152101358394,
2006-02,v1,,,,,-0.057411555798426696
2006-02,v2,0.014930694102028231,,,,
2006-02,v2,,-0.018393055125419094,,,
2006-02,v2,,,-0.005232176698408175,,
2006-02,v2,,,,-0.024153701720700863,
2006-02,v2,,,,,-0.058783267198201754
2006-03,v1,0.08734792508666307,,,,
2006-03,v1,,0.05556249449159365,,,
2006-03,v1,,,0.07758328597743232,,
2006-03,v1,,,,0.03957388568505991,
2006-03,v1,,,,,-0.008714369395197598
2006-03,v2,0.08934381203146047,,,,
2006-03,v2,,0.08090821549303921,,,
2006-03,v2,,,0.060640849510293096,,
2006-03,v2,,,,0.024983672639731027,
2006-03,v2,,,,,-0.004561284445604488
2006-04,v1,0.3031715641559846,,,,
2006-04,v1,,0.27903926175983096,,,
2006-04,v1,,,0.2516864787726778,,
2006-04,v1,,,,0.22503997547421983,
2006-04,v1,,,,,0.16329456810860282
2006-04,v2,0.30755652603268596,,,,
2006-04,v2,,0.2756300912317165,,,
2006-04,v2,,,0.2628604465600979,,
2006-04,v2,,,,0.21208271299137085,
2006-04,v2,,,,,0.16406360875008524
2006-04,v3,0.3091479166988706,,,,
2006-04,v3,,0.2599998894617041,,,
2006-04,v3,,,0.2488633862968986,,
2006-04,v3,,,,0.21346070766342404,
2006-04,v3,,,,,0.19051223161275418
2006-05,v1,0.04867896816691877,,,,
2006-05,v1,,0.048396548434214974,,,
2006-05,v1,,,0.05318991685390889,,
2006-05,v1,,,,0.017605620184995098,
2006-05,v1,,,,,0.02325602319559992
2006-05,v2,0.04726177630896574,,,,
2006-05,v2,,0.048211415691272276,,,
2006-05,v2,,,0.05808579168173209,,
2006-05,v2,,,,0.016955982946430973,
2006-05,v2,,,,,0.02066010898005836
2006-05,v3,0.03887599097258743,,,,
2006-05,v3,,0.06249039428796653,,,
2006-05,v3,,,0.036184655451828814,,
2006-05,v3,,,,0.021567876898778385,
2006-05,v3,,,,,0.03184144097543648
2006-06,v1,-0.03430871008324543,,,,
2006-06,v1,,-0.0441100293706574,,,
2006-06,v1,,,-0.04031191862194194,,
2006-06,v1,,,,-0.051697103193864925,
2006-06,v1,,,,,-0.09475629889734777
2006-06,v2,-0.02686451063754898,,,,
2006-06,v2,,-0.050754034063467846,,,
2006-06,v2,,,-0.04523707953679123,,
2006-06,v2,,,,-0.04314061694147625,
2006-06,v2,,,,,-0.09917343942717481
2006-06,v3,-0.027581260522467354,,,,
2006-06,v3,,-0.04205489611721371,,,
2006-06,v3,,,-0.04880973400659329,,
2006-06,v3,,,,-0.04778546214894756,
2006-06,v3,,,,,-0.0989078444071862
2006-07,v1,0.024634589496994746,,,,
2006-07,v1,,0.03728653013054834,,,
2006-07,v1,,,0.02463037149039233,,
2006-07,v1,,,,0.001202870713173569,
2006-07,v1,,,,,-0.04046111927981547
2006-07,v2,0.027689297117081783,,,,
2006-07,v2,,0.032437519985750764,,,
2006-07,v2,,,0.025144897572906,,
2006-07,v2,,,,-0.004768347843773417,
2006-07,v2,,,,,-0.0332319436208151
2006-07,v3,0.035498587289332,,,,
2006-07,v3,,0.02641392190047668,,,
2006-07,v3,,,0.02081908163120555,,
2006-07,v3,,,,0.003541197971894606,
2006-07,v3,,,,,-0.039057146225846315
2006-08,v1,0.04294831598930939,,,,
2006-08,v1,,0.059963900531557625,,,
2006-08,v1,,,0.06365027136183384,,
2006-08,v1,,,,0.04756985741887884,
2006-08,v1,,,,,0.01982017619055785
2006-08,v2,0.05417657382843009,,,,
2006-08,v2,,0.0513569805613419,,,
2006-08,v2,,,0.059429750208094864,,
2006-08,v2,,,,0.052431562647574446,
2006-08,v2,,,,,0.01655765424669624
2006-08,v3,0.054928521609834066,,,,
2006-08,v3,,0.053146770524861935,,,
2006-08,v3,,,0.05167797354098822,,
2006-08,v3,,,,0.058316707979429803,
2006-08,v3,,,,,0.015882547837023503
2006-09,v1,-0.01875463221073263,,,,
2006-09,v1,,0.007761712349879968,,,
2006-09,v1,,,0.012112262431541843,,
2006-09,v1,,,,0.004833970261039287,
2006-09,v1,,,,,-0.021797551117087244
2006-09,v2,-0.01454960550290783,,,,
2006-09,v2,,0.005470710991880615,,,
2006-09,v2,,,0.01430605394365596,,
2006-09,v2,,,,-0.0027710511611584113,
2006-09,v2,,,,,-0.018348485502254628
2006-09,v3,-0.015153898823717635,,,,
2006-09,v3,,0.006135626164603391,,,
2006-09,v3,,,0.01514368372835449,,
2006-09,v3,,,,-0.0012392100985701437,
2006-09,v3,,,,,-0.02075961328882934
2006-10,v1,0.04002260397031194,,,,
2006-10,v1,,0.032334797830167225,,,
2006-10,v1,,,0.04899277384287328,,
2006-10,v1,,,,0.05191286523870137,
2006-10,v1,,,,,0.022243892863557588
2006-10,v2,0.0454261315077585,,,,
2006-10,v2,,0.03265104553240003,,,
2006-10,v2,,,0.049475208798616124,,
2006-10,v2,,,,0.04805827194768159,
2006-10,v2,,,,,0.019861414491171615
2006-10,v3,0.04733785717143588,,,,
2006-10,v3,,0.03464160405460391,,,
2006-10,v3,,,0.0502247989837833,,
2006-10,v3,,,,0.051404341706573396,
2006-10,v3,,,,,0.011851136647272166
2006-11,v1,0.05426022101799916,,,,
2006-11,v1,,0.04570035429409275,,,
2006-11,v1,,,0.06267131826237406,,
2006-11,v1,,,,0.07357586579614715,
2006-11,v1,,,,,0.047907653643858426
2006-11,v2,0.05426022101799916,,,,
2006-11,v2,,0.04570035429409275,,,
2006-11,v2,,,0.06267131826237406,,
2006-11,v2,,,,0.07345626923202488,
2006-11,v2,,,,,0.04802652538031936
2006-11,v3,0.05878852526403641,,,,
2006-11,v3,,0.045643552091528504,,,
2006-11,v3,,,0.05496865804373588,,
2006-11,v3,,,,0.07787536158616272,
2006-11,v3,,,,,0.04681834653427356
2006-12,v1,0.2388755732907185,,,,
2006-12,v1,,0.2526124105540584,,,
2006-12,v1,,,0.24779148680582652,,
2006-12,v1,,,,0.26123143683445366,
2006-12,v1,,,,,0.22755122665330807
2006-12,v2,0.23832089465801823,,,,
2006-12,v2,,0.24405993997819145,,,
2006-12,v2,,,0.2558885627038443,,
2006-12,v2,,,,0.2619477856914815,
2006-12,v2,,,,,0.22784495110682962
2006-12,v3,0.23163480448793256,,,,
2006-12,v3,,0.25976695132749344,,,
2006-12,v3,,,0.25667783917318954,,
2006-12,v3,,,,0.2640510172019087,
2006-12,v3,,,,,0.21593152194784088
2007-01,v1,0.212485751330777,,,,
2007-01,v1,,0.20769646946416828,,,
2007-01,v1,,,0.18144629808918097,,
2007-01,v1,,,,0.1658301864323058,
2007-01,v1,,,,,0.1732605014294305
2007-01,v2,0.2029688599207353,,,,
2007-01,v2,,0.19843091741360352,,,
2007-01,v2,,,0.19366635503698496,,
2007-01,v2,,,,0.17530807222820124,
