ym,code,vol20,vol120,idio120
2005-08,000001,0.018412438757398272,0.02937927,
2005-08,000002,0.020509166296525928,0.023171145,
2005-08,000006,0.019196383019626315,0.02430218,
2005-08,000007,0.03232015434814033,0.038468722,
2005-08,000008,0.028406813246011145,0.03719801,
2005-08,000009,0.0332155452582067,0.0332223,
2005-08,000010,0.038863423796856165,0.034759913,
2005-08,000011,0.028216743520753665,0.03936797,
2005-08,000012,0.028684555553219807,0.029580807,
2005-08,000014,0.022822106660591455,0.027494464,
2005-08,000016,0.023541902713617033,0.027972536,
2005-08,000019,0.04129164682485028,0.03732663,
2005-08,000020,0.038440741937595065,0.030842645,
2005-08,000021,0.022451391461453626,0.028610352,
2005-08,000025,0.04000892678380588,0.031637385,
2005-08,000026,0.036686392011166226,0.035161763,
2005-08,000027,0.019738210052416875,0.02377248,
2005-08,000028,0.025491099979436566,0.026962202,
2005-08,000029,0.03428504991369057,0.038174286,
2005-08,000030,0.03302477721501227,0.031602442,
2005-08,000031,0.025955248037826395,0.032662943,
2005-08,000032,0.024227323846170417,0.034212857,
2005-08,000034,0.038865652757855224,0.037130643,
2005-08,000035,0.04156425991661788,0.03245106,
2005-08,000036,0.03215020132498018,0.032420076,
2005-08,000037,0.03337788637824268,0.030811977,
2005-08,000039,0.028119424083985413,0.033943757,
2005-08,000042,0.028977972626368326,0.02517635,
2005-08,000045,0.044545798369696465,0.038397603,
2005-08,000048,0.03363506170769706,0.031011755,
2005-08,000049,0.028729769036693605,0.032830458,
2005-08,000050,0.031118477940734097,0.03253432,
2005-08,000055,0.03773512926015912,0.037430257,
2005-08,000056,0.04293670566750027,0.041230228,
2005-08,000058,0.036501483298448545,0.037241876,
2005-08,000059,0.020010048240479774,0.022331825,
2005-08,000060,0.016645977207331346,0.023122838,
2005-08,000062,0.02282524059983258,0.026312651,
2005-08,000065,0.026720049994161797,0.024848396,
2005-08,000066,0.026685208430162123,0.025241474,
2005-08,000068,0.022941899665222337,0.03254481,
2005-08,000069,0.0293063560764646,0.023611091,
