date,nav_3,nav_5,nav_10,hs300,ew_alla
2023-09-28,1.0,1.0,1.0,1.0,1.0
2023-10-09,0.9971955817219111,0.9940007487957834,0.9982580034185978,0.9987017270824339,0.9952602274965744
2023-10-10,0.9900176462488854,0.9765074016532627,0.9778008886469488,0.9912208020724665,0.9923400625693898
2023-10-11,0.9949133213468808,0.9966943234444174,0.9987165120477559,0.9940455620613755,0.9949941261243671
2023-10-12,1.003472673872972,0.9944567868707207,1.003899534652061,1.0034869062806866,1.0002487806801617
2023-10-13,1.003162577913595,0.9814554239245846,1.001064195945355,0.9929240060419833,0.9934975098099363
2023-10-16,1.002558130937858,0.9805721385348634,0.9926847303428605,0.9829462772498406,0.9871067496841593
2023-10-17,0.9962687163834356,0.9667434093511307,0.9794367627042183,0.9864169212392843,0.985524974023201
2023-10-18,0.9766589917948234,0.9441295635636597,0.9524790467254766,0.9786042454879597,0.9678953061087219
2023-10-19,0.9573278480674767,0.9321596952893021,0.9416066453018571,0.9577256318374465,0.9593436782291741
2023-10-20,0.954513332351953,0.9665817482931464,0.9544861714494404,0.9515036792078747,0.9505199506663757
2023-10-23,0.9392791356215375,0.9408897749879811,0.9273767056435225,0.9416527962874274,0.9275244248479422
2023-10-24,0.9545851615635687,0.9533091301582077,0.9480542512303302,0.9451453943700491,0.9498345904777133
2023-10-25,0.9681965891650525,0.9554657715216288,0.9531373991553446,0.9498419440810275,0.9629423658649248
2023-10-26,0.9630786916557443,0.9513711750758101,0.9511480084183483,0.9524674910022098,0.9660808218081194
2023-10-27,0.9828583425018632,0.9858748060015406,0.9884390191526424,0.965542373161582,0.981110732133544
2023-10-30,0.9809881451861491,0.9841739970692919,0.9915898263821268,0.9713390668751493,0.9933119612907194
2023-10-31,0.98310402475221,0.9790449480056769,0.9920938127554098,0.9682855506560886,0.9893231250147436
2023-11-01,0.9878284625646173,0.9752997869879758,0.9880652464373066,0.9678846851769487,0.9910734442015062
2023-11-02,0.9844345134067276,0.9667542564517762,0.9779431719993912,0.963320944177788,0.9810403695823563
2023-11-03,0.9858367650911544,0.9752761049118326,0.983228956487392,0.9714377247753568,0.9936900889787569
2023-11-06,0.9950441090040432,0.9952756508497076,1.0052678827031711,0.9845754877942019,1.0136699985186846
2023-11-07,1.0101487377115934,1.011846649900362,1.012123215034049,0.9810929181245134,1.0191928768285707
2023-11-08,1.021372644510355,1.0259284588611857,1.0338942596841898,0.9787384093907143,1.0222197637437542
2023-11-09,1.0099856533818867,1.0133760341846412,1.0159282706085477,0.9792138103713847,1.0165128106565349
2023-11-10,1.006681960313478,1.0075338057321197,1.012659070065082,0.9720754776302698,1.014974019525702
2023-11-13,1.006288018435576,1.0117063748667037,1.0172319726342045,0.9701578824545327,1.0252795595171527
2023-11-14,1.0055283532986208,1.0183081662246178,1.0187876362783415,0.9708745074219742,1.0312903006205258
2023-11-15,1.0047932195140352,1.0218548623713901,1.0220908280533405,0.9777011462475983,1.0378538310319263
2023-11-16,0.996635504852805,1.0106384725754214,1.0090945642990008,0.9682470632334802,1.0296791486094279
2023-11-17,1.000622218339562,1.010514678482402,1.0150168962643842,0.9670829542186687,1.0378555308205613
2023-11-20,1.004770427795081,1.019861599029409,1.0240747184371628,0.9693201034173308,1.0491898749071578
2023-11-21,1.0104094369061905,1.0179851647632294,1.0216259319649406,0.9706059085782773,1.0463553994664279
2023-11-22,0.994213771259573,0.9969416922552771,1.0074336277993323,0.9606720879724908,1.040990454221852
2023-11-23,1.0018206744905418,1.0061898138284404,1.019317048463083,0.9653079251294953,1.0500762532084469
