reb_date,rank,code,name,mean_roe_3y,n_obs
2026-03-31,7,605499,东鹏饮料,0.4736,10
2026-03-31,8,600809,山西汾酒,0.4654,10
2026-03-31,9,605117,德业股份,0.4653,10
2026-03-31,10,002847,盐津铺子,0.4389,10
2026-06-30,1,600132,重庆啤酒,0.6789,11
2026-06-30,2,002668,TCL智家,0.6107,11
2026-06-30,3,300502,新易盛,0.504,11
2026-06-30,4,605499,东鹏饮料,0.4915,11
2026-06-30,5,603202,天有为,0.4705,8
2026-06-30,6,002172,澳洋健康,0.4534,10
2026-06-30,7,301004,嘉益股份,0.4471,11
2026-06-30,8,600809,山西汾酒,0.4313,11
2026-06-30,9,688813,泰金新能,0.4297,8
2026-06-30,10,002847,盐津铺子,0.4296,11
