ym,code,resid_z
2005-08,000001,0.3770040802780704
2005-08,000002,-0.1041482517637627
2005-08,000006,0.4902248713917831
2005-08,000007,-0.5409305238773653
2005-08,000008,-0.063857566408465
2005-08,000009,-0.33446476221328464
2005-08,000010,-1.0718268180619797
2005-08,000011,-0.02334472296067186
2005-08,000012,0.2922918449891681
2005-08,000014,0.24591282261122452
2005-08,000016,-0.8009809102927433
2005-08,000019,1.2082834553424437
2005-08,000020,0.2639446558213631
2005-08,000021,-0.36305324061512606
2005-08,000025,-0.40806761507845557
2005-08,000026,-1.2421744503357148
2005-08,000027,-0.3750074637352308
2005-08,000028,-1.0790024565689376
2005-08,000029,1.2830794644455719
2005-08,000030,0.4275680204081146
2005-08,000031,-0.5334917769753635
2005-08,000032,0.08739759270267647
2005-08,000034,-0.6143601199465955
2005-08,000035,0.8846316392175955
2005-08,000036,0.7439716587014722
2005-08,000037,0.5732766517781259
2005-08,000039,-0.5364496436923538
2005-08,000042,-0.4485081540780217
2005-08,000045,1.4291732591624218
2005-08,000048,0.1968665177673084
2005-08,000049,-0.3921345493102582
2005-08,000050,-0.7262434870239417
2005-08,000055,0.2102380083782089
2005-08,000056,0.5941853245050758
2005-08,000058,0.7679873077254799
2005-08,000059,-0.6936432124448395
2005-08,000060,0.9312980103704444
2005-08,000062,0.025459291435845757
2005-08,000065,-0.810733099387239
2005-08,000066,-0.4655217249922147
2005-08,000068,-0.028860876020249834
2005-08,000069,0.8672284624224921
2005-08,000070,1.1198151377359464
2005-08,000078,-0.9531223542671453
2005-08,000088,0.7862574948965813
2005-08,000089,1.3183282717323355
2005-08,000090,0.7094769396161102
2005-08,000096,1.1503154551868002
2005-08,000099,-0.5702703855688924
2005-08,000100,0.655764893391461
2005-08,000151,-0.5624520676843782
2005-08,000153,-0.5059770526310043
2005-08,000155,-0.35691072692805037
2005-08,000156,-1.135863013540922
2005-08,000157,0.25722328604809935
2005-08,000158,1.3320705332904141
2005-08,000159,-1.004703151496584
2005-08,000301,1.2450658812995918
2005-08,000400,0.42486749708455723
2005-08,000401,-1.0099542470979812
2005-08,000402,0.6391894418152707
2005-08,000404,-1.1586887159618362
2005-08,000407,-0.8857239918768649
2005-08,000408,-0.8446572722523973
2005-08,000410,-0.0061069629266013725
2005-08,000411,0.9432613754815636
2005-08,000415,-0.6645761908511842
2005-08,000417,-0.5997419046494789
2005-08,000419,-0.029894437576901117
2005-08,000420,0.04805193118182767
2005-08,000421,2.90300521418613
2005-08,000422,0.7287408706693603
2005-08,000423,0.3754573815240913
2005-08,000425,0.6013528983862726
2005-08,000426,0.36846852046045053
2005-08,000428,-0.8972349244333628
2005-08,000429,0.47223661874978734
2005-08,000430,-0.20415248774833622
2005-08,000488,0.38778048597403747
2005-08,000498,0.3297250363079231
2005-08,000501,0.5560430113913171
2005-08,000503,1.4689078768030892
2005-08,000504,-0.036967022103362286
2005-08,000505,-0.8104224301771412
2005-08,000506,-1.0084413573548365
2005-08,000507,-0.534091795474536
2005-08,000509,-0.7911379645962351
2005-08,000510,-0.37982451976009146
2005-08,000513,-0.14795644052921508
2005-08,000514,-1.2442015260193522
2005-08,000516,0.8228863410108276
2005-08,000517,0.35133539723210294
2005-08,000518,0.06959292847048605
2005-08,000519,1.067542593392731
2005-08,000520,-0.15068840385369103
2005-08,000521,-0.13970568586252716
2005-08,000523,-1.4355480735389143
2005-08,000524,-0.5351510606177357
2005-08,000525,-0.5801454033634685
2005-08,000526,-0.010790199655476026
2005-08,000528,-0.2740105401405717
2005-08,000530,-0.4897183595072219
2005-08,000531,-0.34887407503223494
2005-08,000532,-1.5698468229660234
2005-08,000533,0.9296120435661
2005-08,000534,0.6734264008596355
2005-08,000536,-0.8409622053606212
2005-08,000538,0.0804067424569899
2005-08,000539,-0.12083192558627075
