date,ic,n,note
2006-02-06,0.1356071854274159,846,
2006-03-01,-0.009173820202526639,825,
2006-04-03,-0.0675883488789804,774,
2006-05-08,0.33320500952097787,769,
2006-06-01,0.11174539884783423,838,
2006-07-03,0.285271162450733,838,
2006-08-01,-0.029245252573574018,896,
2006-09-01,0.14289784868563887,941,
2006-10-09,0.07093104077393277,946,
2006-11-01,-0.28604309568636177,968,
2006-12-01,-0.11478386933663795,968,
2007-01-04,0.05373001176512121,927,
2007-02-01,0.15315891137086177,965,
2007-03-01,0.20642534794490322,975,
2007-04-02,-0.06428157428070508,968,
2007-05-08,0.010657784392234144,949,
2007-06-01,0.047634816827483245,947,
2007-07-02,0.12350298186806684,966,
2007-08-01,0.025806719531485705,975,
2007-09-03,-0.020450709407694723,965,
2007-10-08,-0.036674255777117824,978,
2007-11-01,0.340019666201518,988,
2007-12-03,0.06119842631271129,998,
2008-01-02,0.15080852501411607,997,
2008-02-01,0.1522651306408735,1028,
2008-03-03,0.15629777383334537,1043,
2008-04-01,-0.14226673214089203,1046,
2008-05-05,0.20836246012679988,1049,
2008-06-02,0.027348899575721043,1072,
2008-07-01,0.1867147967045341,1085,
2008-08-01,0.16918554467741467,1097,
2008-09-01,-0.172208454115924,1125,
2008-10-06,0.2532116241533968,1134,
2008-11-03,0.16224596983210496,1148,
2008-12-01,0.28626617943668864,1150,
2009-01-05,-0.09816429837292374,1173,
2009-02-02,0.03520311230709574,1203,
2009-03-02,0.13589391420751037,1202,
2009-04-01,0.22540938293293428,1204,
2009-05-04,0.05485268898109883,1197,
2009-06-01,-0.021833354192194683,1192,
2009-07-01,-0.046492033260034135,1232,
2009-08-03,0.31766435073599714,1240,
2009-09-01,0.06084034599202961,1239,
2009-10-09,0.13162930635201853,1246,
2009-11-02,0.2721159266634968,1251,
2009-12-01,0.2349815030649008,1253,
2010-01-04,0.23002180477582695,1256,
2010-02-01,0.11967597720595992,1250,
2010-03-01,0.2515506901801696,1250,
2010-04-01,0.12420693967278906,1253,
2010-05-04,0.026126186973603773,1246,
2010-06-01,0.16282652625860772,1245,
2010-07-01,-0.011484080220441468,1251,
2010-08-02,0.19023173123264567,1240,
2010-09-01,-0.039794877612011184,1244,
2010-10-08,-0.15342030780480007,1261,
2010-11-01,0.33150545446030943,1299,
2010-12-01,0.08752602109572724,1310,
2011-01-04,0.05098661664933164,1336,
2011-02-01,0.012315755039291358,1376,
2011-03-01,0.08261881612679603,1386,
2011-04-01,0.026328460889497685,1394,
2011-05-03,0.08769435507553851,1432,
2011-06-01,0.030515992207087006,1461,
2011-07-01,0.19844947273746827,1483,
2011-08-01,0.26825622239045943,1505,
2011-09-01,0.061124064429400396,1544,
2011-10-10,0.10543347132749038,1550,
2011-11-01,0.24188828104299387,1593,
2011-12-01,0.01693501113365814,1605,
2012-01-04,-0.34377439492103945,1648,
2012-02-01,0.02615266652553611,1690,
2012-03-01,0.13757926413272134,1713,
2012-04-05,-0.10354605929967843,1711,
2012-05-02,0.19362977123033814,1724,
2012-06-01,0.30436078594603433,1774,
2012-07-02,-0.0698140051414257,1816,
2012-08-01,0.3307318188621228,1843,
2012-09-03,-0.11326196268490571,1861,
2012-10-08,0.09327262231053762,1874,
2012-11-01,-0.0062513364690493685,1894,
2012-12-03,-0.05265031613382385,1903,
2013-01-04,0.08120059205158069,1920,
2013-02-01,0.3039742496968247,1928,
2013-03-01,0.11294610078939049,1932,
2013-04-01,0.11618180883294214,1950,
2013-05-02,0.16815969637227193,1961,
2013-06-03,0.13887752438668446,1970,
2013-07-01,0.16547741150384704,1986,
2013-08-01,0.1003038481386705,1996,
2013-09-02,0.07011536196041937,1996,
2013-10-08,0.1564891846716494,2017,
2013-11-01,0.20301594000085482,2006,
2013-12-02,0.3643695992770269,2004,
2014-01-02,0.1728871817501923,2007,
2014-02-07,0.15771407974802876,2013,
2014-03-03,0.18927941058228184,1987,
2014-04-01,0.12902549765260604,1963,
2014-05-05,0.16888841271142582,1929,
2014-06-03,0.19218701657965528,1919,
2014-07-01,0.07393913131168622,1917,
2014-08-01,0.23062209669315603,1925,
2014-09-01,0.23778829290753958,1910,
2014-10-08,0.11027858241582217,1899,
2014-11-03,0.01022334202779768,1903,
2014-12-01,-0.3277524448130463,1882,
2015-01-05,0.35836127507280385,1882,
2015-02-02,0.058773743557495164,1909,
2015-03-02,0.2337127270677786,1920,
2015-04-01,0.06042135183473821,1869,
2015-05-04,0.36866330672839365,1844,
2015-06-01,0.05246102626678418,1804,
2015-07-01,-0.06310724153181593,1788,
2015-08-03,0.09731837199413515,1723,
2015-09-01,0.2826115350900602,1767,
2015-10-08,0.16770959748515143,1826,
2015-11-02,0.2772622339445758,1843,
2015-12-01,0.22933704643515482,1927,
2016-01-04,0.17133295869826476,1983,
2016-02-01,0.0191466956276013,2041,
2016-03-01,0.1663490117807838,2049,
2016-04-01,0.2747299154914525,2047,
2016-05-03,0.04434900980351664,2070,
2016-06-01,0.15865389455104856,2120,
2016-07-01,0.17230788715535353,2185,
2016-08-01,0.28571662125760056,2207,
2016-09-01,0.28469991152699675,2226,
2016-10-10,0.1889394252232259,2199,
2016-11-01,0.13092494892426418,2229,
2016-12-01,0.14889353428034632,2224,
2017-01-03,-0.12100169622834195,2265,
2017-02-03,0.13412319732892802,2275,
2017-03-01,0.030020102940676856,2269,
2017-04-05,-0.07723188995197096,2279,
2017-05-02,-0.07591893098284229,2280,
2017-06-01,0.012181985475250243,2298,
2017-07-03,-0.10910055876636898,2314,
2017-08-01,0.10304723629495498,2324,
2017-09-01,0.07930660164686236,2392,
2017-10-09,0.08276970122595197,2410,
2017-11-01,-0.13910735729254695,2449,
2017-12-01,-0.10175181871600772,2473,
2018-01-02,-0.06822695006317805,2509,
2018-02-01,-0.02573295997765848,2552,
2018-03-01,0.22347784967454562,2549,
2018-04-02,0.06617824568128092,2600,
2018-05-02,0.18508298805335005,2649,
2018-06-01,-0.08262540584355185,2702,
2018-07-02,0.0808876027623395,2762,
2018-08-01,0.0009565492205117866,2840,
2018-09-03,-0.025067797368959616,2899,
2018-10-08,0.1751767504070542,2944,
2018-11-01,0.11211018752887429,2984,
2018-12-03,0.19389621993566544,3054,
2019-01-02,-0.0861016558783167,3092,
2019-02-01,-0.12956592896859634,3111,
2019-03-01,0.09075875220759788,3119,
2019-04-01,0.09913815290993863,3115,
2019-05-06,0.16864793991594232,3115,
2019-06-03,0.018105563298957184,3123,
2019-07-01,0.13252507472557415,3135,
2019-08-01,-0.1207108423343444,3144,
2019-09-02,0.14792200435314706,3152,
2019-10-08,0.022078187899416003,3158,
2019-11-01,-0.012703358147925916,3163,
2019-12-02,-0.02145526661540982,3174,
2020-01-02,-0.04454400881411523,3179,
2020-02-03,-0.10212151247934585,3199,
2020-03-02,0.37982236273907344,3205,
