date,ic,n,note
2006-02-06,0.11829752254358467,846,
2006-03-01,-0.011438028061382183,825,
2006-04-03,-0.0624141752328335,774,
2006-05-08,0.3492336224509094,769,
2006-06-01,0.11108642489339135,838,
2006-07-03,0.27920326782841337,838,
2006-08-01,-0.029428576168882205,896,
2006-09-01,0.1447164107672325,941,
2006-10-09,0.06905910210052978,946,
2006-11-01,-0.29410022524170754,968,
2006-12-01,-0.11215319843868454,968,
2007-01-04,0.05199202595040653,927,
2007-02-01,0.1689218161860129,965,
2007-03-01,0.21067105498762795,975,
2007-04-02,-0.04444393656435037,968,
2007-05-08,0.014774470897511542,949,
2007-06-01,0.04479012021185197,947,
2007-07-02,0.13717714994270275,966,
2007-08-01,0.05627675940770667,975,
2007-09-03,-0.004343339697791669,965,
2007-10-08,-0.04293503989045348,978,
2007-11-01,0.3588272079360096,988,
2007-12-03,0.0586620902502755,998,
2008-01-02,0.16162887008721452,997,
2008-02-01,0.14657337825713437,1028,
2008-03-03,0.15867166743239516,1043,
2008-04-01,-0.13691080039400932,1046,
2008-05-05,0.21043922250532743,1049,
2008-06-02,0.040776207011693724,1072,
2008-07-01,0.18926769314589142,1085,
2008-08-01,0.17570341582281096,1097,
2008-09-01,-0.15794753931364897,1125,
2008-10-06,0.2642610821092583,1134,
2008-11-03,0.16730148334150793,1148,
2008-12-01,0.2869605369601447,1150,
2009-01-05,-0.07015399077479488,1173,
2009-02-02,0.0435698842393214,1203,
2009-03-02,0.15792736511921884,1202,
2009-04-01,0.22765883788261426,1204,
2009-05-04,0.07793261923037027,1197,
2009-06-01,-0.006100434007081519,1192,
2009-07-01,-0.04753813593818875,1232,
2009-08-03,0.3014262262204074,1240,
2009-09-01,0.0719770131992336,1239,
2009-10-09,0.14341998065691347,1246,
2009-11-02,0.2776122270483011,1251,
2009-12-01,0.2574203298396376,1253,
2010-01-04,0.2256156444987873,1256,
2010-02-01,0.10854717333366087,1250,
2010-03-01,0.2560751974000934,1250,
