date,ic,n,note
2006-02-06,0.10597248630135357,846,
2006-03-01,-0.014190649254142252,825,
2006-04-03,-0.05881257430668488,774,
2006-05-08,0.3567336805649563,769,
2006-06-01,0.10961453847456239,838,
2006-07-03,0.2724117040614709,838,
2006-08-01,-0.028659903661402274,896,
2006-09-01,0.1449600619514259,941,
2006-10-09,0.06857955053402527,946,
2006-11-01,-0.29663455354941237,968,
2006-12-01,-0.10940529234786789,968,
2007-01-04,0.05141700051584306,927,
2007-02-01,0.17712311818650542,965,
2007-03-01,0.21144980759034418,975,
2007-04-02,-0.031211954298239798,968,
2007-05-08,0.01646951293813503,949,
2007-06-01,0.042452632556682864,947,
2007-07-02,0.14441680584421712,966,
2007-08-01,0.0753171840611453,975,
2007-09-03,0.005260701685084071,965,
2007-10-08,-0.045453796317810526,978,
2007-11-01,0.3663251518301876,988,
2007-12-03,0.05625513923542389,998,
2008-01-02,0.1670541862957192,997,
2008-02-01,0.14169443436495577,1028,
2008-03-03,0.15901831222562307,1043,
2008-04-01,-0.13260776543989708,1046,
2008-05-05,0.20991362970780286,1049,
2008-06-02,0.04969655445298931,1072,
2008-07-01,0.18898043921502305,1085,
2008-08-01,0.17916500660418172,1097,
2008-09-01,-0.14814328707032215,1125,
2008-10-06,0.2685399854270078,1134,
2008-11-03,0.16799355528230528,1148,
2008-12-01,0.2850595787101902,1150,
2009-01-05,-0.050420963999165805,1173,
2009-02-02,0.04787207507778458,1203,
2009-03-02,0.17163405213692284,1202,
2009-04-01,0.2254805153889033,1204,
2009-05-04,0.09278846703666535,1197,
2009-06-01,0.004294658231165416,1192,
2009-07-01,-0.04814335074337872,1232,
2009-08-03,0.2883850402074831,1240,
2009-09-01,0.07954854657950211,1239,
2009-10-09,0.15013960641289245,1246,
2009-11-02,0.2794612844864666,1251,
2009-12-01,0.2692894607042182,1253,
2010-01-04,0.2205068086694411,1256,
2010-02-01,0.10073638392278982,1250,
2010-03-01,0.2570850174010022,1250,
2010-04-01,0.11922231731733149,1253,
2010-05-04,0.017562954970775667,1246,
2010-06-01,0.1886136379550685,1245,
2010-07-01,0.03819322006716498,1251,
2010-08-02,0.170436281766159,1240,
2010-09-01,-0.01488672634540916,1244,
2010-10-08,-0.12411226041701456,1261,
2010-11-01,0.3175455891179905,1299,
2010-12-01,0.10855622369060981,1310,
2011-01-04,0.05786326248171621,1336,
2011-02-01,0.013094281303425567,1376,
2011-03-01,0.08209052763548301,1386,
2011-04-01,0.03465047931392169,1394,
2011-05-03,0.09029681323130562,1432,
2011-06-01,0.05434589367778047,1461,
2011-07-01,0.20912310380563717,1483,
2011-08-01,0.26833636181697695,1505,
2011-09-01,0.10616467640984995,1544,
2011-10-10,0.11328002849575337,1550,
2011-11-01,0.24186958056549712,1593,
2011-12-01,0.022173499288969434,1605,
2012-01-04,-0.30103688770840364,1648,
2012-02-01,0.04633586159775449,1690,
2012-03-01,0.12850743049721788,1713,
2012-04-05,-0.058199340846433446,1711,
2012-05-02,0.20527042317075694,1724,
2012-06-01,0.29619753710397967,1774,
2012-07-02,-0.0674988368465536,1816,
2012-08-01,0.3245545253108038,1843,
2012-09-03,-0.08103900367570505,1861,
2012-10-08,0.1066536157050891,1874,
2012-11-01,0.0009114658132058378,1894,
2012-12-03,-0.015251503424397336,1903,
2013-01-04,0.08406753680950328,1920,
2013-02-01,0.3152167194040199,1928,
2013-03-01,0.09706499296814382,1932,
2013-04-01,0.13029239937108453,1950,
2013-05-02,0.17660634031862724,1961,
2013-06-03,0.1467346332014587,1970,
2013-07-01,0.1764005284361418,1986,
2013-08-01,0.11745283880193279,1996,
2013-09-02,0.09416533857186615,1996,
2013-10-08,0.16662254990637484,2017,
2013-11-01,0.21314213668552978,2006,
2013-12-02,0.3572710781154436,2004,
2014-01-02,0.15456308746888356,2007,
2014-02-07,0.13153729387967064,2013,
2014-03-03,0.19418649384002726,1987,
2014-04-01,0.12283892820703772,1963,
2014-05-05,0.190318830652001,1929,
2014-06-03,0.20064071512158926,1919,
2014-07-01,0.08990792755376607,1917,
2014-08-01,0.2201776826021641,1925,
2014-09-01,0.24436666302601268,1910,
2014-10-08,0.11976304174587363,1899,
2014-11-03,0.02904296109649935,1903,
2014-12-01,-0.29084106382442426,1882,
2015-01-05,0.34244198293103,1882,
2015-02-02,0.04399118092557184,1909,
2015-03-02,0.23332461549015732,1920,
2015-04-01,0.06860780621554514,1869,
2015-05-04,0.35577284194312764,1844,
2015-06-01,0.10327372049320256,1804,
2015-07-01,-0.010468638581728308,1788,
2015-08-03,0.13164101994114993,1723,
2015-09-01,0.2795318261405336,1767,
2015-10-08,0.1863032939144543,1826,
2015-11-02,0.2787099375672665,1843,
2015-12-01,0.2609156000048613,1927,
2016-01-04,0.1990983016220783,1983,
2016-02-01,0.02482200829811834,2041,
2016-03-01,0.17886202857872602,2049,
2016-04-01,0.2733456227093408,2047,
2016-05-03,0.05522005170946346,2070,
2016-06-01,0.1762640265383761,2120,
2016-07-01,0.19662960137797292,2185,
2016-08-01,0.28262963430215304,2207,
2016-09-01,0.2528302367088397,2226,
2016-10-10,0.19998060161141787,2199,
2016-11-01,0.1465573133481103,2229,
2016-12-01,0.150523592530315,2224,
2017-01-03,-0.11182792127205136,2265,
2017-02-03,0.15262486197322137,2275,
2017-03-01,0.037607260693712445,2269,
2017-04-05,-0.07586337974987084,2279,
2017-05-02,-0.09264636921976034,2280,
2017-06-01,0.04975421445959398,2298,
2017-07-03,-0.0960140601994898,2314,
2017-08-01,0.1423074652654134,2324,
2017-09-01,0.0674344746008583,2392,
2017-10-09,0.07059222372238798,2410,
2017-11-01,-0.12793701784051983,2449,
2017-12-01,-0.09026971072349711,2473,
2018-01-02,-0.06006763568295964,2509,
2018-02-01,-0.03212435538875331,2552,
2018-03-01,0.22657628080490685,2549,
2018-04-02,0.07760662595296872,2600,
2018-05-02,0.1678428924109448,2649,
2018-06-01,-0.07412248816188562,2702,
2018-07-02,0.11139686936264405,2762,
2018-08-01,0.020985144479431884,2840,
2018-09-03,-0.028753954298713573,2899,
2018-10-08,0.18422066126141823,2944,
2018-11-01,0.15097646077766116,2984,
2018-12-03,0.1719073133659731,3054,
2019-01-02,-0.07660679274235599,3092,
2019-02-01,-0.08493218669620628,3111,
2019-03-01,0.09574553035135498,3119,
2019-04-01,0.10718714990681155,3115,
2019-05-06,0.1844096444706459,3115,
2019-06-03,0.04197684812431404,3123,
2019-07-01,0.12976223798833458,3135,
2019-08-01,-0.10312767035547371,3144,
2019-09-02,0.14573040342070578,3152,
2019-10-08,0.031236335200146632,3158,
