date,nav
2013-04-24,1.0
2013-04-25,1.0
2013-05-02,1.0
2013-05-07,1.0
2013-05-09,1.001
2013-05-13,1.001
2013-05-14,1.001
2013-05-15,1.003
2013-05-16,1.004
2013-05-19,1.006
2013-05-20,1.006
2013-05-21,0.999
2013-05-22,0.998
2013-05-23,0.997
2013-05-27,1.002
2013-05-28,0.998
2013-05-29,1.002
2013-05-30,0.994
2013-06-02,0.996
2013-06-03,0.99
2013-06-04,0.98
2013-06-05,0.983
2013-06-06,0.993
2013-06-12,0.985
2013-06-13,0.979
2013-06-16,0.987
2013-06-17,0.996
2013-06-18,0.985
2013-06-19,0.961
2013-06-20,0.958
2013-06-23,0.949
2013-06-24,0.955
2013-06-25,0.964
2013-06-26,0.968
2013-06-27,0.969
2013-06-29,0.969
2013-06-30,0.975
2013-07-01,0.975
2013-07-02,0.98
2013-07-04,0.987
2013-07-07,0.988
2013-07-08,0.993
2013-07-09,0.997
2013-07-10,1.016
2013-07-11,1.022
2013-07-14,1.024
2013-07-15,1.024
2013-07-16,1.026
2013-07-17,1.024
2013-07-18,1.013
2013-07-21,1.016
2013-07-22,1.008
2013-07-23,1.011
2013-07-24,1.019
2013-07-25,1.023
2013-07-28,1.021
2013-07-29,1.027
2013-07-30,1.029
2013-07-31,1.04
2013-08-01,1.046
2013-08-04,1.046
2013-08-05,1.039
2013-08-06,1.037
2013-08-07,1.042
2013-08-08,1.037
2013-08-11,1.039
2013-08-12,1.045
2013-08-13,1.041
2013-08-14,1.023
2013-08-15,1.021
2013-08-18,1.02
2013-08-19,1.025
2013-08-20,1.021
2013-08-21,1.031
2013-08-22,1.039
2013-08-25,1.037
2013-08-26,1.017
2013-08-27,1.02
2013-08-28,1.027
2013-08-29,1.021
2013-09-02,1.027
2013-09-03,1.038
2013-09-04,1.039
2013-09-05,1.041
2013-09-08,1.052
2013-09-09,1.057
2013-09-10,1.055
2013-09-11,1.053
2013-09-12,1.054
2013-09-15,1.051
2013-09-16,1.059
2013-09-17,1.072
2013-09-22,1.067
2013-09-23,1.067
2013-09-24,1.063
2013-09-25,1.071
2013-09-26,1.07
2013-09-29,1.066
2013-10-07,1.045
2013-10-08,1.042
2013-10-09,1.064
2013-10-10,1.072
2013-10-13,1.079
2013-10-14,1.075
2013-10-15,1.087
2013-10-16,1.093
2013-10-17,1.109
2013-10-20,1.111
2013-10-21,1.113
2013-10-22,1.106
2013-10-23,1.111
2013-10-24,1.118
2013-10-27,1.118
2013-10-28,1.121
2013-10-29,1.12
2013-10-30,1.118
2013-10-31,1.119
2013-11-03,1.121
2013-11-04,1.122
2013-11-05,1.122
2013-11-06,1.101
2013-11-07,1.114
2013-11-10,1.112
2013-11-11,1.113
2013-11-12,1.126
2013-11-13,1.129
2013-11-14,1.131
2013-11-17,1.12
2013-11-18,1.117
2013-11-19,1.113
2013-11-20,1.128
2013-11-21,1.134
2013-11-24,1.135
2013-11-25,1.142
2013-11-26,1.146
2013-11-28,1.152
2013-12-01,1.149
2013-12-02,1.149
2013-12-03,1.15
2013-12-04,1.148
2013-12-05,1.155
2013-12-08,1.157
2013-12-09,1.156
2013-12-10,1.141
2013-12-11,1.138
2013-12-12,1.137
2013-12-15,1.143
2013-12-16,1.141
2013-12-17,1.154
2013-12-18,1.152
2013-12-19,1.164
2013-12-22,1.175
2013-12-23,1.176
2013-12-25,1.18
2013-12-26,1.174
2013-12-29,1.172
2013-12-30,1.178
2014-01-01,1.17
2014-01-02,1.163
2014-01-05,1.16
2014-01-06,1.17
2014-01-07,1.173
2014-01-08,1.169
2014-01-09,1.171
2014-01-12,1.153
2014-01-13,1.174
2014-01-14,1.184
2014-01-15,1.186
2014-01-16,1.179
2014-01-20,1.188
2014-01-21,1.191
2014-01-22,1.187
2014-01-23,1.163
2014-01-26,1.153
2014-01-27,1.151
2014-01-28,1.139
2014-01-29,1.16
2014-02-06,1.169
2014-02-09,1.176
2014-02-10,1.188
2014-02-11,1.19
2014-02-12,1.2
2014-02-13,1.201
2014-02-17,1.206
2014-02-18,1.199
2014-02-19,1.205
2014-02-20,1.203
2014-02-23,1.21
2014-02-24,1.208
2014-02-25,1.207
2014-02-26,1.215
2014-02-27,1.214
2014-03-02,1.205
2014-03-03,1.221
2014-03-04,1.224
2014-03-05,1.222
2014-03-06,1.216
2014-03-09,1.219
2014-03-10,1.215
2014-03-11,1.22
2014-03-12,1.202
2014-03-13,1.195
2014-03-16,1.205
2014-03-17,1.219
2014-03-18,1.212
2014-03-19,1.217
2014-03-20,1.204
2014-03-23,1.193
2014-03-24,1.196
2014-03-25,1.182
2014-03-26,1.176
2014-03-27,1.178
2014-03-30,1.186
2014-03-31,1.207
2014-04-01,1.209
2014-04-02,1.2
2014-04-03,1.169
2014-04-07,1.168
2014-04-08,1.187
2014-04-09,1.151
2014-04-10,1.138
2014-04-13,1.147
2014-04-14,1.152
2014-04-15,1.167
2014-04-16,1.167
2014-04-20,1.176
2014-04-21,1.185
2014-04-22,1.175
2014-04-23,1.185
2014-04-24,1.166
2014-04-27,1.17
2014-04-28,1.179
2014-04-29,1.182
2014-05-04,1.189
2014-05-05,1.173
2014-05-06,1.17
2014-05-07,1.169
2014-05-08,1.174
2014-05-11,1.194
2014-05-12,1.194
2014-05-13,1.189
2014-05-14,1.179
2014-05-15,1.186
2014-05-18,1.196
2014-05-19,1.191
2014-05-20,1.202
2014-05-21,1.208
2014-05-22,1.217
2014-05-26,1.232
2014-05-27,1.229
2014-05-28,1.236
2014-05-29,1.237
2014-06-02,1.235
2014-06-03,1.238
2014-06-04,1.25
2014-06-05,1.254
2014-06-08,1.252
2014-06-09,1.253
2014-06-10,1.253
2014-06-11,1.243
2014-06-12,1.246
2014-06-15,1.248
2014-06-16,1.248
2014-06-17,1.256
2014-06-18,1.254
2014-06-19,1.255
2014-06-22,1.256
2014-06-23,1.254
2014-06-24,1.263
2014-06-25,1.262
2014-06-26,1.268
2014-06-29,1.269
2014-06-30,1.284
2014-07-01,1.286
2014-07-02,1.295
2014-07-06,1.292
2014-07-07,1.276
2014-07-08,1.285
2014-07-09,1.278
2014-07-10,1.286
2014-07-13,1.294
2014-07-14,1.289
2014-07-15,1.295
2014-07-16,1.279
2014-07-17,1.298
2014-07-20,1.296
2014-07-21,1.305
2014-07-22,1.313
2014-07-23,1.312
2014-07-24,1.307
2014-07-27,1.308
2014-07-28,1.305
2014-07-29,1.311
2014-07-30,1.286
2014-07-31,1.282
2014-08-03,1.29
2014-08-04,1.279
2014-08-05,1.28
2014-08-06,1.275
2014-08-07,1.283
2014-08-10,1.289
2014-08-11,1.287
2014-08-12,1.302
2014-08-13,1.309
2014-08-14,1.315
2014-08-17,1.325
2014-08-18,1.332
2014-08-19,1.333
2014-08-20,1.336
2014-08-21,1.338
2014-08-24,1.344
2014-08-25,1.345
2014-08-26,1.346
2014-08-27,1.343
2014-08-28,1.349
2014-09-01,1.354
2014-09-02,1.346
2014-09-03,1.343
2014-09-04,1.352
2014-09-08,1.339
2014-09-09,1.348
2014-09-10,1.348
2014-09-11,1.34
2014-09-14,1.327
2014-09-15,1.339
2014-09-16,1.341
2014-09-17,1.351
2014-09-18,1.349
2014-09-21,1.337
2014-09-22,1.334
2014-09-23,1.348
2014-09-24,1.32
2014-09-25,1.335
2014-09-28,1.334
2014-09-29,1.335
2014-10-07,1.331
2014-10-08,1.307
2014-10-09,1.275
2014-10-12,1.255
2014-10-13,1.255
2014-10-14,1.248
2014-10-15,1.239
2014-10-16,1.256
2014-10-19,1.273
2014-10-20,1.304
2014-10-21,1.297
2014-10-22,1.317
2014-10-23,1.326
2014-10-26,1.326
2014-10-27,1.344
2014-10-28,1.339
2014-10-29,1.343
2014-10-30,1.361
2014-11-02,1.366
2014-11-03,1.363
2014-11-04,1.361
2014-11-05,1.367
2014-11-06,1.366
2014-11-09,1.366
2014-11-10,1.37
2014-11-11,1.373
2014-11-12,1.379
2014-11-13,1.383
2014-11-16,1.379
2014-11-17,1.389
2014-11-18,1.382
2014-11-19,1.389
2014-11-20,1.391
2014-11-23,1.402
2014-11-24,1.402
2014-11-25,1.411
2014-11-27,1.417
2014-11-30,1.401
2014-12-01,1.406
2014-12-02,1.41
2014-12-03,1.41
2014-12-04,1.409
2014-12-07,1.395
2014-12-08,1.4
2014-12-09,1.376
2014-12-10,1.381
2014-12-11,1.367
2014-12-14,1.352
2014-12-15,1.331
2014-12-16,1.354
2014-12-17,1.39
2014-12-18,1.394
2014-12-21,1.398
2014-12-22,1.394
2014-12-23,1.396
2014-12-25,1.405
2014-12-28,1.405
2014-12-29,1.395
2014-12-30,1.38
2015-01-04,1.357
2015-01-05,1.341
2015-01-06,1.358
2015-01-07,1.384
2015-01-08,1.375
2015-01-11,1.359
2015-01-12,1.356
2015-01-13,1.35
2015-01-14,1.332
2015-01-15,1.349
2015-01-19,1.359
2015-01-20,1.367
2015-01-21,1.392
2015-01-22,1.396
2015-01-25,1.396
2015-01-26,1.36
2015-01-27,1.349
2015-01-28,1.362
2015-01-29,1.353
2015-02-01,1.366
2015-02-02,1.379
2015-02-03,1.377
2015-02-04,1.39
2015-02-05,1.379
2015-02-08,1.376
2015-02-09,1.396
2015-02-10,1.402
2015-02-11,1.419
2015-02-12,1.429
2015-02-16,1.431
2015-02-24,1.45
2015-02-25,1.456
2015-02-26,1.452
2015-03-01,1.467
2015-03-02,1.459
2015-03-03,1.454
2015-03-04,1.457
2015-03-05,1.439
2015-03-08,1.444
2015-03-09,1.417
2015-03-10,1.412
2015-03-11,1.422
2015-03-12,1.414
2015-03-15,1.432
2015-03-16,1.433
2015-03-17,1.448
2015-03-18,1.447
2015-03-19,1.459
2015-03-22,1.453
2015-03-23,1.447
2015-03-24,1.413
2015-03-25,1.407
2015-03-26,1.414
2015-03-29,1.431
2015-03-30,1.416
