,rv20,rv_pct,nav_end,mdd_intra,ret,mdd,MA15_base,rv_state,gate_on
2007-02,0.42754770435474987,1.0,1.8842174754424177,-0.06508784726439565,0.17423144761626985,-0.06508784726439565,0.6604999545030288,low,de_risk
2007-03,0.14231601494463525,0.11594202898550725,2.13168635164544,-0.0246761084902557,0.13133774600244386,-0.0246761084902557,0.6604999545030288,low,de_risk
2007-04,0.258056612071403,0.6127946127946128,2.501452886763637,-0.024485604809673434,0.17346197991687462,-0.024485604809673434,0.612678245121372,low,de_risk
2007-05,0.373049680873867,0.946031746031746,2.694185654691889,-0.06558044707518362,0.077048330171674,-0.06558044707518362,0.3617373663853926,low,de_risk
2007-06,0.5328388236391528,0.9851190476190477,2.4432039646204533,-0.12322565372925909,-0.09315679104532182,-0.12322565372925909,0.3617373663853926,low,de_risk
2007-07,0.37850636362649803,0.8547486033519553,2.83370007400406,-0.04028331232849558,0.15982951691234248,-0.04028331232849558,0.5188710279780036,low,de_risk
2007-08,0.19397635591922135,0.34120734908136485,3.0874721012668807,-0.010711108603399189,0.08955500604700095,-0.010711108603399189,0.509299855653662,low,de_risk
2007-09,0.24967330311529967,0.48129675810473815,3.061967811616817,-0.037657700412714434,-0.008260573314848307,-0.037657700412714434,0.509299855653662,low,de_risk
2007-10,0.3504544945993091,0.8162291169451074,2.9267051544890355,-0.08381758250372995,-0.04417507480470817,-0.08381758250372995,0.3472095684760226,low,de_risk
2007-11,0.2519518459837827,0.47845804988662133,2.967346899867201,-0.026777054655642063,0.0138865185363235,-0.026777054655642063,0.2820668396136399,low,de_risk
2007-12,0.16632267310083995,0.1648590021691974,3.320218064959184,-0.009414833386611976,0.11891806957513973,-0.009414833386611976,0.2820668396136399,low,de_risk
2008-01,0.477642657578585,0.9296066252587992,3.2462833193126026,-0.1044195116466029,-0.02226803908661046,-0.1044195116466029,0.2651131987371931,low,de_risk
2008-02,0.45945796868190214,0.8917835671342685,3.371873577127116,-0.02909069990922175,0.03868739893014239,-0.02909069990922175,0.4232766477471562,low,de_risk
2008-03,0.455436201116361,0.8884615384615384,3.170289300639197,-0.1018714992868659,-0.0597840553261999,-0.1018714992868659,0.2047667664062255,low,de_risk
2008-04,0.6260174021976347,0.9852125693160814,3.1242269107491976,-0.042527571313868195,-0.014529396380548731,-0.042527571313868195,0.2838868642696541,low,de_risk
2008-05,0.3694002237755163,0.732620320855615,3.1120154100456165,-0.0281558952724712,-0.003908647179744262,-0.0281558952724712,0.2838868642696541,low,de_risk
2008-06,0.5832217379978181,0.963855421686747,2.976659226934468,-0.05018850346139503,-0.04349470207448769,-0.05018850346139503,0.1293600457235811,low,de_risk
2008-07,0.38416622305154,0.7367549668874173,3.0531952982520854,-0.014816971403369017,0.025712070305218937,-0.014816971403369017,0.117551488828788,low,de_risk
2008-08,0.5681252823884922,0.9392,2.92346526066424,-0.04576438584482545,-0.04248992446114208,-0.04576438584482545,0.117551488828788,low,de_risk
2008-09,0.5575288705898513,0.9192546583850931,2.859775529982401,-0.03175698187659792,-0.021785697794598824,-0.03175698187659792,0.1092857760319895,low,de_risk
2008-10,0.45996903493035535,0.7530120481927711,2.7271719740555374,-0.04112374843427513,-0.04636851897522176,-0.04112374843427513,0.0994498750693716,low,de_risk
2008-11,0.552503747077089,0.8771929824561403,2.821909425417653,-0.014504900286112288,0.03473834883292404,-0.014504900286112288,0.0994498750693716,low,de_risk
2008-12,0.45177033721837384,0.7057991513437057,2.922403396933155,-0.013486158938024961,0.035612047151594384,-0.013486158938024961,0.0946304015246723,low,de_risk
2009-01,0.3028800090641952,0.4695290858725762,2.9823880120249164,-0.005508905243013729,0.02052578201719557,-0.005508905243013729,0.0946304015246723,low,de_risk
2009-02,0.5370936856212827,0.8544474393530997,3.049940043845187,-0.024076327962679667,0.022650316306229268,-0.024076327962679667,0.2155066509786692,low,de_risk
2009-03,0.30472577046337823,0.44900662251655626,3.3032055310120563,-0.020558193351242315,0.083039497015019,-0.020558193351242315,0.3995004771158063,low,de_risk
2009-04,0.3442588777796266,0.5245033112582781,3.4980288214774142,-0.03474910969721989,0.05898006909841502,-0.03474910969721989,0.4543307285520531,low,de_risk
2009-05,0.2283292684391299,0.21721854304635763,3.552567327455738,-0.02640122581637616,0.015591211153968887,-0.02640122581637616,0.4543307285520531,low,de_risk
2009-06,0.1222151749821504,0.017218543046357615,3.704071919313245,-0.013148588443797404,0.04264650825520344,-0.013148588443797404,0.6790489242554836,low,de_risk
2009-07,0.27867421429949485,0.3841059602649007,4.073572052999057,-0.038720403634176837,0.09975511861938124,-0.038720403634176837,0.7753343082818723,low,de_risk
2009-08,0.5011757177859711,0.7880794701986755,3.8128141336874353,-0.14549753268556775,-0.06401210434455085,-0.14549753268556775,0.3609983657698687,low,de_risk
2009-09,0.3239578113645356,0.46225165562913906,4.019595951834945,-0.06773586203286741,0.054233385341426965,-0.06773586203286741,0.2848247471903841,low,de_risk
2009-10,0.29308685531198775,0.376158940397351,4.3512797865888135,-0.005792296264304553,0.08251671031822361,-0.005792296264304553,0.2848247471903841,low,de_risk
2009-11,0.3348056425203736,0.4794701986754967,4.826338764339048,-0.04668118488321771,0.10917684015962958,-0.04668118488321771,0.5653109321917286,low,de_risk
2009-12,0.2929237142632141,0.3403973509933775,5.191899745957271,-0.0476339510072481,0.07574291807265743,-0.0476339510072481,0.6328115485931135,low,de_risk
2010-01,0.27713787644525373,0.30066225165562915,5.310947600545849,-0.06801572373336562,0.02292953647290208,-0.06801572373336562,0.6328115485931135,low,de_risk
2010-02,0.22764672960646273,0.15364238410596026,5.463973460982215,-0.017722602372815865,0.028813287561082035,-0.017722602372815865,0.3568498369143943,low,de_risk
2010-03,0.1841988787648584,0.09668874172185431,5.840332757246926,-0.01736891800579632,0.06888014719549074,-0.01736891800579632,0.6066616742999201,low,de_risk
2010-04,0.32007870523115406,0.4596026490066225,5.734431388049518,-0.06696408374963148,-0.01813276290909982,-0.06696408374963148,0.3087979017877713,low,de_risk
2010-05,0.4236917022468698,0.6357615894039735,5.615493949325807,-0.08069021770495466,-0.02074092977580566,-0.08069021770495466,0.434039831713116,low,de_risk
2010-06,0.3819733502548287,0.5602649006622517,5.504800158717253,-0.03473806069028973,-0.01971220904295412,-0.03473806069028973,0.2218955039907845,low,de_risk
2010-07,0.21231946903642826,0.14437086092715232,5.746914506164571,-0.005270282442617513,0.043982404531781594,-0.005270282442617513,0.2218955039907845,low,de_risk
2010-08,0.251414720552186,0.2423841059602649,5.922122645002696,-0.007819751365420347,0.030487340406784025,-0.007819751365420347,0.3974442116602437,low,de_risk
2010-09,0.23659813179605588,0.21721854304635763,5.9541910559270335,-0.019962290014327144,0.005415019722936343,-0.019962290014327144,0.3469265693656452,low,de_risk
2010-10,0.254540109824991,0.2781456953642384,6.171617292897801,-0.027422796021190687,0.03651650323755273,-0.027422796021190687,0.3469265693656452,low,de_risk
2010-11,0.366640285919308,0.5668874172185431,6.525052180174351,-0.05844082959787733,0.05726779067834897,-0.05844082959787733,0.4454593508363116,low,de_risk
2010-12,0.2633327652579691,0.3019867549668874,6.616782549342206,-0.06477469492721155,0.014058181702602868,-0.06477469492721155,0.4587025879359458,low,de_risk
