month,w_old,w_new,net_old,net_new,d_net_pp
2014-07-31,0.894,0.8939,-0.018474,-0.018473,0.0001
2014-09-30,0.0,1.0,0.002095,-0.048974,-5.1069
2015-02-28,0.0,0.579,0.003323,-0.016893,-2.0216
2016-02-29,0.0,0.801,0.002062,0.0753,7.3238
2016-05-31,0.0,0.6151,0.001264,-0.018654,-1.9918
2016-08-31,0.0,0.5807,0.001219,-0.006486,-0.7705
2017-05-31,0.0,1.0,0.002061,-0.013158,-1.5219
2017-10-31,0.0,1.0,0.001959,-0.008753,-1.0711
2019-01-31,0.0,1.0,0.000908,0.003892,0.2984
2019-04-30,0.0,1.0,0.000589,-0.003945,-0.4534
2019-07-31,0.0,0.8822,0.000618,0.01568,1.5062
2019-09-30,0.0,0.4932,0.000967,-0.015049,-1.6016
2019-12-31,0.0,0.7956,0.001287,0.029072,2.7785
2020-02-29,0.0,0.7025,0.000648,0.039787,3.9139
2020-03-31,0.0,0.6183,0.001818,-0.00573,-0.7548
2020-06-30,0.0,0.4229,0.000612,0.006122,0.551
2020-11-30,0.0,0.4945,0.000978,-0.033361,-3.4339
2022-05-31,0.0,0.6023,0.00067,-0.009366,-1.0036
2022-08-31,0.0,0.8882,-4.6e-05,0.002192,0.2238
2023-01-31,0.0,1.0,0.000225,0.020823,2.0598
2023-05-31,0.0,0.814,0.000302,0.01286,1.2557
2023-10-31,0.0,1.0,0.000294,0.041479,4.1185
2024-01-31,0.0,1.0,0.000488,0.001076,0.0587
2024-04-30,0.0,1.0,0.000106,0.031213,3.1108
2024-07-31,0.0,0.5511,0.000455,0.014961,1.4506
2024-09-30,0.0,0.6964,0.000341,0.023569,2.3228
2024-12-31,0.0,0.7014,-6.3e-05,0.00069,0.0754
2025-02-28,0.0,0.7716,0.000118,0.030254,3.0136
2025-06-30,0.0,0.4316,0.000371,-0.002705,-0.3077
2025-09-30,0.0,1.0,-1e-05,0.113516,11.3526
2025-12-31,0.0,0.4056,0.000298,0.010942,1.0644
2026-02-28,0.0,0.3687,0.000272,-0.002086,-0.2358
2026-03-31,0.0,0.2638,0.000846,-0.029283,-3.0129
2026-06-30,0.0,0.3171,0.000418,-0.034049,-3.4467
