date,pe_eq,pe300,pe1000,spread_micro,spread_1000,p1_micro,p1_1000,lv_micro,lv_1000
2017-11-30,30.670905728459793,13.81,34.59,0.7979215416826684,0.9181716555278766,0.007936507936507936,0.010582010582010581,0.003968253968253968,0.0026455026455026454
2017-12-31,28.924587080124063,14.05,33.29,0.7220696016621879,0.8626346558071787,0.010582010582010581,0.005291005291005291,0.017195767195767195,0.006613756613756613
2018-01-31,28.53099188836857,15.19,32.21,0.6303536145177174,0.751639646735426,0.005291005291005291,0.0013227513227513227,0.007936507936507936,0.0013227513227513227
2018-02-28,26.267045388381444,14.12,30.43,0.6207228943660795,0.7678367318437836,0.021164021164021163,0.022486772486772486,0.018518518518518517,0.01455026455026455
2018-03-31,29.40865894787877,13.37,31.16,0.788275761904376,0.8461218298886958,0.10714285714285714,0.0701058201058201,0.09523809523809523,0.03306878306878307
2018-04-30,42.85567726923916,12.74,27.84,1.2130914778210518,0.7817271853222016,0.2751322751322751,0.037037037037037035,0.26587301587301587,0.0013227513227513227
2018-05-31,40.73740379709746,12.55,26.78,1.1774260170512778,0.7579346746852336,0.26587301587301587,0.021164021164021163,0.25,0.0026455026455026454
2018-06-30,32.75674943827268,11.81,24.54,1.020162400356671,0.7313578090734943,0.21428571428571427,0.022486772486772486,0.12566137566137567,0.011904761904761904
2018-07-31,31.384361775468406,11.93,24.19,0.9672535001165466,0.7068830885121111,0.20238095238095238,0.013227513227513227,0.11375661375661375,0.017195767195767195
2018-08-31,32.241545919106784,11.09,20.83,1.0672120654710742,0.6303504539106048,0.294973544973545,0.0013227513227513227,0.1335978835978836,0.0013227513227513227
2018-09-30,30.604491262372722,11.58,20.53,0.9718672993234961,0.572607758885993,0.2037037037037037,0.0013227513227513227,0.11375661375661375,0.01455026455026455
2018-10-31,29.24597704728008,10.6,17.62,1.0148880262556594,0.5081806193900121,0.25396825396825395,0.013227513227513227,0.10449735449735449,0.007936507936507936
2018-11-30,28.90127244099122,10.44,18.57,1.0182410407946838,0.5759027929101218,0.2619047619047619,0.03306878306878307,0.08068783068783068,0.03439153439153439
2018-12-31,28.713509362774953,10.09,19.17,1.0458228871554454,0.6418017226920356,0.3373015873015873,0.10052910052910052,0.07275132275132275,0.05423280423280423
2019-01-31,27.66889750660358,10.74,18.81,0.9463338595659269,0.5604135542322203,0.1984126984126984,0.03042328042328042,0.03571428571428571,0.041005291005291
2019-02-28,31.427565028900283,12.06,23.31,0.9577911836775815,0.6589882617486263,0.21296296296296297,0.15873015873015872,0.25793650793650796,0.18253968253968253
2019-03-31,32.85649562732937,12.5,26.31,0.9664208170669414,0.7442204507439459,0.2261904761904762,0.25793650793650796,0.32936507936507936,0.25396825396825395
2019-04-30,46.11855998828729,12.27,25.03,1.3240582130398328,0.7129178467208629,0.6283068783068783,0.21031746031746032,0.5886243386243386,0.23544973544973544
2019-05-31,41.71521433053394,11.48,23.61,1.2902595234221843,0.721063960206001,0.5992063492063492,0.23412698412698413,0.5264550264550265,0.1984126984126984
2019-06-30,38.625638719219175,12.22,23.78,1.150842317757649,0.6657709375191865,0.5211640211640212,0.17328042328042328,0.47883597883597884,0.2261904761904762
2019-07-31,36.42291730649007,12.14,23.2,1.0986923872308665,0.6476464930409119,0.5,0.14153439153439154,0.455026455026455,0.1970899470899471
2019-08-31,42.21476682431337,11.7,23.25,1.2831812427756326,0.6867162902296549,0.6785714285714286,0.2552910052910053,0.6164021164021164,0.22486772486772486
2019-09-30,44.28199281950156,11.72,23.5,1.3292813276360034,0.6957036370012467,0.75,0.2751322751322751,0.6706349206349206,0.2552910052910053
2019-10-31,37.86626978636106,11.67,23.09,1.1770392902715645,0.6823781770679394,0.5714285714285714,0.2552910052910053,0.4775132275132275,0.21693121693121692
2019-11-30,34.26213540830687,11.46,22.62,1.095178109156379,0.6799717594013809,0.5026455026455027,0.2619047619047619,0.4007936507936508,0.18783068783068782
2019-12-31,36.57779717705514,12.3,24.51,1.0898421594450973,0.6894819351616494,0.4894179894179894,0.3134920634920635,0.49206349206349204,0.4193121693121693
2020-01-31,41.16956227546941,11.96,25.34,1.2361314550791582,0.7508164263705073,0.705026455026455,0.5105820105820106,0.6838624338624338,0.46164021164021163
2020-02-29,38.02820527193544,11.57,25.8,1.1899125871922565,0.8019589507219865,0.671957671957672,0.6362433862433863,0.5502645502645502,0.4894179894179894
2020-03-31,35.190780915123106,10.85,24.23,1.1766190624938975,0.8034264548419657,0.6468253968253969,0.6468253968253969,0.4470899470899471,0.39814814814814814
2020-04-30,42.84498952594675,11.77,27.89,1.2920347863850263,0.8627142803672123,0.8518518518518519,0.75,0.7857142857142857,0.6150793650793651
2020-05-31,42.39237873890212,11.6,28.83,1.295963501245208,0.9104114135379917,0.8558201058201058,0.8029100529100529,0.7791005291005291,0.6666666666666666
2020-06-30,43.74524077921093,12.38,31.83,1.2623005574404975,0.9443269740375513,0.8134920634920635,0.83994708994709,0.8637566137566137,0.7671957671957672
2020-07-31,46.67009626871367,13.67,35.66,1.2278999719774062,0.9588259616991361,0.75,0.8703703703703703,0.9629629629629629,0.8611111111111112
2020-08-31,62.321335793096985,14.45,34.31,1.461609421195021,0.8647424423119172,0.9761904761904762,0.7552910052910053,0.9947089947089947,0.8412698412698413
2020-09-30,54.3851657409558,13.87,31.48,1.3663631937634928,0.8196241892224623,0.9140211640211641,0.6891534391534392,0.9470899470899471,0.7645502645502645
2020-10-31,47.93245059019083,13.92,29.35,1.2364660854829888,0.7459658913678319,0.6891534391534392,0.5026455026455027,0.8968253968253969,0.6891534391534392
2020-11-30,48.01316887534572,14.71,29.45,1.1829477902367374,0.6941663754842495,0.5529100529100529,0.33465608465608465,0.8756613756613757,0.6931216931216931
2020-12-31,39.76480170732574,15.66,29.49,0.9318724512207992,0.6329415322645278,0.1164021164021164,0.11507936507936507,0.548941798941799,0.7129629629629629
2021-01-31,36.310903260607105,15.95,28.23,0.8226592322453048,0.5709264130345444,0.09391534391534391,0.037037037037037035,0.39285714285714285,0.6428571428571429
2021-02-28,37.24390693668611,15.87,28.25,0.8530578247383641,0.5766629230541322,0.0992063492063492,0.062169312169312166,0.4166666666666667,0.6507936507936508
2021-03-31,36.564321502636574,14.61,27.69,0.9173667168640784,0.6393651114202624,0.10714285714285714,0.2037037037037037,0.373015873015873,0.626984126984127
2021-04-30,40.74815811440092,13.52,24.67,1.103240568403916,0.6014178599264474,0.38095238095238093,0.13756613756613756,0.5568783068783069,0.45634920634920634
2021-05-31,40.06513609846192,14.09,26.37,1.0450412062551935,0.6267616744546065,0.2777777777777778,0.20105820105820105,0.5277777777777778,0.5833333333333334
2021-06-30,38.2699757159792,14.32,28.68,0.9830085033603372,0.69454285419892,0.14682539682539683,0.5066137566137566,0.45634920634920634,0.7552910052910053
2021-07-31,33.306451666183044,13.12,28.83,0.9316133384337832,0.7872787281343677,0.0873015873015873,0.7764550264550265,0.23412698412698413,0.7513227513227513
2021-08-31,34.20598408499474,12.41,29.18,1.0138980027914708,0.8549809438781237,0.25396825396825395,0.8783068783068783,0.23412698412698413,0.7671957671957672
2021-09-30,32.09016464864363,12.61,28.25,0.9340594359714017,0.8066033076156218,0.09788359788359788,0.7632275132275133,0.15873015873015872,0.6507936507936508
2021-10-31,30.520903644431012,12.67,27.17,0.8791748199158955,0.7628764291052088,0.05555555555555555,0.6746031746031746,0.11772486772486772,0.5383597883597884
2021-11-30,34.43531343723474,12.25,29.22,1.0335566542509742,0.8693274693318174,0.3386243386243386,0.8928571428571429,0.23015873015873015,0.7592592592592593
2021-12-31,35.02683544533051,13.37,28.08,0.9631011036000107,0.7420441880437585,0.19047619047619047,0.5859788359788359,0.2566137566137566,0.5992063492063492
2022-01-31,30.884284424596828,12.44,24.62,0.9093303725412846,0.6826420334452741,0.08068783068783068,0.3333333333333333,0.06349206349206349,0.2962962962962963
2022-02-28,31.304068521707606,12.57,25.82,0.9124350512157627,0.7198363628163403,0.10449735449735449,0.4828042328042328,0.062169312169312166,0.3835978835978836
