date,pe_eq,n_sel,n_all
2014-01-02,65.43592033976384,429.0,2143.0
2014-01-03,67.43916874941557,428.0,2136.0
2014-01-06,64.91606155457423,428.0,2137.0
2014-01-07,64.94811266801268,429.0,2141.0
2014-01-08,64.45793815497532,428.0,2140.0
2014-01-09,65.66195116489034,429.0,2142.0
2014-01-10,63.03210685205158,428.0,2136.0
2014-01-13,62.41256882963067,427.0,2133.0
2014-01-14,63.08311040963939,427.0,2133.0
2014-01-15,66.57550233531278,427.0,2133.0
2014-01-16,64.74780032227945,426.0,2128.0
2014-01-17,64.0080076215346,427.0,2131.0
2014-01-20,65.08749973804967,427.0,2134.0
2014-01-21,65.46061347924993,430.0,2146.0
2014-01-22,65.67778383725948,430.0,2150.0
2014-01-23,67.5279286106882,432.0,2160.0
2014-01-24,67.23694836062397,433.0,2162.0
2014-01-27,67.79257200650164,434.0,2168.0
2014-01-28,65.61573893223566,436.0,2176.0
2014-01-29,65.58801807755447,436.0,2177.0
2014-01-30,64.4629224073582,437.0,2183.0
2014-02-07,65.22589671392412,436.0,2180.0
2014-02-10,67.17616377271257,435.0,2172.0
2014-02-11,66.86783791177321,435.0,2171.0
2014-02-12,67.49650549625612,435.0,2172.0
2014-02-13,69.03533940065994,434.0,2166.0
2014-02-14,70.07520971041936,432.0,2160.0
2014-02-17,70.82821396839734,432.0,2156.0
2014-02-18,70.73024603758347,431.0,2155.0
2014-02-19,71.7557288657277,432.0,2160.0
2014-02-20,69.19924288641951,431.0,2153.0
2014-02-21,68.02366410386412,432.0,2158.0
2014-02-24,67.87226459270516,432.0,2158.0
2014-02-25,67.82455068982628,432.0,2159.0
2014-02-26,63.34974286965196,431.0,2153.0
2014-02-27,63.185081482607956,432.0,2158.0
2014-02-28,63.969990607541334,433.0,2165.0
2014-03-03,66.22939419672792,433.0,2165.0
2014-03-04,65.96565015945943,434.0,2168.0
2014-03-05,65.89432740184658,435.0,2171.0
2014-03-06,65.72075796916678,433.0,2163.0
2014-03-07,65.76862202454788,433.0,2164.0
2014-03-10,62.108059551736574,434.0,2166.0
2014-03-11,63.351803453854544,433.0,2164.0
2014-03-12,60.184080093772714,433.0,2162.0
2014-03-13,60.47028965276714,432.0,2156.0
2014-03-14,62.04655523723696,431.0,2153.0
2014-03-17,63.44485069976361,431.0,2153.0
2014-03-18,62.96673287703755,431.0,2155.0
2014-03-19,62.524450941308565,431.0,2153.0
2014-03-20,62.15630951152016,432.0,2157.0
2014-03-21,62.50822562619868,432.0,2158.0
2014-03-24,62.61277397539719,430.0,2148.0
2014-03-25,60.76247552506392,431.0,2152.0
2014-03-26,60.75264283403332,431.0,2152.0
2014-03-27,58.60646334167359,430.0,2146.0
2014-03-28,59.9994678129931,430.0,2146.0
2014-03-31,58.4123482345456,427.0,2133.0
2014-04-01,69.4069775545375,428.0,2138.0
2014-04-02,69.82965370012545,428.0,2136.0
2014-04-03,68.29384395942085,428.0,2140.0
2014-04-04,69.14345141135172,429.0,2142.0
2014-04-08,69.79742996152154,427.0,2134.0
2014-04-09,70.27477248092868,427.0,2135.0
2014-04-10,69.14536842437315,427.0,2131.0
2014-04-11,67.6722927414251,425.0,2124.0
2014-04-14,70.52474250654302,425.0,2121.0
2014-04-15,71.59349907758366,424.0,2118.0
2014-04-16,71.68434758515465,424.0,2116.0
2014-04-17,71.76432152064828,424.0,2118.0
2014-04-18,69.84286024054089,424.0,2119.0
2014-04-21,69.63107468623052,423.0,2111.0
2014-04-22,64.81413916430672,423.0,2112.0
2014-04-23,66.16595289003045,424.0,2118.0
2014-04-24,66.93338813504799,424.0,2117.0
2014-04-25,64.22434854140019,423.0,2113.0
2014-04-28,59.75200801717874,420.0,2099.0
2014-04-29,60.83666429606974,421.0,2105.0
2014-04-30,61.918797358020065,423.0,2111.0
2014-05-05,63.53290588729109,421.0,2102.0
2014-05-06,65.36917694373378,421.0,2104.0
2014-05-07,64.12442332856139,422.0,2107.0
2014-05-08,61.153336215624044,421.0,2102.0
2014-05-09,58.60868922053372,420.0,2099.0
2014-05-12,59.50810193215077,420.0,2097.0
2014-05-13,59.43030878839661,420.0,2100.0
2014-05-14,59.376161983779674,421.0,2104.0
2014-05-15,59.11636328078736,422.0,2107.0
2014-05-16,56.7923874236936,422.0,2106.0
2014-05-19,56.72364546854603,422.0,2106.0
2014-05-20,57.48579657792158,423.0,2111.0
2014-05-21,56.66911538416196,422.0,2108.0
2014-05-22,57.10288580249392,423.0,2112.0
2014-05-23,57.776509683592515,422.0,2110.0
2014-05-26,59.17485709387208,422.0,2106.0
2014-05-27,57.55771866983429,422.0,2107.0
2014-05-28,57.84787776710057,421.0,2105.0
2014-05-29,59.20688955849104,421.0,2104.0
2014-05-30,59.368547881440605,421.0,2103.0
2014-06-03,61.50566272972755,421.0,2101.0
2014-06-04,58.721044703798135,421.0,2105.0
2014-06-05,58.38242150520441,420.0,2097.0
2014-06-06,57.82065541089197,420.0,2097.0
2014-06-09,57.78501318132804,420.0,2096.0
2014-06-10,57.59050905293369,421.0,2101.0
