t,A,A2
2006-02-28,0.48587391175200256,0.5141260882479974
2006-03-31,0.4861698561517539,0.5138301438482461
2006-04-30,0.4915754317320955,0.5084245682679045
2006-05-31,0.49082908151939536,0.5091709184806046
2006-06-30,0.49146621603943397,0.508533783960566
2006-07-31,0.4914658637043782,0.5085341362956217
2006-08-31,0.49047609750647997,0.5095239024935201
2006-09-30,0.489697970779922,0.5103020292200781
2006-10-31,0.4894637789038859,0.5105362210961141
2006-11-30,0.48961272039510806,0.5103872796048919
2006-12-31,0.4902629096993186,0.5097370903006815
2007-01-31,0.4889067622978137,0.5110932377021862
2007-02-28,0.4882565803586724,0.5117434196413275
2007-03-31,0.4882564456027347,0.5117435543972652
2007-04-30,0.4882563099009795,0.5117436900990204
2007-05-31,0.4882561930413739,0.5117438069586262
2007-06-30,0.48825604095603015,0.5117439590439699
2007-07-31,0.4882559180121768,0.5117440819878232
2007-08-31,0.4882557778461228,0.5117442221538772
2007-09-30,0.4882556181570899,0.5117443818429102
2007-10-31,0.4909999659621719,0.5090000340378281
2007-11-30,0.4862416510359902,0.5137583489640098
2007-12-31,0.48611767121385624,0.5138823287861438
2008-01-31,0.48476163274903206,0.5152383672509679
2008-02-29,0.4851996277069726,0.5148003722930273
2008-03-31,0.4840421013289233,0.5159578986710767
2008-04-30,0.4835328651054494,0.5164671348945505
2008-05-31,0.48462925553872077,0.5153707444612793
2008-06-30,0.4839774737463945,0.5160225262536056
2008-07-31,0.4840601884349125,0.5159398115650876
2008-08-31,0.483593988905156,0.516406011094844
2008-09-30,0.484663468818478,0.5153365311815219
2008-10-31,0.48417380106211155,0.5158261989378884
2008-11-30,0.48378659730597046,0.5162134026940296
2008-12-31,0.4847681265473076,0.5152318734526923
2009-01-31,0.48465311636046987,0.5153468836395301
2009-02-28,0.4825469256409247,0.5174530743590752
2009-03-31,0.4842533600104179,0.5157466399895821
2009-04-30,0.4841367408826557,0.5158632591173444
2009-05-31,0.48413692326515695,0.5158630767348431
2009-06-30,0.4841371441492244,0.5158628558507757
