t,A,E2
2018-02-28,0.4156728294324921,0.5843271705675079
2018-03-31,0.42128700256432233,0.5787129974356777
2018-04-30,0.4258473712499279,0.5741526287500721
2018-05-31,0.4311068974445057,0.5688931025554942
2018-06-30,0.4310118923376065,0.5689881076623935
2018-07-31,0.4224325744680511,0.5775674255319488
2018-08-31,0.4224487126358617,0.5775512873641383
2018-09-30,0.4215479769126541,0.5784520230873459
2018-10-31,0.42329025485058985,0.5767097451494102
2018-11-30,0.415123574281346,0.5848764257186541
2018-12-31,0.4189272408199966,0.5810727591800033
2019-01-31,0.4129756746315854,0.5870243253684146
2019-02-28,0.3956277174687693,0.6043722825312307
2019-03-31,0.3901002936946044,0.6098997063053955
2019-04-30,0.4027258512540737,0.5972741487459263
2019-05-31,0.4071064651043395,0.5928935348956604
2019-06-30,0.4095071149214145,0.5904928850785855
2019-07-31,0.409858001147066,0.590141998852934
2019-08-31,0.40525306507608966,0.5947469349239103
2019-09-30,0.40557645353365285,0.5944235464663472
2019-10-31,0.41141427189806423,0.5885857281019358
2019-11-30,0.41193315824972093,0.588066841750279
2019-12-31,0.40708238796967633,0.5929176120303238
2020-01-31,0.405408241403698,0.5945917585963019
2020-02-29,0.3948631617736521,0.6051368382263479
2020-03-31,0.39236313855874677,0.6076368614412533
2020-04-30,0.39354773000995097,0.606452269990049
2020-05-31,0.40641925776248206,0.5935807422375179
2020-06-30,0.4192838825471121,0.580716117452888
2020-07-31,0.425805428037753,0.5741945719622471
2020-08-31,0.43989416940219805,0.5601058305978018
2020-09-30,0.4337052872119929,0.566294712788007
2020-10-31,0.4294264684506539,0.570573531549346
2020-11-30,0.43684082108342454,0.5631591789165753
2020-12-31,0.4363521997610839,0.563647800238916
2021-01-31,0.4349381383382275,0.5650618616617725
2021-02-28,0.4308852178358291,0.5691147821641709
2021-03-31,0.42114232890759506,0.5788576710924049
2021-04-30,0.40284765462906325,0.5971523453709366
2021-05-31,0.3974706111075486,0.6025293888924514
2021-06-30,0.3941941398977126,0.6058058601022873
2021-07-31,0.3895756872133095,0.6104243127866905
2021-08-31,0.39043667117888203,0.609563328821118
2021-09-30,0.3858951726798305,0.6141048273201696
2021-10-31,0.38409563526726254,0.6159043647327375
2021-11-30,0.3958810118093912,0.6041189881906088
2021-12-31,0.3952760295983857,0.6047239704016142
2022-01-31,0.38337127445073954,0.6166287255492605
2022-02-28,0.3881897488706184,0.6118102511293816
2022-03-31,0.38857768882845756,0.6114223111715424
2022-04-30,0.38206134520054136,0.6179386547994586
2022-05-31,0.3811275968679627,0.6188724031320374
2022-06-30,0.38252367663788456,0.6174763233621154
2022-07-31,0.3885199082275081,0.6114800917724919
2022-08-31,0.3868500423466723,0.6131499576533277
2022-09-30,0.385955799421666,0.614044200578334
2022-10-31,0.39194518171064713,0.6080548182893529
2022-11-30,0.39003780930861326,0.6099621906913867
2022-12-31,0.3884493115935353,0.6115506884064648
2023-01-31,0.391214241630657,0.6087857583693431
2023-02-28,0.4022937559524476,0.5977062440475525
2023-03-31,0.39767975981255704,0.602320240187443
2023-04-30,0.3866590906346791,0.6133409093653208
2023-05-31,0.40717538420247296,0.592824615797527
2023-06-30,0.4132072948652061,0.586792705134794
2023-07-31,0.41255294741922777,0.5874470525807722
2023-08-31,0.41378617693503,0.5862138230649699
2023-09-30,0.4163282009759412,0.5836717990240587
2023-10-31,0.417926942414685,0.582073057585315
2023-11-30,0.42043273232001466,0.5795672676799853
2023-12-31,0.4176406580510821,0.5823593419489179
2024-01-31,0.40954863018573745,0.5904513698142626
2024-02-29,0.40059685900358805,0.5994031409964121
2024-03-31,0.4052531631658256,0.5947468368341744
2024-04-30,0.4031731346040132,0.5968268653959868
2024-05-31,0.39988880907839186,0.6001111909216081
2024-06-30,0.40550473887636346,0.5944952611236365
2024-07-31,0.40403918052293347,0.5959608194770666
2024-08-31,0.4076636484384701,0.5923363515615299
2024-09-30,0.3993154546680092,0.6006845453319909
2024-10-31,0.3889484620886152,0.6110515379113848
2024-11-30,0.38887282128239364,0.6111271787176064
2024-12-31,0.37923393014414497,0.620766069855855
2025-01-31,0.37798784297661125,0.6220121570233887
2025-02-28,0.38040479156815016,0.6195952084318498
2025-03-31,0.4028160402006301,0.5971839597993698
2025-04-30,0.40957643767563495,0.5904235623243651
2025-05-31,0.4174572610439123,0.5825427389560879
2025-06-30,0.41858594437081603,0.5814140556291839
2025-07-31,0.425788491282371,0.574211508717629
2025-08-31,0.4263488871951357,0.5736511128048644
2025-09-30,0.4378743817692009,0.5621256182307991
2025-10-31,0.44734667772781417,0.5526533222721858
2025-11-30,0.45474615635594945,0.5452538436440506
2025-12-31,0.4496811542888244,0.5503188457111756
2026-01-31,0.46357894310167974,0.5364210568983203
2026-02-28,0.48583226153545184,0.514167738464548
2026-03-31,0.47762250564534975,0.5223774943546503
2026-04-30,0.4917471915676998,0.5082528084323003
2026-05-31,0.47825616925388736,0.5217438307461125
2026-06-30,0.46137018961575577,0.5386298103842443
2026-07-31,0.4533631246074803,0.5466368753925196
