合约标的代码,合约标的名称,合约数量,总成交额,总成交量,认购成交量,认沽成交量,认沽/认购,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日,ym
510500,中证500ETF,104.0,280511.0,1980319,1005774,974545,96.9,1222823,526722,696101,2025-08-29,202508
588000,科创50ETF,130.0,153127.0,2201862,1358598,843264,62.07,1904516,960216,944300,2025-08-29,202508
588080,科创板50ETF,124.0,34737.0,523392,313404,209988,67.0,548781,282620,266161,2025-08-29,202508
510050,上证50ETF,94.0,32517.0,819467,453772,365695,80.59,1336646,756980,579666,2025-09-30,202509
510300,沪深300ETF,124.0,58214.0,956543,476110,480433,100.91,1121764,554123,567641,2025-09-30,202509
510500,中证500ETF,106.0,153801.0,1214101,606505,607596,100.18,1081096,474513,606583,2025-09-30,202509
588000,科创50ETF,126.0,90320.0,1460016,817009,643007,78.7,1798135,857876,940259,2025-09-30,202509
588080,科创板50ETF,120.0,16929.0,283293,173075,110218,63.68,480475,242663,237812,2025-09-30,202509
510050,上证50ETF,100.0,52119.0,1059956,495040,564916,114.12,1390220,735563,654657,2025-10-31,202510
510300,沪深300ETF,138.0,84630.0,1162160,550199,611961,111.23,1259407,619038,640369,2025-10-31,202510
510500,中证500ETF,110.0,186421.0,1550171,729051,821120,112.63,1321483,583519,737964,2025-10-31,202510
588000,科创50ETF,128.0,70256.0,1680719,752279,928440,123.42,2143804,1128913,1014891,2025-10-31,202510
588080,科创板50ETF,194.0,14839.0,316815,161982,154833,95.59,586012,307685,278327,2025-10-31,202510
510050,上证50ETF,98.0,21715.0,490610,242566,248044,102.26,1144986,576998,567988,2025-11-28,202511
510300,沪深300ETF,134.0,40233.0,662476,303679,358797,118.15,1149601,551072,598529,2025-11-28,202511
510500,中证500ETF,106.0,109674.0,1001234,445999,555235,124.49,1129846,488362,641484,2025-11-28,202511
588000,科创50ETF,126.0,34563.0,958174,512135,446039,87.09,1923647,936508,987139,2025-11-28,202511
588080,科创板50ETF,178.0,5686.0,162665,83020,79645,95.93,548911,286516,262395,2025-11-28,202511
510050,上证50ETF,144.0,25936.0,600067,305266,294801,96.57,1008721,532076,476645,2025-12-31,202512
510300,沪深300ETF,98.0,46039.0,788991,386321,402670,104.23,1090086,581597,508489,2025-12-31,202512
510500,中证500ETF,92.0,125379.0,1053239,562353,490886,87.29,1065802,514158,551644,2025-12-31,202512
588000,科创50ETF,108.0,30024.0,858356,478066,380290,79.55,1862358,1053931,808427,2025-12-31,202512
588080,科创板50ETF,134.0,4025.0,173017,86145,86872,100.84,481429,256225,225204,2025-12-31,202512
510050,上证50ETF,130.0,61428.0,1111008,588632,522376,88.74,1159951,664866,495085,2026-01-30,202601
510300,沪深300ETF华泰柏瑞,158.0,100631.0,1366415,705204,661211,93.76,1275735,699600,576135,2026-01-30,202601
510500,中证500ETF,178.0,319786.0,1941304,828387,1112917,134.35,1269369,567566,701803,2026-01-30,202601
588000,科创50ETF,120.0,66222.0,1461728,719344,742384,103.2,2037173,1112282,924891,2026-01-30,202601
588080,科创50ETF易方达,148.0,8365.0,218841,114263,104578,91.52,457610,250416,207194,2026-01-30,202601
510050,上证50ETF,128.0,17766.0,421453,228995,192458,84.04,1095404,610320,485084,2026-02-27,202602
510300,沪深300ETF华泰柏瑞,144.0,34454.0,687694,387511,300183,77.46,1193276,653127,540149,2026-02-27,202602
510500,中证500ETF,158.0,156013.0,1160035,618744,541291,87.48,1126905,469024,657881,2026-02-27,202602
588000,科创50ETF,114.0,31216.0,889151,446135,443016,99.3,1758878,925635,833243,2026-02-27,202602
588080,科创50ETF易方达,142.0,3887.0,117886,69200,48686,70.36,406888,222139,184749,2026-02-27,202602
510050,上证50ETF华夏,122.0,34672.0,836999,451311,385688,85.46,1294850,751907,542943,2026-03-31,202603
510300,沪深300ETF华泰柏瑞,120.0,51908.0,895435,458711,436724,95.21,1181295,714199,467096,2026-03-31,202603
510500,中证500ETF南方,132.0,220227.0,1542593,751133,791460,105.37,1283746,670084,613662,2026-03-31,202603
588000,科创50ETF华夏,106.0,35026.0,1022030,557072,464958,83.46,1644451,983478,660973,2026-03-31,202603
588080,科创50ETF易方达,106.0,4359.0,157116,80931,76185,94.14,398487,245944,152543,2026-03-31,202603
510050,上证50ETF华夏,116.0,31080.0,710387,400963,309424,77.17,1271411,735929,535482,2026-04-30,202604
510300,沪深300ETF华泰柏瑞,120.0,41312.0,636804,341450,295354,86.5,1141014,621535,519479,2026-04-30,202604
510500,中证500ETF南方,132.0,142304.0,978210,519650,458560,88.24,1175564,556478,619086,2026-04-30,202604
588000,科创50ETF华夏,116.0,143992.0,2717602,1520015,1197587,78.79,1822110,907392,914718,2026-04-30,202604
588080,科创50ETF易方达,110.0,22372.0,458863,269404,189459,70.33,407162,207798,199364,2026-04-30,202604
510050,上证50ETF华夏,114.0,47425.0,1070737,634501,436236,68.75,1501095,926678,574417,2026-05-29,202605
510300,沪深300ETF华泰柏瑞,124.0,83013.0,1241306,689618,551688,80.0,1097370,619776,477594,2026-05-29,202605
510500,中证500ETF南方,134.0,268334.0,1758550,753711,1004839,133.32,1281942,619072,662870,2026-05-29,202605
588000,科创50ETF华夏,150.0,206827.0,3016730,1286635,1730095,134.47,2165889,1002233,1163656,2026-05-29,202605
588080,科创50ETF易方达,146.0,31147.0,494298,202903,291395,143.61,464796,217399,247397,2026-05-29,202605
510050,上证50ETF华夏,96.0,51900.0,1064739,629728,435011,69.08,1485193,869304,615889,2026-06-30,202606
510300,沪深300ETF华泰柏瑞,98.0,66510.0,1009321,457145,552176,120.79,1107722,601484,506238,2026-06-30,202606
510500,中证500ETF南方,102.0,237915.0,1480756,746963,733793,98.24,1065334,434284,631050,2026-06-30,202606
588000,科创50ETF华夏,168.0,331065.0,3202740,1508121,1694619,112.37,2192407,797037,1395370,2026-06-30,202606
588080,科创50ETF易方达,166.0,45426.0,448957,225205,223752,99.35,436249,169545,266704,2026-06-30,202606
510050,上证50ETF华夏,94.0,31032.0,608047,370685,237362,64.03,1407014,853194,553820,2026-07-31,202607
510300,沪深300ETF华泰柏瑞,104.0,72473.0,805521,456480,349041,76.46,1158677,676258,482419,2026-07-31,202607
510500,中证500ETF南方,186.0,321447.0,1789615,970202,819413,84.46,1484104,781791,702313,2026-07-31,202607
588000,科创50ETF华夏,188.0,233359.0,2784845,1468138,1316707,89.69,2630688,1418663,1212025,2026-07-31,202607
588080,科创50ETF易方达,180.0,24027.0,340132,183753,156379,85.1,488706,273489,215217,2026-07-31,202607
