合约标的代码,合约标的名称,合约数量,总成交额,总成交量,认购成交量,认沽成交量,认沽/认购,未平仓合约总数,未平仓认购合约数,未平仓认沽合约数,交易日,ym
510300,300ETF,,,1744948,857101,887847,103.59,1578121,654017,924104,2020-06-30,202006
510050,50ETF,,,2589892,1455096,1134796,77.99,2413607,1289305,1124302,2020-07-31,202007
510300,300ETF,,,2832625,1594730,1237895,77.62,1965823,948946,1016877,2020-07-31,202007
510050,50ETF,,,1909882,1190709,719173,60.4,2168105,1054883,1113222,2020-08-31,202008
510300,300ETF,,,2007963,1221926,786037,64.33,1770229,828619,941610,2020-08-31,202008
510050,50ETF,,,1498665,864129,634536,73.43,2092536,1197584,894952,2020-09-30,202009
510300,300ETF,,,1544238,859962,684276,79.57,1660779,935697,725082,2020-09-30,202009
510050,50ETF,,,1775845,890478,885367,99.43,2133707,1185294,948413,2020-10-30,202010
510300,300ETF,,,1881719,928669,953050,102.63,1632075,839671,792404,2020-10-30,202010
510050,XD50ETF,,,4235073,2665011,1570062,58.91,2567428,1371263,1196165,2020-11-30,202011
510300,300ETF,,,2808387,1720641,1087746,63.22,1857618,951219,906399,2020-11-30,202011
510050,50ETF,,,3366880,2150141,1216739,56.59,2454188,1295484,1158704,2020-12-31,202012
510300,300ETF,,,2468768,1491203,977565,65.56,1621249,799571,821678,2020-12-31,202012
510050,50ETF,,,2363749,1202974,1160775,96.49,2518154,1346570,1171584,2021-01-29,202101
510300,300ETF,,,2037293,1007330,1029963,102.25,1860342,953834,906508,2021-01-29,202101
510050,50ETF,,,3365757,1468823,1896934,129.15,2544963,1336872,1208091,2021-02-26,202102
510300,300ETF,,,2810794,1251742,1559052,124.55,2075952,1074628,1001324,2021-02-26,202102
510050,50ETF,,,1713014,903369,809645,89.63,2523298,1363875,1159423,2021-03-31,202103
510300,300ETF,,,1539487,779205,760282,97.57,1712196,913451,798745,2021-03-31,202103
510050,50ETF,,,2090466,1132582,957884,84.58,2464991,1331056,1133935,2021-04-30,202104
510300,300ETF,,,1831015,929458,901557,97.0,1715888,882311,833577,2021-04-30,202104
510050,50ETF,,,1960658,1124021,836637,74.43,2991007,1669219,1321788,2021-05-31,202105
