year,return
2005,-0.010945164670461471
2006,0.27058628353623226
2007,0.9454893740581536
2008,-0.3118064005951863
2009,0.5327694330410842
2010,0.08376890875868126
2011,-0.29607480624511984
2012,-0.04424062080443525
2013,0.16811967128761096
2014,0.23443930861670803
2015,0.7533481810470022
2016,-0.032396671804086785
2017,-0.028212754295810938
2018,-0.07722706229695775
2019,0.10991368718392458
2020,0.06838654394985322
2021,0.21909476760053304
2022,-0.028160445394837308
2023,0.014130633547041915
2024,0.08692667613011995
2025,0.21547834018792167
2026,-0.01327289563192302
