,ic
2007-04,0.051298609525021424
2007-05,0.3200589151385803
2007-06,-0.08196569946605116
2007-07,-0.04067362373773226
2007-08,-0.01943083494262167
2007-09,0.20301871935413943
2007-10,-0.20778363899325564
2007-11,0.09941926041748825
2007-12,-0.017272243895244142
2008-01,-0.1678446984838538
2008-02,-0.07437987962274979
2008-03,0.20424806219060015
2008-04,-0.17060914871456412
2008-05,0.09850383251300777
2008-06,-0.08141219332013347
2008-07,0.05597815032248848
2008-08,0.0029706645768113513
2008-09,0.027837707559496064
2008-10,-0.14487387958499245
2008-11,0.08689520230220343
2008-12,0.04474106522640887
2009-01,-0.15501406841644388
2009-02,-0.06794783243627639
2009-03,0.031994502914276156
2009-04,-0.20815927831671757
2009-05,0.01899019553005672
2009-06,-0.10902233216589687
2009-07,0.05525858727662806
2009-08,0.1476853084580091
2009-09,-0.026637332839975724
2009-10,-0.036684055516657085
2009-11,0.07294787376116253
2009-12,0.13583997574452905
2010-01,-0.02576090458292461
2010-02,-0.06343012242712066
2010-03,0.04004473011935161
2010-04,0.13934960046089542
2010-05,0.06398410379094682
2010-06,-0.07581010307567514
2010-07,0.020317987997808696
2010-08,0.033055854853488796
2010-09,0.03600588857022408
2010-10,0.055883026661884015
2010-11,0.08514847686290959
2010-12,-0.0400714330602663
2011-01,-0.07160625738853688
2011-02,-0.14123365818597822
2011-03,0.0016127836594849673
2011-04,0.06877703577194047
2011-05,0.06650111076860232
2011-06,0.13154511084659876
2011-07,0.05652471252844
2011-08,0.0016189225187740264
2011-09,0.09908796216725271
2011-10,0.052881401408999204
2011-11,0.18426126487677277
2011-12,0.0015326534790327015
2012-01,-0.09859652739576345
2012-02,0.1492362963837395
2012-03,-0.06940257049156509
2012-04,0.06335344168627162
2012-05,0.20431032852276623
2012-06,0.22733658959012776
2012-07,-0.03403928146249375
2012-08,-0.01433314874004528
2012-09,-0.012272349040813374
2012-10,-0.0022305735490096147
2012-11,0.036512295391920774
2012-12,0.12077942751576738
2013-01,0.08597948211899305
2013-02,0.12392188179611811
2013-03,0.09988416259657215
2013-04,-0.002865471868698406
