ym_avail,pen1_cov
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,438
2007-05,438
2007-06,0
2007-07,0
2007-08,402
2007-09,402
2007-10,388
2007-11,388
2007-12,0
2008-01,0
2008-02,0
2008-03,2
2008-04,366
2008-05,366
2008-06,1
2008-07,1
2008-08,459
2008-09,459
2008-10,596
2008-11,596
2008-12,0
2009-01,0
2009-02,0
2009-03,1
2009-04,968
2009-05,968
2009-06,0
2009-07,0
2009-08,1038
2009-09,1038
2009-10,981
2009-11,981
2009-12,0
2010-01,0
2010-02,0
2010-03,2
2010-04,575
2010-05,575
2010-06,2
2010-07,47
2010-08,433
2010-09,387
2010-10,431
2010-11,431
2010-12,0
2011-01,6
2011-02,29
2011-03,167
2011-04,589
2011-05,589
2011-06,2
2011-07,62
2011-08,670
2011-09,610
2011-10,724
2011-11,724
2011-12,0
2012-01,2
2012-02,41
2012-03,368
2012-04,1045
2012-05,1045
2012-06,0
2012-07,78
2012-08,1243
2012-09,1165
2012-10,1292
2012-11,1292
2012-12,0
2013-01,4
2013-02,43
2013-03,465
2013-04,1282
2013-05,1282
2013-06,1
2013-07,77
2013-08,1218
2013-09,1142
2013-10,1137
2013-11,1138
2013-12,1
2014-01,9
2014-02,54
2014-03,355
2014-04,1063
2014-05,1063
2014-06,2
2014-07,54
2014-08,1067
2014-09,1017
2014-10,1064
2014-11,1064
2014-12,0
2015-01,6
2015-02,43
2015-03,364
2015-04,1089
2015-05,1089
2015-06,1
2015-07,68
2015-08,1162
2015-09,1094
2015-10,1201
2015-11,1201
2015-12,0
2016-01,4
2016-02,44
2016-03,388
2016-04,1268
2016-05,1268
2016-06,0
2016-07,77
2016-08,1309
2016-09,1232
2016-10,1185
2016-11,1185
2016-12,0
2017-01,5
2017-02,32
2017-03,336
2017-04,1013
2017-05,1011
2017-06,1
2017-07,29
2017-08,995
2017-09,967
2017-10,1062
2017-11,1062
2017-12,0
2018-01,3
2018-02,14
2018-03,295
2018-04,1284
2018-05,1284
2018-06,3
2018-07,44
2018-08,1334
2018-09,1292
2018-10,1445
2018-11,1445
2018-12,0
2019-01,5
2019-02,21
2019-03,349
2019-04,1992
2019-05,1992
2019-06,0
2019-07,44
2019-08,2076
2019-09,2032
2019-10,2139
2019-11,2139
2019-12,0
2020-01,6
2020-02,16
2020-03,189
2020-04,2150
2020-05,2151
2020-06,6
2020-07,66
2020-08,2159
2020-09,2097
2020-10,1907
2020-11,1907
2020-12,2
2021-01,6
2021-02,18
2021-03,318
2021-04,1626
2021-05,1626
2021-06,2
2021-07,42
2021-08,1407
2021-09,1369
2021-10,1627
2021-11,1628
2021-12,1
2022-01,2
2022-02,13
2022-03,303
2022-04,2342
2022-05,2342
2022-06,2
2022-07,41
2022-08,2670
2022-09,2638
2022-10,2722
2022-11,2719
2022-12,3
2023-01,4
2023-02,16
2023-03,483
2023-04,2873
2023-05,2875
2023-06,18
2023-07,41
2023-08,2862
2023-09,2832
2023-10,2884
2023-11,2885
2023-12,3
2024-01,4
2024-02,10
2024-03,420
2024-04,2810
2024-05,2811
2024-06,2
2024-07,36
2024-08,2896
2024-09,2861
2024-10,2929
2024-11,2933
2024-12,4
2025-01,2
2025-02,16
2025-03,421
2025-04,3008
2025-05,3006
2025-06,2
2025-07,24
2025-08,2953
2025-09,2931
2025-10,2788
2025-11,2790
2025-12,2
2026-01,0
2026-02,5
2026-03,415
2026-04,2813
2026-05,2812
2026-06,0
2026-07,23
2026-08,714
