,spread_pp
2007-04,0.015283792164702548
2007-05,-8.78002589394535
2007-08,-0.9148227518801892
2007-09,-2.1822976871252857
2007-10,4.710436928270447
2007-11,-1.2921497243565616
2008-04,2.6316472565904316
2008-05,-0.9481971937522149
2008-08,-0.632413376693286
2008-09,-0.12299847896796723
2008-10,1.501272759758393
2008-11,-0.3993486707245225
2009-04,3.765801962332846
2009-05,0.17049464476856652
2009-08,-1.6245425100180808
2009-09,1.1508282646248271
2009-10,0.43726746351935575
2009-11,-1.436536852970736
2010-04,-1.2890298879250723
2010-05,-0.5893462494955842
2010-07,-0.7678931447328952
2010-08,-0.2875116244200979
2010-09,-2.0131878238057537
2010-10,-1.036880265866945
2010-11,-1.639371274748551
2011-02,1.5453224312201415
2011-03,0.3485217522906984
2011-04,-0.37971834048727005
2011-05,-0.5607318488277822
2011-07,-1.068672832862365
2011-08,0.3347924256188031
2011-09,-0.44341571472669705
2011-10,-0.9152351145654901
2011-11,-1.549236416861488
2012-02,-0.5291794888661785
2012-03,1.0783756716612776
2012-04,-1.0198642480895366
2012-05,-2.9053937933679697
2012-07,1.715724217693258
2012-08,0.33134935701207013
2012-09,0.4052181059070267
2012-10,0.16731130849431675
2012-11,-0.027397081211816277
2013-02,-1.9522977583508268
2013-03,-0.4273177061045679
2013-04,-0.3321320058493227
2013-05,-2.156744735009872
2013-07,-0.9365538640339302
2013-08,-0.29655480816815766
2013-09,-0.22399550416911074
2013-10,1.407513067021704
2013-11,-1.6203495661231155
2014-02,-0.5838350206996727
2014-03,-0.09625713616269582
2014-04,0.8794299831738153
2014-05,0.12533731847334043
2014-07,-0.08918976149446395
2014-08,2.0488315846438567
2014-09,-0.05281873543672641
2014-10,0.11863221566657395
2014-11,-2.0456045502233424
2015-02,3.5831112433227563
2015-03,-0.0954031066920491
2015-04,-0.39756538403031005
2015-05,1.4750851628241899
2015-07,0.002813074657692649
2015-08,-2.7696097771741988
2015-09,0.83248388687098
2015-10,1.6773560232836784
2015-11,0.5142882225900064
2016-02,5.725279947195549
2016-03,0.40280578264003664
2016-04,-2.1288507096177014
2016-05,-1.363687030226815
2016-07,0.9312400152809832
2016-08,0.3741829165664816
2016-09,0.5842425645552235
2016-10,0.9672009954470505
2016-11,0.8034373708460073
2017-02,-1.0357481802734405
2017-03,-0.6364249757743363
2017-04,-0.5634579197652034
2017-05,-1.471101966225958
2017-07,0.3160557320837525
2017-08,0.07283539847632858
2017-09,-1.8138984612294653
2017-10,-1.2210520397839049
2017-11,-1.3722150009401544
2018-03,-0.5361426717272584
2018-04,-0.6289772025723803
2018-05,-1.642327559297503
2018-07,1.35217157972055
2018-08,0.11595224925458907
2018-09,0.9594092177885274
2018-10,2.220886319728234
2018-11,-0.36420264021776105
2019-02,-2.269997460257689
2019-03,-0.05393106125134717
2019-04,-0.29258441866244833
2019-05,-1.0209725753788876
2019-07,-1.8094550431622356
2019-08,-0.27859819915292233
2019-09,-0.7927110550725314
2019-10,0.2466192835256214
2019-11,0.4893815547208885
2020-03,0.7972135605642451
2020-04,0.4747875800960224
2020-05,-2.483781077716675
2020-07,0.4033964840641592
2020-08,0.35912892793577567
2020-09,0.05771554502151796
2020-10,2.0256727820132423
2020-11,-2.229910088447266
2021-03,-0.4737058252597185
2021-04,1.7320124802247248
2021-05,-0.47207409975523335
2021-07,-1.9049276033583404
2021-08,2.2308491029537207
2021-09,-0.4049831939421478
2021-10,1.5639735153757341
2021-11,2.622230214325241
2022-03,1.6963628114295997
2022-04,0.7266424411483465
2022-05,-0.7687543976761413
2022-07,-0.25745324491351984
2022-08,-0.4536795525370174
2022-09,0.9302011913019756
2022-10,2.142408462951738
2022-11,0.6329446715271532
2023-03,0.41003851539555547
2023-04,1.0362953735623348
2023-05,-0.825542017463796
2023-07,0.883464039239925
2023-08,0.06444945998772711
2023-09,2.4077280150919815
2023-10,0.4639264638378625
2023-11,-0.32574394248498506
2024-03,1.251366615979467
2024-04,0.23454527698316113
2024-05,-1.2173118492647017
2024-07,0.3883185783395596
2024-08,2.344643871102081
2024-09,1.7010470251180445
2024-10,1.0963918694580541
2024-11,-2.6333437783821205
2025-03,0.1083430097929397
2025-04,0.7931756380050538
2025-05,-0.4764129593238776
2025-07,0.10591300611927784
2025-08,-0.21350708247964179
2025-09,0.6902973243752158
2025-10,1.858971312224318
2025-11,-1.8486663210347938
2026-03,-1.6024229896316398
2026-04,-1.901099245790427
2026-05,-3.756393553849424
2026-07,2.6464303122447355
