ym,ic_accrual,n,q1,q2,q3,q4,q5
2013-01,0.1369,2014,0.05449,0.04012,0.03907,0.03571,0.03775
2013-02,-0.0256,2015,-0.0392,-0.02994,-0.02832,-0.0345,-0.033
2013-03,0.028,2015,-0.02109,-0.03163,-0.03392,-0.032,-0.02676
2013-04,0.2161,2016,0.16894,0.15047,0.15541,0.12934,0.11021
2013-05,0.0398,2027,-0.1407,-0.15506,-0.15103,-0.16597,-0.15505
2013-06,0.1326,2027,0.08813,0.07677,0.0698,0.06526,0.04756
2013-07,-0.0671,2027,0.07277,0.08332,0.08641,0.09316,0.08517
2013-08,0.0541,2027,0.06515,0.06076,0.06147,0.05179,0.04493
2013-09,-0.0716,2017,-0.03082,-0.02868,-0.02781,-0.01541,-0.01075
2013-10,0.1701,2017,0.11735,0.10384,0.08608,0.07656,0.06189
2013-11,0.0016,2032,-0.03099,-0.0227,-0.0258,-0.0326,-0.03019
2013-12,0.1348,2032,0.03278,0.03887,0.02221,0.01212,0.00408
2014-01,-0.0654,2032,0.0257,0.02627,0.03919,0.03702,0.04362
2014-02,-0.1401,2032,-0.03987,-0.02966,-0.02054,-0.0218,-0.00703
2014-03,-0.0333,2033,-0.01423,-0.01716,-0.01857,-0.0093,-0.00726
2014-04,0.0807,2033,0.03792,0.0283,0.02867,0.0223,0.01681
2014-05,0.0876,2010,0.05418,0.05201,0.05026,0.04045,0.04006
2014-06,-0.087,2010,0.07443,0.06386,0.0755,0.0768,0.08901
2014-07,0.0136,2042,0.05776,0.06196,0.06435,0.05597,0.05299
2014-08,0.0209,2044,0.14374,0.13078,0.13744,0.13604,0.13769
2014-09,-0.0051,2064,0.01611,0.01672,0.02017,0.02111,0.01918
2014-10,-0.0452,2064,0.06747,0.05784,0.04723,0.0634,0.0575
2014-11,-0.0995,2072,-0.04244,-0.04762,-0.03806,-0.02456,0.01407
2014-12,0.0984,2079,0.09023,0.07667,0.07536,0.06341,0.05071
2015-01,0.0848,2087,0.08718,0.07217,0.07419,0.07073,0.05622
2015-02,0.0282,2087,0.22671,0.21202,0.21838,0.21634,0.20663
2015-03,-0.0298,2087,0.17725,0.15687,0.16544,0.18621,0.17536
2015-04,0.1304,2089,0.29192,0.26937,0.23666,0.23106,0.20829
2015-05,-0.1395,2115,-0.11148,-0.09529,-0.09923,-0.07368,-0.05046
2015-06,0.0467,2135,-0.15734,-0.16601,-0.1667,-0.16758,-0.17975
2015-07,-0.07,2152,-0.13537,-0.14002,-0.12931,-0.12055,-0.11035
2015-08,0.068,2157,-0.02499,-0.02732,-0.04286,-0.02932,-0.05174
2015-09,0.119,2204,0.22451,0.20801,0.2087,0.19426,0.17417
2015-10,0.036,2213,0.09676,0.10243,0.09843,0.09571,0.0922
2015-11,-0.0607,2245,0.05716,0.0675,0.0813,0.07698,0.06859
2015-12,-0.0903,2264,-0.29538,-0.28025,-0.28269,-0.27677,-0.27144
2016-01,-0.1336,2264,-0.03318,-0.02738,-0.03483,-0.00728,0.00957
2016-02,0.1426,2264,0.20393,0.19567,0.18173,0.17601,0.15679
2016-03,-0.1034,2264,-0.01784,-0.01294,0.00141,-0.0019,0.0081
2016-04,0.0865,2265,-0.00546,-0.00483,-0.00514,-0.02142,-0.02465
2016-05,0.1371,2298,0.07214,0.06873,0.05631,0.0472,0.03615
2016-06,-0.1436,2319,-0.02523,-0.00632,-0.00769,-1e-05,0.01218
2016-07,-0.0031,2321,0.05268,0.04223,0.0428,0.05149,0.04874
2016-08,-0.0733,2324,-0.01333,-0.01052,-0.01502,9e-05,0.00186
2016-09,-0.0453,2332,0.03409,0.03424,0.0393,0.03354,0.03921
2016-10,-0.0918,2333,0.0173,0.0259,0.032,0.03652,0.03648
2016-11,-0.1759,2374,-0.06066,-0.05807,-0.04843,-0.03404,-0.02981
2016-12,-0.1272,2387,-0.02978,-0.02948,-0.02569,-0.01791,-0.00571
2017-01,-0.0175,2393,0.03773,0.03838,0.03859,0.03798,0.04031
2017-02,0.011,2399,-0.01719,-0.01763,-0.01691,-0.01478,-0.0258
2017-03,-0.0271,2403,-0.05399,-0.06398,-0.05823,-0.0521,-0.04487
2017-04,-0.024,2404,-0.07329,-0.07284,-0.06157,-0.0661,-0.06835
2017-05,-0.0411,2484,0.03514,0.03944,0.03777,0.04399,0.04381
2017-06,-0.1865,2503,-0.01921,-0.02209,-0.00523,0.01238,0.03929
2017-07,0.1197,2542,0.04929,0.03311,0.03326,0.02547,0.02739
2017-08,0.1072,2560,0.02966,0.02037,0.01634,0.00828,0.00439
2017-09,-0.071,2587,-0.02945,-0.01906,-0.01198,-0.01506,-0.01387
2017-10,-0.0619,2588,-0.06997,-0.06489,-0.07077,-0.05826,-0.05326
2017-11,-0.0848,2763,-0.02421,-0.02208,-0.01904,-0.01104,-0.00854
2017-12,-0.1136,2785,-0.04213,-0.03654,-0.03616,-0.01797,-0.01154
2018-01,0.0377,2805,-0.04365,-0.04345,-0.04063,-0.0464,-0.0515
