[20050331] rows=1176 t=1s
[20050630] rows=1207 t=4s
[20050930] rows=1187 t=6s
[20051231] rows=1562 t=9s
[20060331] rows=1190 t=11s
[20060630] rows=1291 t=14s
[20060930] rows=1263 t=16s
[20061231] rows=1768 t=19s
[20070331] rows=1303 t=22s
[20070630] rows=1416 t=25s
[20070930] rows=1379 t=27s
[20071231] rows=2106 t=30s
[20080331] rows=1442 t=33s
[20080630] rows=1491 t=35s
[20080930] rows=1449 t=38s
[20081231] rows=2372 t=41s
[20090331] rows=1452 t=44s
[20090630] rows=1698 t=47s
[20090930] rows=1610 t=49s
[20091231] rows=2518 t=53s
[20100331] rows=1741 t=56s
[20100630] rows=2005 t=59s
[20100930] rows=1953 t=63s
[20101231] rows=2525 t=66s
[20110331] rows=2047 t=70s
[20110630] rows=2277 t=74s
[20110930] rows=2193 t=77s
[20111231] rows=3056 t=81s
[20120331] rows=2258 t=85s
[20120630] rows=2353 t=88s
[20120930] rows=2311 t=92s
[20121231] rows=3389 t=96s
[20130331] rows=2305 t=100s
[20130630] rows=2387 t=103s
[20130930] rows=2355 t=106s
[20131231] rows=3794 t=111s
[20140331] rows=2377 t=114s
[20140630] rows=2625 t=118s
[20140930] rows=2501 t=122s
[20141231] rows=4028 t=126s
[20150331] rows=2657 t=130s
[20150630] rows=2978 t=134s
[20150930] rows=2679 t=138s
[20151231] rows=4088 t=143s
[20160331] rows=2754 t=147s
[20160630] rows=3443 t=152s
[20160930] rows=2931 t=155s
[20161231] rows=4361 t=161s
[20170331] rows=3150 t=165s
[20170630] rows=3796 t=169s
[20170930] rows=3318 t=173s
[20171231] rows=4691 t=179s
[20180331] rows=3447 t=183s
[20180630] rows=3752 t=187s
[20180930] rows=3457 t=192s
[20181231] rows=4990 t=197s
[20190331] rows=3584 t=202s
[20190630] rows=4005 t=207s
[20190930] rows=3710 t=213s
[20191231] rows=5147 t=219s
[20200331] rows=3928 t=223s
[20200630] rows=4538 t=229s
[20200930] rows=4295 t=234s
[20201231] rows=5183 t=241s
[20210331] rows=4500 t=246s
[20210630] rows=4904 t=252s
[20210930] rows=4660 t=257s
[20211231] rows=5190 t=263s
[20220331] rows=4772 t=269s
[20220630] rows=5105 t=274s
[20220930] rows=4913 t=279s
[20221231] rows=5238 t=285s
[20230331] rows=5039 t=291s
[20230630] rows=5116 t=296s
[20230930] rows=5062 t=303s
[20231231] rows=5237 t=308s
[20240331] rows=5080 t=315s
[20240630] rows=5168 t=321s
[20240930] rows=5134 t=326s
[20241231] rows=5233 t=332s
[20250331] rows=5166 t=339s
[20250630] rows=5233 t=344s
[20250930] rows=5215 t=350s
[20251231] rows=5231 t=355s
[20260331] rows=5230 t=361s
[20260630] rows=1475 t=363s
TABLE-zcfz-DONE t=364s
