[20050331] rows=1173 t=1s
[20050630] rows=1190 t=4s
[20050930] rows=1184 t=7s
[20051231] rows=1539 t=9s
[20060331] rows=1271 t=12s
[20060630] rows=1306 t=14s
[20060930] rows=1323 t=17s
[20061231] rows=1757 t=20s
[20070331] rows=1421 t=22s
[20070630] rows=1453 t=25s
[20070930] rows=1441 t=28s
[20071231] rows=2093 t=31s
[20080331] rows=1459 t=33s
[20080630] rows=1478 t=36s
[20080930] rows=1569 t=39s
[20081231] rows=2360 t=43s
[20090331] rows=1712 t=46s
[20090630] rows=1774 t=49s
[20090930] rows=1884 t=52s
[20091231] rows=2513 t=55s
[20100331] rows=2035 t=58s
[20100630] rows=2110 t=62s
[20100930] rows=2157 t=65s
[20101231] rows=2522 t=69s
[20110331] rows=2232 t=72s
[20110630] rows=2303 t=75s
[20110930] rows=2306 t=79s
[20111231] rows=3052 t=83s
[20120331] rows=2308 t=86s
[20120630] rows=2347 t=90s
[20120930] rows=2348 t=93s
[20121231] rows=3389 t=97s
[20130331] rows=2366 t=101s
[20130630] rows=2427 t=104s
[20130930] rows=2444 t=108s
[20131231] rows=3794 t=112s
[20140331] rows=2573 t=116s
[20140630] rows=2840 t=120s
[20140930] rows=2654 t=123s
[20141231] rows=4031 t=128s
[20150331] rows=2785 t=132s
[20150630] rows=3237 t=137s
[20150930] rows=2912 t=141s
[20151231] rows=4088 t=146s
[20160331] rows=3140 t=150s
[20160630] rows=3669 t=154s
[20160930] rows=3311 t=158s
[20161231] rows=4361 t=164s
[20170331] rows=3445 t=168s
[20170630] rows=3823 t=172s
[20170930] rows=3461 t=177s
[20171231] rows=4690 t=183s
[20180331] rows=3577 t=189s
[20180630] rows=3813 t=194s
[20180930] rows=3677 t=198s
[20181231] rows=4990 t=204s
[20190331] rows=3868 t=208s
[20190630] rows=4138 t=213s
[20190930] rows=4229 t=217s
[20191231] rows=5147 t=222s
[20200331] rows=4480 t=228s
[20200630] rows=4609 t=233s
[20200930] rows=4640 t=238s
[20201231] rows=5183 t=243s
[20210331] rows=4789 t=248s
[20210630] rows=4939 t=253s
[20210930] rows=4924 t=258s
[20211231] rows=5190 t=263s
[20220331] rows=5038 t=268s
[20220630] rows=5128 t=273s
[20220930] rows=5079 t=280s
[20221231] rows=5238 t=285s
[20230331] rows=5085 t=291s
[20230630] rows=5129 t=296s
[20230930] rows=5134 t=304s
[20231231] rows=5237 t=309s
[20240331] rows=5160 t=315s
[20240630] rows=5179 t=321s
[20240930] rows=5207 t=328s
[20241231] rows=5233 t=333s
[20250331] rows=5235 t=338s
[20250630] rows=5233 t=343s
[20250930] rows=5212 t=350s
[20251231] rows=5231 t=355s
[20260331] rows=5230 t=360s
[20260630] rows=1474 t=362s
TABLE-xjll-DONE t=363s
