,0
2006-01-25,0.0376856676882432
2006-02-28,0.06847590023493284
2006-03-31,0.17842638426052065
2006-04-28,0.1543111203405819
2006-05-31,0.021494518256701522
2006-06-30,-0.054756885445715706
2006-07-31,0.04746130644282427
2006-08-31,0.03295100058801017
2006-09-29,0.006066105505753261
2006-10-31,0.15421482375600098
2006-11-30,0.1300343594662885
2006-12-29,0.18911402414365858
2007-01-31,0.09127074232456645
2007-02-28,0.10772122114263438
2007-03-30,0.38952986265577694
2007-04-30,0.08384887557225232
2007-05-31,-0.1143210138989216
2007-06-29,0.23270625499564934
2007-07-31,0.1650316636854555
2007-08-31,0.014674127456231112
2007-09-28,-0.04064507274790621
2007-10-31,-0.1689857406605244
2007-11-30,0.15862236609080696
2007-12-28,-0.07276737831720045
2008-01-31,0.058729827297617596
2008-02-29,-0.1844246067724087
2008-03-31,-0.019080140539232394
2008-04-30,-0.09618351723234028
2008-05-30,-0.2317179638894614
2008-06-30,0.07393535300956389
2008-07-31,-0.20602283571772634
2008-08-29,-0.06497488859490244
2008-09-26,-0.23243673382350707
2008-10-31,0.15992342971417162
2008-11-28,0.04548610459760365
2008-12-31,0.06701318781859315
2009-01-23,0.06638097422390432
2009-02-27,0.11853341121743828
2009-03-31,0.05125567958914836
2009-04-30,0.030224075933392668
2009-05-27,0.09684053449433065
2009-06-30,0.13567831267045208
2009-07-31,-0.22855754061067496
2009-08-31,0.05058157630704081
2009-09-30,0.13937711987491846
2009-10-30,0.11228948898429465
2009-11-30,0.021362003677813046
2009-12-31,-0.042425598036815136
2010-01-29,0.04541725436925761
2010-02-26,0.03096765806125352
2010-03-31,-0.05195743434728983
2010-04-30,-0.05050095959584975
2010-05-31,-0.09164905595758858
2010-06-30,0.13242367538053243
2010-07-30,0.10677608228565175
2010-08-31,0.012317851729919638
2010-09-30,0.04544408851433346
2010-10-29,0.022767495268592498
2010-11-30,-0.03856631355635844
2010-12-31,-0.0867982228778823
2011-01-31,0.09335843580756227
2011-02-28,-0.03269234972715829
2011-03-31,-0.03816122388579553
2011-04-29,-0.05440189594482492
2011-05-31,0.04054547477806567
2011-06-30,0.02358573701706821
2011-07-29,-0.031517770352933835
2011-08-31,-0.12164887368722965
2011-09-30,0.030201760295457493
2011-10-31,-0.034176686457136805
2011-11-30,-0.13929804790231465
2011-12-30,0.002580380997860665
2012-01-31,0.11163931460399024
2012-02-29,-0.04599105098868568
2012-03-30,0.07263790517791122
2012-04-27,0.019233712587219065
2012-05-31,-0.05284704216027456
2012-06-29,-0.048716719437095525
2012-07-31,-0.028691304941702377
2012-08-31,0.018337266181166025
2012-09-28,0.010193842099450734
2012-10-31,-0.08715557611132271
2012-11-30,0.1353172728688173
2012-12-31,0.06312855226984002
2013-01-31,0.02066199786148215
2013-02-28,-0.0029335622713037913
2013-03-29,-0.0099707520331767
2013-04-26,0.12077891067910182
2013-05-31,-0.128564287050744
2013-06-28,0.05227892005289765
2013-07-31,0.03436062866790981
2013-08-30,0.04253096664030087
2013-09-30,-0.019710757520017295
2013-10-31,0.05463020279240682
2013-11-29,-0.00828279184377283
2013-12-31,0.033610104199172965
2014-01-30,0.021174183693357218
2014-02-28,-0.045761830624409125
2014-03-31,-0.006146638031319429
2014-04-30,0.014347655788407732
2014-05-30,0.018885018935726628
2014-06-30,0.04542365445211414
2014-07-31,0.05539062219797044
2014-08-29,0.11547734823777374
2014-09-30,0.0036011848387867084
2014-10-31,0.044002031160883304
2014-11-28,0.044996600518222185
2014-12-31,0.00899984500820652
2015-01-30,0.05052722779756138
2015-02-27,0.1860071949221617
2015-03-31,0.20938691869398313
2015-04-30,0.07601409369062107
2015-05-29,-0.1864952775664221
2015-06-30,-0.16090818220956024
