date,amt20_yi
2014-05,1235.6016682260001
2014-06,1461.729232633
2014-07,2134.4964051025004
2014-08,2640.8796978365
2014-09,3365.2101952785
2014-10,3317.4499782555004
2014-11,4106.5552223835
2014-12,7320.508587826
2015-01,5860.891817469
2015-02,4791.5510920415
2015-03,8731.8924862385
2015-04,13170.7132338995
2015-05,14193.644068154501
2015-06,16053.833725891502
2015-07,11247.990706969
2015-08,9053.516663207
2015-09,5339.664414531
2015-10,7419.594248021499
2015-11,9904.095885943
2015-12,7202.469376314
2016-01,4935.795340918
2016-02,4425.218666194
2016-03,5331.812728911
2016-04,5208.092939741
2016-05,3894.5698558250006
2016-06,5250.560673827
2016-07,5590.5241002525
2016-08,4574.055263135
2016-09,3732.3999632160003
2016-10,4108.411362229
2016-11,5785.5600405185005
2016-12,3957.7631033405
2017-01,3404.1534461840006
2017-02,4026.18274374
2017-03,4736.136204498104
2017-04,4777.646280140159
2017-05,3807.038640314551
2017-06,3638.6353672685
2017-07,4408.365861903546
2017-08,4826.995257725541
2017-09,5149.063990889665
2017-10,4392.299386102089
2017-11,4895.395520798001
2017-12,3632.2171910054994
2018-01,4983.406894651
2018-02,4291.779642877
2018-03,4501.546277357999
2018-04,4383.3367748295
2018-05,3885.8835905025
2018-06,3326.5719159275004
2018-07,3342.074628831
2018-08,2649.8546492735
2018-09,2454.8889584575
2018-10,2718.8294074855
2018-11,3213.425474476
2018-12,2468.846550630011
2019-01,2826.2005832135
2019-02,4819.818141947
2019-03,8422.69271786352
2019-04,7432.455759150524
2019-05,4672.444986582534
2019-06,4364.993620798
2019-07,3596.924072036003
2019-08,4341.906879618
2019-09,5407.659074520549
2019-10,4018.102243896517
2019-11,3854.3229867055356
2019-12,5053.6850292395
2020-01,6482.665883997065
2020-02,9492.4243069275
2020-03,8124.207464734568
2020-04,6068.253894238584
2020-05,6032.129950694098
2020-06,7034.854563831634
2020-07,13118.743190350538
2020-08,10186.55309633
2020-09,7303.35711052767
2020-10,6872.762721622295
2020-11,8172.750724487579
2020-12,7913.535412316535
2021-01,10727.9613623235
2021-02,9570.877004256026
2021-03,7775.34185802305
2021-04,7424.560083365999
2021-05,8615.273370530016
2021-06,9713.7642531045
2021-07,11982.488609299517
2021-08,12930.316832497534
2021-09,13400.578109708056
2021-10,10135.37179464851
2021-11,11008.604601622103
2021-12,10921.395574375001
2022-01,10319.173318039004
2022-02,9017.665961526014
2022-03,9942.688149015008
2022-04,8665.979561029017
2022-05,8277.814935306526
2022-06,10947.000517941506
2022-07,9860.67021124136
2022-08,9714.24807555561
2022-09,7096.160692247329
2022-10,7460.307868841517
2022-11,9003.741271424504
2022-12,7521.052090117041
2023-01,7431.905313585649
2023-02,8791.676297466884
2023-03,9167.207335696414
2023-04,11173.155325828277
2023-05,9148.08412406205
2023-06,9483.901527192642
2023-07,8269.34444567138
2023-08,8053.480709961032
2023-09,7096.216163494484
2023-10,7960.275001491577
2023-11,8787.59531044633
2023-12,7649.323646729463
2024-01,7206.605167012765
2024-02,9030.06047233657
2024-03,9998.508778025458
2024-04,9062.499690985493
2024-05,8408.181222490226
2024-06,7166.106347732946
2024-07,6530.053358684068
2024-08,5754.3202237655905
2024-09,7931.863312853678
2024-10,19896.433089607133
2024-11,19270.82632009067
2024-12,15781.188113959139
2025-01,12067.38435691038
2025-02,17579.082840324918
2025-03,15023.053818685836
2025-04,12292.724613157272
2025-05,12019.674615140448
2025-06,13250.017675959505
2025-07,16568.61740955461
2025-08,23291.33557732238
2025-09,23650.601736234854
2025-10,21591.254832677925
2025-11,19079.326939128936
2025-12,18977.426794219995
2026-01,30369.13630978306
2026-02,25335.110962140934
2026-03,22483.17594692703
2026-04,23700.794186554012
2026-05,31440.257362915705
2026-06,31398.847534537927
2026-07,25822.297068961292
2026-08,23197.145050082225
