date,amt20_yi
2006-01,
2006-02,185.6957177525
2006-03,147.3567118665
2006-04,315.072390957
2006-05,510.0944371885001
2006-06,339.73221505950005
2006-07,338.76886461649997
2006-08,209.15918743900002
2006-09,274.383668646
2006-10,336.23516209449997
2006-11,424.3228763495
2006-12,663.1456223125
2007-01,1151.4591814395
2007-02,1075.1984157745
2007-03,1310.8040972889999
2007-04,2129.5477873185
2007-05,2813.98906383
2007-06,2252.4815323850003
2007-07,1347.5220273529999
2007-08,2127.180939592
2007-09,2087.8906156555
2007-10,1761.9696172249999
2007-11,1009.468033035
2007-12,1328.911564495
2008-01,1913.3411513790002
2008-02,1208.6664478545
2008-03,1213.940045757
2008-04,1188.6711662425
2008-05,1346.833726861
2008-06,760.8306782695
2008-07,940.0652668645001
2008-08,498.84122809850004
2008-09,549.7428600185
2008-10,472.9050409785001
2008-11,774.081198327
2008-12,917.3173955985001
2009-01,798.0660917875
2009-02,1824.0724956275
2009-03,1582.4420562384998
2009-04,1947.2503174024998
2009-05,1827.3090246749998
2009-06,1866.4744251035002
2009-07,2864.089042529
2009-08,2140.0953388955
2009-09,1885.7352646630002
2009-10,1687.655197517
2009-11,2767.1306101484997
2009-12,1905.670904188
2010-01,2162.5924126685
2010-02,1451.374327506
2010-03,1676.2049704815
2010-04,2240.0088640265003
2010-05,1514.8128469990002
2010-06,1245.354981443
2010-07,1402.837284187
2010-08,1961.4399942255
2010-09,2137.294607557
2010-10,3246.15365184
2010-11,3337.929023847
2010-12,1983.906396287
2011-01,1583.5031468605
2011-02,2064.5755375764998
2011-03,2482.1837707375
2011-04,2173.4765728854995
2011-05,1441.467861987
2011-06,1354.576272954
2011-07,1820.7491115530004
2011-08,1487.0806079135
2011-09,971.356448839
2011-10,1129.1978020925
2011-11,1319.1811052265
2011-12,784.2860990035
2012-01,947.5995708785
2012-02,1500.8425011269999
2012-03,1617.152103378
2012-04,1394.6370955745
2012-05,1422.44485373
2012-06,1086.703158799
2012-07,1012.836627413
2012-08,963.8464839599999
2012-09,1055.3729239745
2012-10,933.569461948
2012-11,696.0976756735
2012-12,1410.6418551665
2013-01,1969.6758488205
2013-02,1852.900295359
2013-03,1666.9802035715002
2013-04,1322.260651691
2013-05,1911.2084815115002
2013-06,1585.122893031
2013-07,1650.0678707030002
2013-08,1870.306802836
2013-09,2234.699969855
2013-10,2132.2918623475002
2013-11,1756.266501149
2013-12,1567.1085582535002
2014-01,1563.6244813879998
2014-02,2335.536267221
2014-03,1812.2044363869998
2014-04,1516.712644558
