date,rel20
2006-01,
2006-02,-0.04752033003402967
2006-03,0.02934473758411449
2006-04,0.03654481163717449
2006-05,0.07419138086463906
2006-06,0.01659926478703011
2006-07,0.02991401562068796
2006-08,0.0035550668463484314
2006-09,0.003470173847429203
2006-10,-0.056513997309261654
2006-11,-0.1081673093397788
2006-12,-0.1208246680851921
2007-01,0.07274885638000161
2007-02,0.09743213455257171
2007-03,0.05986469884862822
2007-04,0.0553755436906227
2007-05,-0.016759914265555453
2007-06,-0.08419251468763889
2007-07,0.024684687954253937
2007-08,-0.0408199012285122
2007-09,-0.01563678235915722
2007-10,-0.13860692292190757
2007-11,0.08665217127679525
2007-12,0.07318597187856546
2008-01,0.039385952624220955
2008-02,0.07168069933265375
2008-03,-0.017633922372153332
2008-04,-0.05132182927565321
2008-05,0.050043287841330275
2008-06,-0.023872978576412907
2008-07,0.009578512131731998
2008-08,-0.08885805695599336
2008-09,-0.005599292563859493
2008-10,-0.01021143517181855
2008-11,0.07894995621879675
2008-12,0.01984499472107104
2009-01,0.03625586698881622
2009-02,0.02688294535050817
2009-03,-0.004953339355421527
2009-04,0.012325690101698594
2009-05,0.01126484172569886
2009-06,-0.07586714258778526
2009-07,-0.026591102212013773
2009-08,0.06800976691323601
2009-09,0.0021229559227271544
2009-10,0.007844269065871323
2009-11,0.0786077338566804
2009-12,-0.025342567132153326
2010-01,0.07924440250204201
2010-02,0.046441284615939105
2010-03,-0.0036346640062472346
2010-04,0.015200702693210943
2010-05,0.02056166951272742
2010-06,-0.03401254978410906
2010-07,0.03679174618787928
2010-08,0.08135892145545753
2010-09,0.016574175548316195
2010-10,-0.07095841976758899
2010-11,0.08215455059870391
2010-12,-0.022619965807588183
2011-01,-0.04946293642736843
2011-02,0.06181558092607342
2011-03,-0.0022131948339166874
2011-04,-0.02549740984131177
2011-05,-0.03153105155877678
2011-06,0.006406341031516272
2011-07,0.03058589207197815
2011-08,-0.00550002597569188
2011-09,-0.03314356787550876
2011-10,-0.0451717267667584
2011-11,0.018459052167553724
2011-12,-0.061429318235678765
2012-01,-0.054437815518471155
2012-02,0.047164113429658316
2012-03,-0.015533761904316545
2012-04,-0.027800709005943336
2012-05,0.027394293169730077
2012-06,-0.0105433174701961
2012-07,-0.046416656631329656
2012-08,0.02632728371219928
2012-09,-0.02082803827532298
2012-10,-0.0007204473428619185
2012-11,-0.06078251881208674
2012-12,-0.0047668320842348955
2013-01,-0.0027695180984217416
2013-02,0.03569936912259841
2013-03,0.009974550938014803
2013-04,0.0007915808399702184
2013-05,0.06830089897936253
2013-06,0.01319114824626344
2013-07,0.02468832988501668
2013-08,0.00728515287866105
2013-09,0.007287022330982218
2013-10,-0.02028719042331073
2013-11,0.04325047077433064
2013-12,0.03816497491606985
2014-01,0.06123204562714102
2014-02,0.05372443830231577
2014-03,-0.03365766131732273
2014-04,-0.032128598725255086
2014-05,0.017762759893901525
2014-06,0.020969726257697774
2014-07,-0.01894243079022928
2014-08,0.04788373964353987
2014-09,0.05004800694604583
2014-10,0.003215501905057039
2014-11,-0.06788743799119357
2014-12,-0.19383367706324894
2015-01,0.08634865781216583
2015-02,0.06806356736347752
2015-03,0.030527909608877746
2015-04,-0.011211955623348535
2015-05,0.15762221757155137
2015-06,-0.03203645171288538
2015-07,0.06832852888135543
2015-08,-0.006337274263618631
2015-09,-0.02093569036298415
2015-10,0.0663963948446522
2015-11,0.04202018072312885
2015-12,0.011111522678999619
2016-01,-0.07167302696742661
2016-02,-0.03400682831582269
2016-03,0.013371678075449367
2016-04,-0.008589967726442493
2016-05,-0.022006682232000863
2016-06,0.034556195265761924
2016-07,-0.000818653759124599
2016-08,-0.004004478734660255
2016-09,0.005896196587733216
2016-10,-0.002263582418396526
2016-11,-0.04118593281360994
2016-12,0.022557522763252735
2017-01,-0.03348890908914737
2017-02,0.020078712066181836
2017-03,-0.01615483783830729
2017-04,-0.03411806070250134
2017-05,-0.07786864309647834
2017-06,0.011630278751566081
2017-07,-0.00431388684879952
2017-08,0.008002141830546705
2017-09,0.010203652202614322
2017-10,-0.042608761882278134
2017-11,-0.036399761804417285
2017-12,-0.018566746136940426
2018-01,-0.07114938069984456
2018-02,0.02546737129371779
2018-03,0.039013176446530684
2018-04,0.003528365210254014
2018-05,-0.02888731828466007
2018-06,-0.016634530553510607
2018-07,-0.03340779360532098
2018-08,-0.0291101357706256
2018-09,-0.03983266346053538
2018-10,-0.035689220384872544
2018-11,0.021917065901574717
2018-12,0.0034066776164152213
2019-01,-0.06438613149738481
2019-02,-0.0032511868706377456
2019-03,0.062108432437127714
2019-04,-0.06292377956137818
2019-05,-0.0021005004939950167
2019-06,-0.04575664157369275
2019-07,-0.012340361840475378
2019-08,0.0020043748027875896
2019-09,0.007202034354005349
2019-10,-0.02250272016397159
2019-11,0.017717703992412348
2019-12,0.005513210605931906
2020-01,0.034287252000853696
2020-02,0.02962400772606577
2020-03,-0.018047613458116563
2020-04,0.002047140458294461
2020-05,0.029498787987332298
2020-06,0.007941400490347306
2020-07,0.024952689099406955
2020-08,-0.02000146095161537
2020-09,-0.025209600741287863
2020-10,-0.05031038128554988
2020-11,-0.02176833478498308
2020-12,-0.041950540639221434
2021-01,-0.030289214770594985
2021-02,0.0006394657894346345
2021-03,0.03258594613950727
2021-04,0.025087685614669564
2021-05,-0.004611054262471992
2021-06,0.03217468890188202
2021-07,0.06953936611202693
2021-08,0.09056762021378151
2021-09,-0.033559679351615856
2021-10,-0.060728286425988265
2021-11,0.03993374504228597
2021-12,-0.00015737421649153482
2022-01,-0.02722004878249673
2022-02,0.024801236950052097
2022-03,-0.0056451662958202364
2022-04,-0.061676992366437866
2022-05,0.06864553342196711
2022-06,-0.02695468414226343
2022-07,0.043974624740814594
2022-08,0.0022147640470246976
2022-09,-0.008293273303055515
2022-10,0.08561958478139764
2022-11,-0.021245648017169216
2022-12,-0.049390148866178984
2023-01,-0.005223263205198503
2023-02,0.031898743600837776
2023-03,0.011374509060542048
2023-04,-0.004810419136068722
2023-05,0.02622553556528817
2023-06,-0.01967361973035342
2023-07,-0.02367295543621717
2023-08,0.0009419046475889203
2023-09,0.01164568985293113
2023-10,0.013825923111282057
2023-11,0.03199369601086066
2023-12,-0.009860431542321524
2024-01,-0.08218065022611587
2024-02,0.010806424184613084
2024-03,-0.01717784569890668
2024-04,0.010403489585524728
2024-05,-0.017581413870453644
2024-06,-0.032014046589313394
2024-07,0.0011675463546647613
2024-08,-0.012617248148060756
2024-09,0.03423496144208338
2024-10,0.09751795509533845
2024-11,-0.003378977303027275
2024-12,-0.03049509456845023
2025-01,-0.011336907158360554
2025-02,0.02666642530302643
2025-03,-0.004456521815842218
2025-04,-0.014171100469401732
2025-05,-0.005454235499605442
2025-06,0.018122448152387616
2025-07,0.024177699177995615
2025-08,0.024744581024333412
2025-09,0.03127914837384704
2025-10,-0.011676939186358926
2025-11,-0.016280621948337237
2025-12,0.045241019221976764
2026-01,0.1047145698896359
2026-02,0.035057531684452026
2026-03,-0.036000270735995765
2026-04,0.015205247844847003
2026-05,-0.009177252278637527
2026-06,0.06360466328343262
2026-07,-0.0906294366451772
2026-08,-0.043538283259714095
