date,breadth
2006-01,0.4888431196711804
2006-02,0.43383150122159786
2006-03,0.4141388335679987
2006-04,0.4948335336874544
2006-05,0.6419333494217733
2006-06,0.5199115774402168
2006-07,0.45167978324409525
2006-08,0.4749405059735634
2006-09,0.4621875813780114
2006-10,0.44722582062753996
2006-11,0.4911059971319759
2006-12,0.4802034042413647
2007-01,0.6170203643277286
2007-02,0.6636741753457684
2007-03,0.5831677010879811
2007-04,0.6429122473402664
2007-05,0.5826188649297599
2007-06,0.46860285248527045
2007-07,0.6207752156742223
2007-08,0.535734040168539
2007-09,0.5250398697368325
2007-10,0.4323695238593308
2007-11,0.46015639726264995
2007-12,0.6733730401450534
2008-01,0.5074098369541374
2008-02,0.5599977299423435
2008-03,0.4200005839785118
2008-04,0.5229652106487487
2008-05,0.4807067269707
2008-06,0.3985425084896532
2008-07,0.5280158148598704
2008-08,0.3958853224203711
2008-09,0.4454941228606572
2008-10,0.3539176487170919
2008-11,0.5669208214394836
2008-12,0.5317141305518046
2009-01,0.5843964157450351
2009-02,0.6028183274100185
2009-03,0.5935001451998189
2009-04,0.5450845173292317
2009-05,0.5193893313321875
2009-06,0.49358345499393297
2009-07,0.5901954268692781
2009-08,0.4664114935130186
2009-09,0.5230167133830397
2009-10,0.5967186986265909
2009-11,0.6068652764163869
2009-12,0.5298909830698254
2010-01,0.47328440452231674
2010-02,0.5677631778407246
2010-03,0.524599086561746
2010-04,0.4601492897188344
2010-05,0.46494478832429964
2010-06,0.4255884445117103
2010-07,0.5944581704311653
2010-08,0.5824205590058361
2010-09,0.4881837058450812
2010-10,0.5595752747855772
2010-11,0.5332203667242518
2010-12,0.46600657482386926
2011-01,0.4936881605220993
2011-02,0.5993222280658832
2011-03,0.4700165758684462
2011-04,0.46439944117722204
2011-05,0.4368283946874555
2011-06,0.5238961902172388
2011-07,0.503541985295992
2011-08,0.4686226488343596
2011-09,0.3579482496419646
2011-10,0.5345774949051205
2011-11,0.4468920016061144
2011-12,0.3647485259794236
2012-01,0.46599332840749647
2012-02,0.5752377046002249
2012-03,0.45909531700927536
2012-04,0.5386271188150937
2012-05,0.4811323915795154
2012-06,0.40217451508456054
2012-07,0.41660528139026504
2012-08,0.4920206884759249
2012-09,0.49838744412226116
2012-10,0.44479197391866937
2012-11,0.3805582047406316
2012-12,0.5770451035697919
2013-01,0.5097049154313205
2013-02,0.5298204757766658
2013-03,0.45151265522232653
2013-04,0.4463182306771242
2013-05,0.5783224735541389
2013-06,0.33475313133429874
2013-07,0.524179122471253
2013-08,0.5165617036903026
2013-09,0.5152324497038019
2013-10,0.47181559928055605
2013-11,0.5388865705407833
2013-12,0.4669147672445234
2014-01,0.47754482151685956
2014-02,0.5274979350054213
2014-03,0.46391389381300874
2014-04,0.47776094240884426
2014-05,0.49021212320942303
2014-06,0.5185481694961165
2014-07,0.5345156252521698
2014-08,0.5169465964601512
2014-09,0.6168277230953981
2014-10,0.48197821581852984
2014-11,0.5360797312006095
2014-12,0.49098969467576764
2015-01,0.5307870901949661
2015-02,0.5751252394297912
2015-03,0.6079715906238614
2015-04,0.5965669397240232
2015-05,0.6189573440121935
2015-06,0.4957089054519135
2015-07,0.4835039347558155
2015-08,0.4868968793922427
2015-09,0.5216694464346755
2015-10,0.6460352055126992
2015-11,0.5477940600039133
2015-12,0.5281397799882065
2016-01,0.44466943080362215
2016-02,0.525499286745543
2016-03,0.5626061991673108
2016-04,0.4821416785729834
2016-05,0.4845857394070724
2016-06,0.5215135065901622
2016-07,0.4725673120537723
2016-08,0.5253590618254522
2016-09,0.47571987739648414
2016-10,0.4967964081444425
2016-11,0.4946510366090853
2016-12,0.45991168485908623
2017-01,0.4924578062345536
2017-02,0.5355714441238644
2017-03,0.45309880403561636
2017-04,0.4411751438453171
2017-05,0.4190284838462207
2017-06,0.5288554761774207
2017-07,0.4797328778372281
2017-08,0.506625021267146
2017-09,0.4685219972126005
2017-10,0.4868597582124996
2017-11,0.4172308998182332
2017-12,0.4811632451971115
2018-01,0.4481406321591308
2018-02,0.5132918327562573
2018-03,0.53645020417113
2018-04,0.4309981123105322
2018-05,0.47969922985909436
2018-06,0.4269079959577976
2018-07,0.49032099482935737
2018-08,0.4021832365295979
2018-09,0.4860839970663711
2018-10,0.4471921180211215
2018-11,0.5268804796284688
2018-12,0.4236130370757657
2019-01,0.45234553849987214
2019-02,0.6671493346961999
2019-03,0.565757625573958
2019-04,0.4596917027477455
