m,px1000,pe1000,px300,pe300,spread,s1_pct,m,ret1000,ret300,fwd_ret1000,fwd_ret300,diff_bm,s1,c_pct,s2,scomb,retdiv,fwd_retdiv,diff_div,a13,fwd3_ret1000,fwd3_ret300,diff_bm_3m,switch_ret
2014-10,6208.61,48.8,2508.33,8.79,1.714115601162016,,2014-10,,,0.043407461573524486,0.11979683693931831,0.07638937536579382,False,,False,False,,0.08621298191775106,0.04280552034422658,0.030554225439673344,0.05443891627916719,0.3691938461047788,0.3147549298256116,0.043407461573524486
2014-11,6478.11,51.28,2808.82,9.83,1.6518618784533394,,2014-11,0.043407461573524486,0.11979683693931831,-0.06955578092993164,0.2580763452268211,0.32763212615675275,False,,False,False,0.08621298191775106,0.17962881886962823,0.24918459979955987,0.07070339393939862,0.10246507083084433,0.2720074622083295,0.16954239137748517,-0.06955578092993164
2014-12,6027.52,45.72,3533.71,12.74,1.2777891887825925,,2014-12,-0.06955578092993164,0.2580763452268211,0.08611833722658746,-0.028106437709942256,-0.11422477493652972,False,,False,False,0.17962881886962823,0.0011714185472671002,-0.08494691867932036,-0.0683844785054436,0.4567749256742406,0.14644382249816768,-0.31033110317607293,0.08611833722658746
2015-01,6546.6,50.06,3434.39,12.46,1.390698772644321,,2015-01,0.08611833722658746,-0.028106437709942256,0.09093117037851717,0.040312835758315346,-0.05061833462020182,False,,False,False,0.0011714185472671002,0.020163053709254752,-0.07076811666926242,0.07693953289518407,0.5550804998014236,0.38303745352158614,-0.17204304627983746,0.09093117037851717
2015-02,7141.89,54.55,3572.84,12.81,1.448891596370437,,2015-02,0.09093117037851717,0.040312835758315346,0.22947007024751143,0.1338878875068572,-0.09558218274065422,False,,False,False,0.020163053709254752,0.18308175797096937,-0.046388312276542054,0.06916853691274905,0.8240563772334772,0.3548969447274437,-0.46915943250603354,0.22947007024751143
2015-03,8780.74,67.28,4051.2,14.46,1.5374767989340739,,2015-03,0.22947007024751143,0.1338878875068572,0.15941139357275125,0.1724649486571881,0.013053555084436841,False,,False,False,0.18308175797096937,0.18920566208424017,0.02979426851148892,0.19604272700075587,0.2961857428872736,0.10411729857819907,-0.19206844430907455,0.15941139357275125
2015-04,10180.49,77.61,4749.89,16.58,1.5434991351588985,,2015-04,0.15941139357275125,0.1724649486571881,0.27962504751735917,0.019145706532151197,-0.260479340985208,False,,False,False,0.18920566208424017,0.0834204356055257,-0.19620461191183347,0.12629297740387346,-0.09398859976287977,-0.19646560236131794,-0.10247700259843817,0.27962504751735917
2015-05,13027.21,99.36,4840.83,16.34,1.805133528753312,,2015-05,0.27962504751735917,0.019145706532151197,-0.12633096418956935,-0.07598490341532338,0.05034606077424597,False,,False,False,0.0834204356055257,-0.046762321950056585,0.07956864223951277,0.3003037122234842,-0.3897035512592488,-0.3045531448119434,0.08515040644730543,-0.12633096418956935
2015-06,11381.47,83.95,4473.0,16.11,1.6507811863346669,,2015-06,-0.12633096418956935,-0.07598490341532338,-0.1895915026793551,-0.1467247932036665,0.0428667094756886,False,,False,False,-0.046762321950056585,-0.15075026376460465,0.03884123891475044,-0.09345369315457408,-0.3210446453753337,-0.28393695506371563,0.03710769031161809,-0.1895915026793551
2015-07,9223.64,67.96,3816.7,13.82,1.5928024784642074,,2015-07,-0.1895915026793551,-0.1467247932036665,-0.13803444193398695,-0.11794482144260743,0.020089620491379523,False,,False,False,-0.15075026376460465,-0.12942440465372018,0.008610037280266769,-0.03464531347774846,-0.0038347116756507482,-0.07404826158723499,-0.07021354991158424,-0.13803444193398695
