,V1_net,V1_cash_gross,V1_net_g15,V1_net_g30,V2_net,V3_net,BH_same
201502,1.0375873358493926,1.0388734067264036,1.0379088535686454,1.0369443004108871,1.0302815730980015,1.0566080586080584,1.0586080586080584
201503,1.034838788078578,1.0362333840092566,1.0351874110801709,1.0341415940375467,1.020247315171506,1.0492958921125008,1.051282051282051
201504,1.0429664179923799,1.0446757888291895,1.0433936578471104,1.0421121439690106,1.0262316958931432,1.063920225103616,1.065934065934066
201505,1.049976915447036,1.0517909986597012,1.0504303041013678,1.0490704023855015,1.0345162153498464,1.074888474846952,1.0769230769230769
201506,1.0357984331910695,1.0375980053399265,1.0362481926343565,1.0348991814387296,1.007926881161239,1.0419837256169433,1.0439560439560438
201507,1.0906286304480541,1.093151101537223,1.091258903430734,1.0893687737630453,1.0398120900556191,1.1114493073247396,1.1135531135531134
201508,1.0749599450749097,1.0782651521017246,1.075785552592566,1.0733101174482877,1.0290921467101886,1.0712323915991733,1.073260073260073
201509,1.0570087860729807,1.0604859988452178,1.0578772760016002,1.055273431254339,1.0308624436828298,1.0090789763869348,1.010989010989011
201510,1.0590095918671905,1.0631602808540115,1.0600460391815194,1.056939144076369,1.0334620224511342,1.009605464714208,1.1428571428571428
201511,1.0644322028152964,1.069309599168899,1.0656498040897773,1.0620004904143718,1.0380793036556375,1.020529913588808,1.1575091575091574
201512,1.0700976757593361,1.0752619621566375,1.0713867669786963,1.0675234472927564,1.0397987671051405,1.0302184887178156,1.1684981684981683
201601,1.0243862229203395,1.0293577476442564,1.0256271832324606,1.0219081373822336,0.9925460561224753,0.9333327374277389,1.0586080586080584
201602,1.0255422174425957,1.0314802108888947,1.0270239221897535,1.022584383142002,0.9932339634511043,0.9333905383832781,1.073260073260073
201603,1.0277304269597844,1.0336810903611096,1.0292152932349363,1.0247662814990488,1.0131500363424881,0.9353821229564004,1.1245421245421243
201604,1.0169777312910107,1.0237237750172636,1.0186605456262927,1.0136194769150313,1.024644678793547,0.9091365802621124,1.095238095238095
201605,1.0182151890687337,1.025818819369682,1.0201113453162698,1.014432351114794,1.0480497791147014,0.9091788494710599,1.1501831501831499
201606,0.996163579925274,1.0052489712088737,0.9984279892022142,0.9916485880989131,1.0476947229894018,0.884196699428906,1.1208791208791207
201607,1.0674097792257258,1.0772178515921411,1.0698542388806986,1.0625359213193626,1.1231816439508366,0.9593245235633884,1.216117216117216
201608,1.0851649087103998,1.095312952508542,1.0876939333129068,1.0801227720894877,1.1296821484173996,0.9766617137482689,1.238095238095238
201609,1.0942557716327441,1.1045122491651551,1.0968117970373654,1.0891598476553053,1.1563717682434793,0.9853303088407092,1.2490842490842489
201610,1.1078093252674368,1.1184049310565463,1.1104496628195444,1.1025457114145045,1.1955239888718956,0.9997779673281093,1.267399267399267
201611,1.1375155292967143,1.148400659771579,1.1402280087732983,1.1321081081805882,1.2900236587475435,1.0315628160003902,1.307692307692307
201612,1.147851018946342,1.1595789716973748,1.1507728004708568,1.1420277830691332,1.2572689611479526,1.0489000061852707,1.329670329670329
201701,1.1662825270609916,1.1782600668389116,1.1692664251308318,1.1603356155169682,1.2347723748960715,1.0777953231600716,1.3663003663003657
201702,1.1957903220900448,1.2080910925069872,1.1988547239662528,1.189683007846077,1.2512223819407384,1.126917362017233,1.428571428571428
201703,1.2181222254429092,1.2316551821101798,1.2214925562945629,1.2114072598811385,1.263489614530163,1.1500336155970736,1.4578754578754571
201704,1.231496527324026,1.2454032752881525,1.234959699717163,1.2245970828520454,1.262085531980232,1.164481274084474,1.4761904761904754
201705,1.2729762793664783,1.287516059873108,1.2765969095778906,1.2657635102009668,1.257796876853806,1.2136033129416353,1.5384615384615374
201706,1.2346069088046538,1.2489642532866059,1.2381818191058007,1.2274857969258155,1.2549408740717558,1.1587022106895137,1.4688644688644679
201707,1.2638728995876745,1.2786665985482253,1.267556349315685,1.2565358005313272,1.2579796710394424,1.1991556544542348,1.5201465201465187
201708,1.2546474857709051,1.2694340468711922,1.2583290412800106,1.2473143922149479,1.2621695558762078,1.1847079959668343,1.5018315018315005
201709,1.260102105469532,1.2750142761702543,1.2638148636804827,1.2527070030627863,1.2662260703432433,1.1904870593617944,1.5091575091575078
201710,1.3186072190896045,1.3346121873708958,1.322591587708428,1.3106720522724034,1.2703521908160278,1.2540567567063563,1.5897435897435883
201711,1.3374628678628773,1.3537159837213717,1.3415089886743135,1.3294047628101224,1.2806433267456687,1.274283478588717,1.6153846153846139
201712,1.3461868829056496,1.3629249359915852,1.3503532718836997,1.3378901582446137,1.3062561932805818,1.2829520736811573,1.6263736263736248
201801,1.390562567666595,1.4079214398731428,1.3948834047086722,1.3819584511217642,1.3270666473401989,1.3262950491433585,1.6813186813186798
201802,1.3821332220318523,1.3994724288396163,1.386449059093435,1.3735392705130782,1.287046543379397,1.3176264540509184,1.6703296703296688
201803,1.357128959398548,1.3755209490864413,1.361705156213286,1.348019908594965,1.2545420548140067,1.2627253517987966,1.6007326007325993
201804,1.363318779713501,1.381963808572769,1.3679577121418958,1.3540852968356116,1.2572589355242803,1.271393946891237,1.6117216117216104
201805,1.3975403022629735,1.4167004342652263,1.402307330794123,1.388051977551302,1.2612340828151483,1.3494113027231993,1.7106227106227094
201806,1.4262823550149801,1.4462823058008405,1.4312577329219371,1.4163805148318,1.2817480682924194,1.3985333415803605,1.7728937728937713
201807,1.4878516302556017,1.5091533417620078,1.4931502474010028,1.4773076780244525,1.3406053191354441,1.4852192925047631,1.8827838827838812
