k,w1_sig,w2_sig,ra_513100,rm_mmf,v1_gross,v1_cash_gross,v1_net,v1_cost,v2_net,v3_net,bh_513100,a13_ret,gold_ret
201502,0.643035,0.685619,0.0586080586080584,0.003323433716924784,0.037687058666985206,0.038873406726403506,0.03758733584939263,0.0012860708770108746,0.030281573098001394,0.0566080586080584,0.0586080586080584,0.06706071964494309,0.003323214447684464
201503,0.589164,0.642861,-0.00692041522491349,0.0037387671199609063,-0.004077257451852684,-0.002541236208428826,-0.002648979681854274,0.00010774347342544833,-0.009739335525843674,-0.00692041522491349,-0.00692041522491349,0.19649415607972553,0.003739216572577364
201504,0.442565,0.732174,0.013937282229965264,0.003550287953920872,0.006168147904516358,0.008147204047092812,0.007854005867805476,0.00029319817928733573,0.005865617711163803,0.013937282229965264,0.013937282229965264,0.1263072276623607,0.003549945481269079
201505,0.487183,0.99137,0.010309278350515427,0.003487451440569167,0.005022500294976786,0.006810926324315288,0.006721690491387879,8.923583292740933e-05,0.008072757341112001,0.010309278350515427,0.010309278350515427,0.3003198340214237,0.0034877403967794596
201506,0.491929,1.0,-0.030612244897959218,0.0030801758021219428,-0.015059065902547334,-0.01349411940001453,-0.01350361331508879,9.49391507425812e-06,-0.025702191801426272,-0.030612244897959218,-0.030612244897959218,-0.09344485455093288,0.0030798183887135178
201507,0.794377,1.0,0.06666666666666665,0.00282856409001786,0.052958478053632047,0.05354009540438237,0.05293520003507317,0.0006048953693092037,0.03163444639718804,0.06666666666666665,0.06666666666666665,-0.03463684716290805,0.0028284893950618617
201508,0.419783,0.41956,-0.03618421052631582,0.002709435743662114,-0.015189527223526945,-0.013617467351553994,-0.014366655097535284,0.0007491877459812914,-0.010309500579914579,-0.03618421052631582,-0.03618421052631582,-0.05157331090532857,0.002709847671564569
201509,0.314429,0.0,-0.05802047781569952,0.0025593704682709273,-0.018243296594465046,-0.016488665354576472,-0.016699374785241992,0.00021070943066552096,0.0017202511731339823,-0.05802047781569952,-0.05802047781569952,-0.0010506684259486976,0.002559144247820999
201510,0.0,0.0,0.13043478260869557,0.002521751359005009,0.0,0.002521751359005009,0.0018928941940428595,0.0006288571649621495,0.002521751359005009,0.0005217513590050089,0.13043478260869557,0.06098517860949548,0.0025215626537753444
201511,0.331772,0.386955,0.012820512820512775,0.0022904016364708735,0.004253489140573353,0.005783999294958361,0.005120454989028916,0.0006635443059294455,0.004467780241747266,0.010820512820512775,0.012820512820512775,0.0729959482891871,0.002290915268044813
201512,0.453781,0.53294,0.009493670886076,0.002304024646236691,0.004308045203697981,0.00556654779155157,0.005322530574568645,0.00024401721698292435,0.0016563892984359915,0.009493670886076,0.009493670886076,0.02003931931925118,0.0023034699996440366
201601,0.466727,0.684428,-0.09404388714733547,0.0022533432001512477,-0.043892838341603485,-0.04269119166115732,-0.04271708450030972,2.5892839152397152e-05,-0.045444092143155215,-0.09404388714733547,-0.09404388714733547,-0.14050533802922804,0.0022533337568455547
201602,0.0,0.0,0.01384083044982698,0.0020619296347608174,0.0,0.0020619296347608174,0.0011284752726960505,0.000933454362064767,0.0006930734592976904,6.192963476081732e-05,0.01384083044982698,-0.007373499296484676,0.002061844138751212
201603,0.0,0.599669,0.04778156996587035,0.002133709836583453,0.0,0.002133709836583453,0.002133709836583453,0.0,0.020051743722277908,0.002133709836583453,0.04778156996587035,0.05012438763036431,-0.010434979972800962
201604,0.414847,0.654104,-0.026058631921824116,0.002012264512205153,-0.010810351891468985,-0.009632869786142011,-0.010462564293812256,0.0008296945076702442,0.011345449379398185,-0.028058631921824118,-0.026058631921824116,0.008339718029162002,0.02716906995544366
201605,0.0,0.830611,0.050167224080267525,0.0020464937940736228,0.0,0.0020464937940736228,0.0012167992864033786,0.0008296945076702442,0.022842162561867,4.649379407362271e-05,0.050167224080267525,0.0035000965970557463,0.0012638152578465789
201606,0.802497,1.0,-0.02547770700636942,0.001993217719705731,-0.02044579177062396,-0.020052125943105112,-0.021657120597099094,0.001604994653993981,-0.0003387779210254711,-0.027477707006369423,-0.02547770700636942,0.0451179539964317,0.06882709504763729
201607,0.838751,0.816948,0.08496732026143805,0.0020256728401448765,0.07126645327156417,0.0715930903134578,0.0715205822981365,7.25080153212958e-05,0.07205049267218502,0.08496732026143805,0.08496732026143805,-0.0040839307216032905,0.009135391582749453
201608,0.920826,0.75003,0.01807228915662651,0.0019773594482686008,0.016641441123274262,0.016797995771845067,0.016633845623517992,0.00016415014832707442,0.005787580754700662,0.01807228915662651,0.01807228915662651,0.06633839054315582,0.0012185500948656003
201609,0.931517,0.769749,0.008875739644970349,0.0019111330892280787,0.008267904002057987,0.008398783777315963,0.008377402226494567,2.13815508213957e-05,0.023625778156687535,0.008875739644970349,0.008875739644970349,0.004915802302360106,0.004147168626415398
201610,0.835506,0.772782,0.014662756598240234,0.0019896830601116022,0.012250824332582629,0.012578114821172713,0.012386092891673263,0.00019202192949944964,0.03385781433239955,0.014662756598240234,0.014662756598240234,0.04460507750178344,-0.018401438265585046
201611,0.833092,0.80666,0.03179190751445082,0.0020042189311240133,0.02648557633622734,0.026820096981060464,0.02681526807161156,4.828909448902241e-06,0.07904456184506872,0.03179190751445082,0.03179190751445082,0.05374127198335077,-0.03926165016739702
201612,0.509198,0.495978,0.01680672268907557,0.0023957921422375072,0.00855794863568559,0.009733808345267754,0.009086020703398947,0.0006477876418688062,-0.02539077277961847,0.01680672268907557,0.01680672268907557,-0.032197683195924975,0.001343315997436756
201701,0.535616,0.267166,0.02754820936639124,0.002917821519199837,0.014755248651092706,0.01611023966241106,0.016057404497988318,5.283516442273939e-05,-0.017893216922607008,0.02754820936639124,0.02754820936639124,-0.033996302630113884,0.0029186630202717723
201702,0.527048,0.246837,0.04557640750670244,0.0027421789941644015,0.024020942132339993,0.02531786191151132,0.025300726320072908,1.713559143840926e-05,0.013322299218146491,0.04557640750670244,0.04557640750670244,0.03166867808412044,0.002741966776013127
