win_start,corr
201502,-0.211130788521517
201503,-0.0038133552460174118
201504,0.11592944071302674
201505,0.0966347504456358
201506,0.09274775833530399
201507,-0.1366344331150994
201508,0.9384115681512212
201509,0.9132513000615928
201510,0.9359138118393607
201511,0.9333704117965727
201512,0.9342129012037024
201601,0.7372806360894121
201602,-0.47237226474022165
201603,-0.37904114225800734
201604,-0.3395655011858483
201605,-0.4318018696694973
201606,-0.4984943518682701
201607,-0.14292337021332774
201608,0.5094522002958551
201609,0.5702726973229659
201610,0.5937841613607318
201611,0.8667809548265898
201612,0.3295849046977559
201701,-0.1685285401585161
201702,-0.16180227367088376
201703,-0.39188283271524865
201704,-0.6015877632905331
201705,-0.36986201307867017
201706,-0.14467993135462096
201707,0.04952184844065534
201708,-0.017536997264427368
201709,0.2722824076756587
201710,-0.13439454370943618
201711,-0.6942109594925359
201712,-0.7525595899570816
201801,-0.7876910034305799
201802,-0.5709965580080367
201803,-0.6706009082314367
201804,-0.08468813461980745
201805,-0.13818428926985213
201806,-0.1944057604846811
201807,-0.22169535361794654
201808,-0.32370518326390013
201809,0.3803010170664499
201810,0.5781794209952169
201811,0.12809287879299436
201812,0.37006312874540453
201901,0.21609967414468492
201902,0.0909331301100166
201903,0.2607619572374373
201904,0.5413025873594167
201905,0.5633024693092643
201906,0.12016327957630059
201907,0.05402136813179939
201908,-0.0214644821907626
201909,-0.10152932437113116
201910,-0.26733250019321225
201911,-0.2115235195240275
201912,-0.21862234479301737
202001,-0.3088692089779342
202002,0.12566827762491536
202003,0.4620194213361958
202004,0.6179610626113865
202005,0.6919712549496853
202006,0.687066945288312
202007,0.6609805878899719
202008,0.8023508013045278
202009,0.2871748372455701
202010,0.09268680647318632
202011,0.2358591760986729
202012,0.041399872733839285
202101,0.20707423524195834
202102,-0.49690694454913337
202103,0.3285809137793071
202104,0.6403519308859738
202105,0.45161330571848923
202106,0.5045871649658676
202107,0.5365520103639958
202108,0.7233861634885426
202109,0.6658742749615265
202110,0.5511132318551168
202111,0.661614430705792
202112,0.5577922344079128
202201,0.551425333484964
202202,-0.7116790874395904
202203,-0.591601167457632
202204,0.021948016549190007
202205,0.7160521640403626
202206,0.6804510372932779
202207,0.14002646700085425
202208,0.4932819046856382
202209,0.5355765213217398
202210,-0.4368292070296973
202211,-0.3603261201230001
202212,0.5932839688118005
202301,0.5109920724197805
202302,0.6204032414153785
202303,0.893153003389198
202304,0.7698708565455518
202305,0.8657101391006119
202306,0.6147107154979268
202307,0.36041731020051426
202308,-0.13278892684334012
202309,-0.12465991245006272
202310,0.036782765244723854
202311,-0.25512797292596523
202312,-0.47192126826823294
202401,-0.6829207254362932
