date,close,nav,prem
2014-01-15,0.986,1.0073,-0.021145636850987914
2014-01-16,0.991,1.0063,-0.01520421345523204
2014-01-21,0.984,1.0093,-0.025066878034281315
2014-01-22,0.979,1.0025,-0.02344139650872812
2014-01-27,0.97,0.9845,-0.014728288471305251
2014-01-28,0.964,0.9752,-0.011484823625922846
2014-01-29,0.977,0.9821,-0.005192953874350925
2014-02-10,0.97,1.0026,-0.03251545980450821
2014-02-11,0.975,1.0033,-0.028206917173328128
2014-02-17,1.001,1.0151,-0.01389025711752534
2014-02-19,1.004,1.0157,-0.011519149355124547
2014-02-26,1.016,1.0249,-0.008683774026734259
2014-02-27,1.015,1.0277,-0.012357691933443715
2014-03-03,1.026,1.036,-0.009652509652509633
2014-03-04,1.022,1.0365,-0.013989387361312056
2014-03-05,1.031,1.0383,-0.007030723297698271
2014-03-06,1.033,1.0381,-0.0049128215008189535
2014-03-18,1.033,1.031,0.0019398642095054264
2014-03-19,1.037,1.0395,-0.002405002405002521
2014-03-24,1.033,1.0354,-0.0023179447556501698
2014-03-25,1.031,1.0282,0.0027232056020227713
2014-03-26,1.036,1.0269,0.008861622358554921
2014-03-27,1.029,1.0321,-0.0030035849239415935
2014-04-01,1.04,1.0503,-0.009806721888984127
2014-04-02,1.048,1.0497,-0.0016195103362866003
2014-04-08,1.029,1.0401,-0.010672050764349739
2014-04-09,1.03,1.0189,0.010894101481990548
2014-04-10,1.038,1.0092,0.028537455410225787
2014-04-14,1.008,1.0254,-0.016968987712112416
2014-04-15,1.018,1.036,-0.01737451737451734
2014-04-16,1.026,1.0374,-0.010989010989011061
2014-04-17,1.033,1.0374,-0.004241372662425413
2014-04-23,1.042,1.0447,-0.0025844740116779397
2014-04-24,1.044,1.0361,0.007624746646076597
2014-04-28,1.032,1.0439,-0.011399559344764887
2014-04-29,1.038,1.0474,-0.008974603780790624
2014-05-06,1.048,1.044,0.003831417624521105
2014-05-07,1.038,1.043,-0.004793863854266389
2014-05-08,1.042,1.045,-0.002870813397129135
2014-05-12,1.043,1.0566,-0.012871474540980588
2014-05-13,1.051,1.0521,-0.0010455279916358196
2014-05-14,1.055,1.0421,0.012378850398234276
2014-05-15,1.052,1.0455,0.006217120994739256
2014-05-19,1.045,1.0425,0.0023980815347721673
2014-05-20,1.047,1.0515,-0.0042796005706136064
2014-05-21,1.041,1.0543,-0.012615005216731534
2014-05-22,1.052,1.0591,-0.00670380511755253
2014-05-26,1.056,1.0654,-0.00882297728552639
2014-05-27,1.056,1.0645,-0.007984969469234326
2014-05-28,1.061,1.0704,-0.008781763826606892
