ym,ic,n,best_iter
2011-01,0.04596,1665,2
2011-02,0.081844,1685,2
2011-03,0.057322,1712,1
2011-04,0.024807,1737,2
2011-05,0.055013,1752,10
2011-06,0.171863,1789,10
2011-07,0.202423,1831,18
2011-08,0.135382,1870,37
2011-09,0.058592,1897,45
2011-10,0.228111,1914,33
2011-11,-0.036541,1936,41
2011-12,-0.010484,1966,77
2012-01,0.171925,1978,50
2012-02,0.189385,1998,20
2012-03,0.095141,2023,18
2012-04,0.135096,2026,10
2012-05,0.195826,2048,8
2012-06,-0.102327,2067,24
2012-07,0.304784,2082,9
2012-08,0.028249,2099,23
2012-09,0.204178,2122,16
2012-10,0.012288,2138,17
2012-11,0.054458,2162,24
2012-12,0.102482,2172,17
2013-01,0.153043,2180,13
2013-02,0.110573,2199,16
2013-03,0.061935,2205,11
2013-04,0.092874,2210,9
2013-05,0.034398,2209,5
2013-06,0.017126,2195,5
2013-07,0.236644,2202,5
2013-08,0.063943,2206,1
2013-09,0.183998,2192,1
2013-10,0.109915,2200,9
2013-11,0.198738,2193,9
2013-12,0.093862,2197,26
2014-01,0.162619,2194,33
2014-02,0.179318,2178,40
2014-03,0.124997,2176,35
2014-04,0.119551,2151,39
2014-05,0.164158,2122,37
2014-06,0.138921,2136,38
2014-07,0.175288,2172,31
2014-08,0.094836,2178,32
2014-09,0.085767,2197,31
2014-10,0.03218,2160,9
2014-11,-0.235477,2163,9
2014-12,0.279857,2189,2
2015-01,0.072592,2184,9
2015-02,0.176973,2152,2
2015-03,0.066386,2178,1
2015-04,0.242131,2196,1
2015-05,0.086547,2168,1
2015-06,0.089769,2161,20
2015-07,0.154595,2123,299
2015-08,0.334423,2105,192
2015-09,0.135102,2137,168
2015-10,0.278005,2205,300
2015-11,0.224782,2308,294
2015-12,0.284183,2405,132
2016-01,0.101027,2414,162
2016-02,0.170926,2402,60
2016-03,0.254734,2406,34
2016-04,-0.026003,2379,1
2016-05,0.083468,2363,1
2016-06,0.2422,2399,9
2016-07,0.219081,2428,1
2016-08,0.233721,2454,1
2016-09,0.208134,2478,32
2016-10,0.159455,2482,8
2016-11,0.063346,2521,9
2016-12,-0.078445,2540,32
2017-01,0.071216,2540,32
2017-02,-0.03901,2547,9
2017-03,-0.15984,2579,8
2017-04,-0.086992,2598,2
2017-05,-0.016474,2609,1
2017-06,-0.172622,2651,1
2017-07,0.243609,2719,1
2017-08,0.086439,2751,1
2017-09,0.117622,2835,1
2017-10,-0.130838,2868,1
2017-11,-0.07452,2919,1
2017-12,-0.0558,2937,1
2018-01,-0.100762,2975,1
2018-02,0.267488,2974,1
2018-03,0.074269,2994,9
2018-04,0.152124,3015,10
2018-05,-0.049434,3090,42
2018-06,0.144643,3117,24
2018-07,-0.011943,3146,24
2018-08,0.040013,3198,191
2018-09,0.161328,3227,103
2018-10,0.176953,3254,29
2018-11,0.118144,3275,63
2018-12,0.02619,3294,29
2019-01,-0.103015,3302,24
2019-02,0.036946,3306,35
2019-03,0.18195,3318,4
2019-04,0.007527,3323,1
2019-05,0.141064,3328,1
2019-06,0.062361,3332,1
2019-07,-0.001394,3350,1
2019-08,0.049799,3358,1
2019-09,0.119527,3368,5
2019-10,0.037531,3378,1
2019-11,-0.006318,3391,5
2019-12,-0.038651,3403,2
2020-01,-0.152261,3438,1
2020-02,0.181452,3452,1
2020-03,0.002965,3464,3
2020-04,0.088325,3484,4
2020-05,-0.097476,3505,8
2020-06,0.079063,3531,17
2020-07,0.118507,3556,103
2020-08,0.058351,3574,60
2020-09,-0.006825,3591,28
2020-10,0.21078,3611,44
2020-11,0.011641,3633,63
2020-12,0.091824,3666,29
2021-01,0.091394,3712,29
2021-02,0.059856,3758,34
2021-03,0.13403,3828,30
2021-04,-0.04282,3861,31
2021-05,0.096101,3879,11
2021-06,-0.020237,3929,8
2021-07,0.013969,3967,10
2021-08,0.12084,4004,20
2021-09,0.057613,4042,11
2021-10,-0.00471,4087,12
2021-11,0.148803,4134,29
2021-12,0.131192,4190,40
2022-01,-0.002879,4231,34
2022-02,0.01362,4262,30
2022-03,0.157759,4305,10
2022-04,0.064219,4342,3
2022-05,0.121966,4370,11
2022-06,0.046383,4410,14
2022-07,0.150483,4445,23
2022-08,0.067719,4465,32
2022-09,0.127098,4500,12
2022-10,0.057653,4530,15
2022-11,0.036417,4552,48
2022-12,0.226022,4578,32
2023-01,0.153806,4596,46
2023-02,0.031359,4637,46
2023-03,0.060798,4684,43
2023-04,0.150806,4711,33
2023-05,0.074343,4730,44
2023-06,0.326811,4756,38
2023-07,0.146601,4767,34
2023-08,0.178479,4790,43
2023-09,0.092878,4812,32
2023-10,0.209277,4836,26
2023-11,0.103354,4865,13
2023-12,0.011748,4896,13
2024-01,-0.37262,4929,20
2024-02,0.233292,4948,17
2024-03,0.096171,4962,26
2024-04,0.063278,4973,35
2024-05,-0.104796,4981,29
2024-06,0.165928,4994,15
2024-07,0.279902,5006,24
2024-08,-0.036042,5012,24
2024-09,0.060346,5020,10
2024-10,0.357604,5022,6
2024-11,0.00301,5025,8
2024-12,0.083751,5029,19
2025-01,0.040395,5037,15
2025-02,0.247125,5042,8
2025-03,0.213476,5050,9
2025-04,0.236571,5059,16
2025-05,0.098472,5063,11
2025-06,0.174553,5070,16
2025-07,-0.126882,5083,17
2025-08,0.092748,5087,19
2025-09,0.276209,5100,17
2025-10,0.251486,5107,14
2025-11,-0.105023,5114,19
2025-12,0.113055,5120,20
2026-01,0.094938,5126,17
2026-02,0.163839,5128,9
2026-03,0.008962,5132,10
2026-04,-0.180123,5142,9
2026-05,-0.281428,5146,1
2026-06,0.441744,5157,1
