year,return
2006,0.19612494740805864
2007,1.0073842599518121
2008,-0.19743420978289827
2009,0.5969232798541615
2010,0.23789957729334144
2011,-0.1897732448412055
2012,0.0017397357366468746
2013,0.23312305273588874
2014,0.13587595231146588
2015,0.7242948954098176
2016,-0.06101881532606157
2017,-0.027757176762155278
2018,0.004180253584671334
2019,0.13256217171461815
2020,0.17190152646842694
2021,0.21528857976199256
2022,-0.025802197334063415
2023,0.04047911669035331
2024,0.05784439109906181
2025,0.22945012400520937
2026,-0.03489320196021206
