ym,a4b_s1a_peg2,a4b_s1b_peg15,a4b_s1c_pegq60,a4b_s2a_gqblend,a4b_s2b_gqrank,a4b_s2c_growdom
2006-01,,,,,,
2006-02,,,,,,
2006-03,,,,,,
2006-04,,,,,,
2006-05,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.06869565217391303,,-0.013043478260869565
2006-06,0.005116796440489433,0.005116796440489433,0.014778325123152707,-0.1739495798319328,,-0.1585434173669468
2006-07,0.031034762174864273,-0.02264808362369338,-0.037898686679174495,-0.04301572617946347,,-0.07053654024051803
2006-08,0.18734693877551017,0.18734693877551017,0.14190564292321922,0.10786056049213943,,0.09043062200956938
2006-09,-0.06387755102040815,-0.06387755102040815,-0.0748072772124576,0.028434723171565278,,0.017224880382775122
2006-10,-0.5321156455484815,-0.5321156455484815,-0.5068681318681317,-0.25768967874231036,-0.06309828279137743,-0.20647983595352015
2006-11,-0.022104706504494972,-0.022104706504494972,0.010812390414962013,-0.11616364855801475,-0.11512407780013412,-0.13205902079141515
2006-12,0.1648466578485958,0.1648466578485958,0.1961760461760462,0.3302737648655121,0.3303136722803097,0.36782664219011896
2007-01,0.1923503799197473,0.1923503799197473,0.15851140456182472,-0.06085023617671577,-0.08185607113086969,-0.019227563212003338
2007-02,-0.012208657047724749,-0.012208657047724749,-0.05204081632653061,-0.031969608416130925,-0.06107539450613677,-0.027410870835768562
2007-03,-0.09805194805194807,-0.09805194805194807,-0.08930248441902158,-0.05393971443680592,0.006428988895382817,-0.013960867265996825
2007-04,-0.07671398369072788,-0.07671398369072788,-0.06637630662020907,0.11219405594405595,-0.11459683691988592,0.1138986013986014
2007-05,0.10644257703081232,0.10644257703081232,0.25,0.1133335878153987,-0.016766882516188714,0.11405886170172155
2007-06,0.031294452347083924,0.05225225225225225,0.14772727272727273,0.054708392603129444,0.03204081632653061,0.07021337126600284
2007-07,-0.19345661450924606,-0.19345661450924606,-0.16644385026737968,-0.04372320881812615,-0.18026518655565835,0.09383256058087656
2007-08,-0.22632653061224486,-0.21982197134172818,-0.2026578073089701,0.007682843472317157,-0.26341716359865186,0.0323444976076555
2007-09,-0.3002187829187262,-0.3002187829187262,-0.30994371482176364,0.023941749969147233,0.07308119183812857,0.09820436875231398
2007-10,0.325743006993007,0.325743006993007,0.3074034902168164,0.3208171439144111,0.26677098150782363,0.2534691611976361
2007-11,0.2335475051264525,0.2335475051264525,0.1989152305135159,0.1257460661964189,0.017040930084408348,0.08284047748236571
2007-12,0.2531540379240009,0.2531540379240009,0.2845058291550032,0.3114227544607291,0.23022337405899054,0.2795053048217605
2008-01,0.010917384790595142,0.010917384790595142,-0.02834615430976862,-0.06789545355687664,-0.002262085455298193,-0.08057143146519896
2008-02,0.20109346316545615,0.20109346316545615,0.24584875727128502,0.14109055501460566,0.023403964456596038,0.09496105160662124
2008-03,-0.14126138025378557,-0.14126138025378557,-0.16683526999316473,0.11917191719171916,0.06514533085961657,0.1288088808880888
2008-04,0.2414217361585783,0.2532467532467533,0.34209065679925993,0.1942247510668563,0.11086525414883625,0.16193456614509244
2008-05,-0.2323971823187425,-0.2301011148561058,-0.20462440295267043,0.078305806858826,0.13534632452247736,0.028929097412160737
2008-06,0.38769651401230354,0.3900142247510669,0.2940998715721085,0.15394755343082114,0.07383384405856318,0.18124296962879638
2008-07,0.0016510212745884237,-0.00035176861442251316,0.06039570757880616,-0.007024959478273541,-0.0030112560488112766,-0.007914708166014129
2008-08,-0.25821704376100796,-0.2667924797037459,-0.23592162554426704,0.06580199192725986,-0.0017651829588283003,0.10851545850355092
2008-09,0.27151783914533356,0.27568581151468846,0.2837341903379639,0.20769095311468197,0.2016400022401852,0.06735417125247634
2008-10,0.16819756832673813,0.16819756832673813,0.12585536182977128,-0.1199156789230152,-0.12951940800897604,-0.10118230650791109
2008-11,0.48778985863134594,0.48778985863134594,0.48995147408899464,0.09705260840854062,0.052074874611893966,-0.019148139995597627
2008-12,-0.16051425023060267,-0.16051425023060267,-0.17386944233529572,0.0014954876252103138,0.008217621215729757,0.08655034969695853
2009-01,-0.0012020114989117674,-0.0012020114989117674,-0.08658764192466295,0.048285899744179864,0.07601252833000584,0.07003817732541494
2009-02,-0.022065555759018494,-0.022065555759018494,0.027467845024855997,-0.10213985887610176,-0.06345791252076838,-0.08542185202526759
2009-03,0.1334246422182469,0.1334246422182469,0.11466165413533835,-0.004218436642769877,-0.03028942777568072,-0.07509152519640983
2009-04,-0.12878787878787884,-0.13382885458357155,-0.18146458583433375,-0.06748343842285898,-0.04265734265734265,-0.0644504748982361
2009-05,-0.4071840287055769,-0.40398275999680744,-0.4508196721311475,-0.12568741866420385,0.036301564722617356,-0.04928424499391293
2009-06,0.0018591934381408067,0.0018591934381408067,-0.03364998173182317,-0.18229283314669653,-0.2886456908344733,-0.20334546472564388
2009-07,0.055235332289956855,0.055235332289956855,0.06640477449573165,0.0683145431388273,0.10603700097370984,0.07480541534978065
2009-08,0.19145416353761932,0.19145416353761932,0.15863084284136914,0.19091155724362452,0.1389115793042862,0.21801410743353228
2009-09,0.0012298516559462785,0.0012298516559462785,0.00202323991797676,-0.11447368421052632,-0.07192947305149268,-0.09749440089585666
2009-10,0.1112032580525731,0.1112032580525731,0.14037267080745341,-0.030973159111278833,-0.058049908014528986,-0.025840841549129676
2009-11,0.32104955550770564,0.3129375162043039,0.32279942279942286,0.20983318700614578,0.13480724718652728,0.15871178865033125
2009-12,0.27463471654003513,0.2894275431418992,0.30895420369104576,0.23277474519983204,0.18822765965568575,0.17719586212161698
2010-01,0.038180856689582224,0.039399833287024184,0.09821895475099203,-0.10030181086519115,-0.07813547954393024,-0.11374916163648557
2010-02,0.2873995333160488,0.2991797676008202,0.2567327850346718,-0.11433474339532287,-0.14745789767738848,-0.08033362598770853
2010-03,0.14300115207373273,0.14300115207373273,0.1038961038961039,0.23435590713229149,0.23882564795163683,0.222908225609364
2010-04,0.2325199693620746,0.19013750592697956,0.25300802139037437,0.1850187265917603,0.15411752426677802,0.07613210759278177
2010-05,0.4383753501400561,0.4383753501400561,0.44574780058651026,0.1314312984483626,0.20869963369963368,0.13655827991384092
2010-06,-0.11779111644657862,-0.10877551020408163,-0.03330362207276558,-0.21341107489293049,-0.22998614667730152,-0.13283444064772976
2010-07,0.36256552574776435,0.3275362318840579,0.2853658536585366,0.036081045882033466,0.06611809243388189,0.0984310661102521
2010-08,-0.16669683257918552,-0.11625450180072029,-0.070613629355535,-0.058903867343190995,0.01996105160662123,0.09873899854447511
2010-09,-0.34405762304921966,-0.3535714285714286,-0.3985905567300916,-0.18869796332356675,-0.36236130867709815,-0.1947380020718457
2010-10,0.1253359280882217,0.14463449518995278,0.1438211176534335,0.27342187982445937,0.38802340993522133,0.2009910862973968
2010-11,-0.18561071574875912,-0.1792844687395913,-0.24905537694614022,6.558624262974599e-06,-0.08828406984684421,0.0529845019708666
2010-12,-0.12403898368058533,-0.10523325300260586,-0.11165790731008123,-0.31741244356583764,-0.4318830208482419,-0.20783266102102424
2011-01,-0.09393548387096773,-0.07590512182223885,-0.07933797377453336,-0.1825929598144867,-0.24453933163610583,-0.13173754350224937
2011-02,-0.02511825840595577,-0.02511825840595577,-0.04668119701134067,-0.23007465420473108,-0.2867817091052742,-0.1962534332772507
2011-03,-0.13267572856613952,-0.13267572856613952,-0.08163761372317521,-0.041661101329609616,-0.13463520463376175,0.046643595814866524
2011-04,0.04719733432062198,0.04719733432062198,0.030790105416971095,0.0822219072112756,0.11621499548328816,0.10877462991838968
2011-05,-0.05889139212677268,-0.05889139212677268,0.029701280227596015,-0.11576420672468152,-0.04751403368083399,-0.1223890567021093
2011-06,0.44143135345666995,0.44143135345666995,0.4429532271998026,0.25455740778587127,0.1629274965800274,0.22713878369779303
2011-07,0.04330392943063351,0.04330392943063351,0.03648982596351018,0.2389252801976844,0.28010205604129984,0.15453410798331974
2011-08,-0.11574174370859258,-0.11574174370859258,-0.14129688758914982,-0.05279971594761797,-0.0636604774535809,-0.007929302518252584
2011-09,0.17366861182853424,0.18325413625961295,0.1907398543970577,0.06922683409759009,0.07648531421978447,-0.01830823926840776
2011-10,0.2336164404714466,0.2336164404714466,0.265288874967966,0.14700857889789995,0.16626881025088072,0.08730238773851462
2011-11,-0.23472292005319936,-0.22730518262956576,-0.20752821661588594,0.0512180966997253,-0.01620621032385738,0.07802847599272625
2011-12,-0.466873658170999,-0.4640223459157487,-0.49406933142871723,-0.1701761048752356,-0.1545836841951516,-0.03403039838604022
2012-01,0.3267827258653212,0.31648011757802436,0.3033154266026786,0.060888400208623815,0.05332471062086583,0.006231031188908801
