date,nav_official,nav_replay,diff_bp,src
2026-08-14,0.9996,0.997458,-21.43,official
2026-08-17,0.996149,0.996149,0.0,official
2026-08-18,0.992783,0.992783,0.0,official
2026-08-19,0.98879,0.988077,-7.21,official
2026-08-20,1.00892,1.008189,-7.25,official
2026-08-21,0.98989,0.98917,-7.27,official
2026-08-24,0.98319,0.98319,0.0,official
2026-08-25,0.99345,0.99345,0.0,official
2026-08-26,0.9974,0.9974,0.0,official
2026-08-27,0.9984,0.9984,0.0,official
2026-08-28,,1.00993,,projected
