variant,month,gross_ret,ew_ret,turnover,holdings
V2,2008-01-31,-0.061083,-0.079631,0.4,农林牧渔|医药生物|轻工制造|食品饮料|钢铁
V2,2008-02-29,0.052744,0.056986,0.4,农林牧渔|医药生物|轻工制造|家用电器|房地产
V2,2008-03-31,-0.198721,-0.184355,0.6,农林牧渔|医药生物|综合|纺织服饰|钢铁
V2,2008-04-30,-0.033855,-0.025629,0.6,农林牧渔|纺织服饰|房地产|社会服务|食品饮料
V2,2008-05-30,-0.085129,-0.068977,0.6,农林牧渔|食品饮料|钢铁|家用电器|交通运输
V2,2008-06-30,-0.221183,-0.236483,0.6,农林牧渔|钢铁|医药生物|基础化工|公用事业
V2,2008-07-31,0.064512,0.059954,0.2,农林牧渔|医药生物|基础化工|公用事业|食品饮料
V2,2008-08-29,-0.210738,-0.210099,0.4,农林牧渔|医药生物|食品饮料|轻工制造|纺织服饰
V2,2008-09-26,-0.047827,-0.055454,0.8,食品饮料|交通运输|公用事业|房地产|商贸零售
V2,2008-10-31,-0.230416,-0.265348,0.6,交通运输|公用事业|钢铁|家用电器|医药生物
V2,2008-11-28,0.155917,0.147426,0.4,公用事业|家用电器|医药生物|房地产|食品饮料
V2,2008-12-31,0.033484,0.027211,0.2,公用事业|家用电器|医药生物|房地产|农林牧渔
V2,2009-01-23,0.079323,0.118297,0.4,家用电器|医药生物|农林牧渔|社会服务|商贸零售
V2,2009-02-27,0.087414,0.079836,1.0,有色金属|综合|纺织服饰|钢铁|电子
V2,2009-03-31,0.211337,0.192026,0.4,有色金属|综合|电子|家用电器|食品饮料
V2,2009-04-30,0.045084,0.049539,0.4,有色金属|综合|电子|房地产|社会服务
V2,2009-05-27,0.053172,0.047297,0.4,综合|电子|房地产|家用电器|商贸零售
V2,2009-06-30,0.101073,0.085488,0.4,综合|电子|房地产|社会服务|有色金属
V2,2009-07-31,0.190472,0.14965,0.4,房地产|社会服务|有色金属|食品饮料|钢铁
V2,2009-08-31,-0.213184,-0.162698,0.6,有色金属|钢铁|基础化工|公用事业|轻工制造
V2,2009-09-30,0.052177,0.029664,0.8,轻工制造|医药生物|食品饮料|农林牧渔|家用电器
V2,2009-10-30,0.121763,0.101486,0.2,轻工制造|医药生物|食品饮料|家用电器|房地产
V2,2009-11-30,0.10725,0.130447,0.2,轻工制造|医药生物|家用电器|房地产|综合
V2,2009-12-31,0.023102,0.021764,0.8,综合|社会服务|农林牧渔|食品饮料|钢铁
V2,2010-01-29,-0.066268,-0.05056,0.4,农林牧渔|食品饮料|钢铁|基础化工|电子
V2,2010-02-26,0.047943,0.05213,0.4,农林牧渔|食品饮料|电子|社会服务|医药生物
V2,2010-03-31,0.009706,0.018883,0.4,农林牧渔|社会服务|医药生物|综合|家用电器
V2,2010-04-30,-0.109947,-0.073505,0.6,综合|家用电器|电子|房地产|纺织服饰
V2,2010-05-31,-0.041853,-0.081718,0.8,电子|医药生物|有色金属|农林牧渔|食品饮料
V2,2010-06-30,-0.104844,-0.085198,0.0,电子|医药生物|有色金属|农林牧渔|食品饮料
V2,2010-07-30,0.156996,0.142658,0.8,食品饮料|商贸零售|房地产|社会服务|家用电器
V2,2010-08-31,0.057289,0.069516,0.4,房地产|社会服务|家用电器|综合|轻工制造
V2,2010-09-30,0.026428,0.022934,0.8,社会服务|农林牧渔|医药生物|商贸零售|电子
V2,2010-10-29,0.082206,0.091167,0.4,农林牧渔|医药生物|商贸零售|有色金属|食品饮料
V2,2010-11-30,-0.05626,-0.020704,0.8,有色金属|交通运输|家用电器|综合|电子
V2,2010-12-31,-0.044936,-0.017302,0.6,综合|电子|食品饮料|医药生物|社会服务
V2,2011-01-31,-0.048269,-0.047718,0.8,电子|有色金属|家用电器|钢铁|房地产
V2,2011-02-28,0.079022,0.09223,0.4,家用电器|钢铁|房地产|交通运输|公用事业
V2,2011-03-31,-0.011476,-0.011637,0.8,家用电器|综合|有色金属|电子|基础化工
V2,2011-04-29,-0.023732,-0.018597,0.4,家用电器|综合|有色金属|钢铁|房地产
V2,2011-05-31,-0.078529,-0.070248,0.6,家用电器|钢铁|公用事业|商贸零售|轻工制造
V2,2011-06-30,0.030543,0.027078,0.6,家用电器|商贸零售|食品饮料|农林牧渔|综合
V2,2011-07-29,0.004872,0.015299,0.4,家用电器|食品饮料|综合|房地产|基础化工
V2,2011-08-31,-0.000241,-0.033505,0.8,食品饮料|医药生物|社会服务|农林牧渔|纺织服饰
V2,2011-09-30,-0.131986,-0.122997,0.0,食品饮料|医药生物|社会服务|农林牧渔|纺织服饰
V2,2011-10-31,0.028833,0.036546,0.6,食品饮料|医药生物|交通运输|家用电器|钢铁
V2,2011-11-30,-0.028687,-0.042973,0.6,食品饮料|交通运输|公用事业|社会服务|房地产
V2,2011-12-30,-0.133507,-0.131458,0.4,食品饮料|公用事业|社会服务|医药生物|农林牧渔
V2,2012-01-31,-0.002986,0.009656,0.4,公用事业|社会服务|医药生物|房地产|家用电器
V2,2012-02-29,0.100953,0.108724,0.6,房地产|家用电器|有色金属|钢铁|交通运输
V2,2012-03-30,-0.071865,-0.065788,0.6,房地产|家用电器|电子|轻工制造|综合
V2,2012-04-27,0.077532,0.064721,0.6,房地产|家用电器|社会服务|食品饮料|商贸零售
V2,2012-05-31,0.003163,0.014643,0.2,房地产|社会服务|食品饮料|商贸零售|综合
V2,2012-06-29,-0.026256,-0.057357,0.4,房地产|社会服务|食品饮料|医药生物|有色金属
V2,2012-07-31,-0.048717,-0.071904,0.2,房地产|社会服务|食品饮料|医药生物|公用事业
V2,2012-08-31,-0.028691,-0.013141,0.0,房地产|社会服务|食品饮料|医药生物|公用事业
V2,2012-09-28,0.007415,0.014706,0.4,社会服务|医药生物|公用事业|电子|基础化工
V2,2012-10-31,-0.015438,-0.003223,0.4,社会服务|医药生物|基础化工|有色金属|食品饮料
V2,2012-11-30,-0.070166,-0.091142,0.6,医药生物|食品饮料|家用电器|钢铁|房地产
V2,2012-12-31,0.138386,0.143317,0.4,家用电器|钢铁|房地产|交通运输|公用事业
V2,2013-01-31,0.038409,0.049229,0.8,房地产|轻工制造|农林牧渔|纺织服饰|有色金属
V2,2013-02-28,0.035288,0.019744,0.8,农林牧渔|医药生物|家用电器|基础化工|综合
V2,2013-03-29,-0.009767,-0.024308,0.2,农林牧渔|医药生物|基础化工|综合|电子
V2,2013-04-26,-0.043456,-0.032716,0.4,医药生物|基础化工|电子|社会服务|公用事业
V2,2013-05-31,0.118513,0.097771,0.6,医药生物|电子|家用电器|房地产|轻工制造
V2,2013-06-28,-0.141779,-0.154886,0.2,医药生物|电子|房地产|轻工制造|农林牧渔
V2,2013-07-31,0.048784,0.039203,0.4,医药生物|电子|房地产|食品饮料|家用电器
V2,2013-08-30,0.05947,0.079779,0.4,医药生物|电子|家用电器|社会服务|轻工制造
V2,2013-09-30,0.074376,0.047807,0.6,社会服务|轻工制造|交通运输|商贸零售|纺织服饰
V2,2013-10-31,-0.027127,-0.020748,0.2,社会服务|轻工制造|商贸零售|纺织服饰|农林牧渔
V2,2013-11-29,0.049021,0.047463,0.6,纺织服饰|农林牧渔|家用电器|公用事业|交通运输
V2,2013-12-31,-0.015892,-0.03095,0.2,纺织服饰|农林牧渔|家用电器|交通运输|电子
V2,2014-01-30,-0.007026,-0.015503,0.2,纺织服饰|农林牧渔|家用电器|电子|医药生物
V2,2014-02-28,0.012759,0.022104,0.2,纺织服饰|家用电器|电子|医药生物|轻工制造
V2,2014-03-31,-0.039831,-0.02325,0.6,纺织服饰|电子|综合|社会服务|有色金属
V2,2014-04-30,-0.003525,-0.007952,1.0,房地产|建筑材料|银行|交通运输|建筑装饰
V2,2014-05-30,0.015409,0.013664,0.8,银行|非银金融|煤炭|汽车|电子
V2,2014-06-30,0.074029,0.030139,0.6,煤炭|电子|计算机|通信|国防军工
V2,2014-07-31,0.045378,0.069248,0.2,煤炭|计算机|通信|国防军工|汽车
V2,2014-08-29,0.014768,0.039328,0.8,汽车|有色金属|非银金融|房地产|钢铁
V2,2014-09-30,0.101081,0.104327,1.0,电子|社会服务|煤炭|综合|传媒
V2,2014-10-31,0.018768,0.015503,0.8,社会服务|国防军工|交通运输|机械设备|通信
V2,2014-11-28,0.151124,0.065777,0.6,交通运输|机械设备|钢铁|非银金融|银行
V2,2014-12-31,0.2724,0.069468,0.2,交通运输|钢铁|非银金融|银行|房地产
V2,2015-01-30,-0.039152,0.048074,0.0,交通运输|钢铁|非银金融|银行|房地产
V2,2015-02-27,0.101214,0.066649,1.0,计算机|传媒|农林牧渔|家用电器|电子
V2,2015-03-31,0.20642,0.185941,0.6,计算机|传媒|通信|建筑装饰|综合
V2,2015-04-30,0.197729,0.187659,0.6,计算机|建筑装饰|社会服务|电力设备|纺织服饰
V2,2015-05-29,0.19456,0.176849,0.8,建筑装饰|煤炭|交通运输|国防军工|传媒
V2,2015-06-30,-0.158493,-0.099714,0.6,煤炭|国防军工|计算机|电子|轻工制造
V2,2015-07-31,-0.155339,-0.145433,1.0,银行|钢铁|交通运输|公用事业|食品饮料
V2,2015-08-31,-0.138429,-0.12902,0.8,银行|煤炭|国防军工|农林牧渔|社会服务
V2,2015-09-30,-0.038638,-0.060433,0.8,银行|综合|建筑材料|交通运输|轻工制造
V2,2015-10-30,0.115693,0.150668,0.4,银行|交通运输|轻工制造|社会服务|计算机
V2,2015-11-30,0.017705,0.046319,0.8,计算机|煤炭|通信|国防军工|电力设备
V2,2015-12-31,0.043866,0.045709,0.6,计算机|通信|综合|电子|基础化工
V2,2016-01-29,-0.239283,-0.261395,1.0,房地产|社会服务|家用电器|建筑材料|食品饮料
V2,2016-02-29,-0.018744,-0.021647,0.6,家用电器|食品饮料|银行|钢铁|煤炭
V2,2016-03-31,0.12007,0.151651,0.6,银行|钢铁|有色金属|农林牧渔|建筑材料
V2,2016-04-29,-0.041041,-0.021714,1.0,非银金融|电力设备|国防军工|计算机|机械设备
V2,2016-05-31,-0.000289,-0.013309,1.0,银行|钢铁|食品饮料|家用电器|有色金属
V2,2016-06-30,0.044472,0.029882,0.2,银行|食品饮料|家用电器|有色金属|电子
V2,2016-07-29,-0.010767,0.00527,0.6,食品饮料|电子|国防军工|电力设备|计算机
V2,2016-08-31,0.013731,0.043813,0.6,食品饮料|国防军工|医药生物|家用电器|交通运输
V2,2016-09-30,-0.007019,-0.0182,1.0,房地产|综合|建筑装饰|钢铁|建筑材料
V2,2016-10-31,0.021889,0.030727,0.6,房地产|建筑材料|家用电器|社会服务|汽车
V2,2016-11-30,0.063673,0.037375,0.8,建筑材料|建筑装饰|食品饮料|有色金属|钢铁
V2,2016-12-30,-0.063407,-0.048906,0.6,建筑装饰|钢铁|家用电器|非银金融|机械设备
V2,2017-01-26,-0.002043,-0.006085,0.8,钢铁|商贸零售|基础化工|农林牧渔|建筑材料
V2,2017-02-28,0.03561,0.036704,0.8,钢铁|国防军工|银行|有色金属|家用电器
V2,2017-03-31,0.000903,-0.007477,0.6,钢铁|家用电器|建筑材料|建筑装饰|轻工制造
V2,2017-04-28,-0.022727,-0.034418,0.6,家用电器|建筑装饰|食品饮料|电子|社会服务
V2,2017-05-31,-0.034652,-0.047571,0.4,家用电器|建筑装饰|食品饮料|公用事业|建筑材料
V2,2017-06-30,0.056458,0.043327,0.6,家用电器|食品饮料|银行|非银金融|交通运输
V2,2017-07-31,0.030274,0.008721,0.6,家用电器|食品饮料|有色金属|汽车|电子
V2,2017-08-31,0.039698,0.028976,0.8,有色金属|钢铁|基础化工|银行|非银金融
V2,2017-09-29,0.008858,0.014814,0.4,有色金属|钢铁|非银金融|计算机|通信
V2,2017-10-31,0.030558,0.00648,0.8,通信|食品饮料|汽车|社会服务|电子
V2,2017-11-30,-0.042871,-0.036877,0.4,食品饮料|社会服务|电子|家用电器|医药生物
V2,2017-12-29,-0.024541,-0.004701,0.8,家用电器|钢铁|银行|非银金融|建筑材料
V2,2018-01-31,0.038984,0.008804,0.8,家用电器|食品饮料|医药生物|有色金属|社会服务
V2,2018-02-28,-0.067046,-0.041864,0.4,家用电器|食品饮料|社会服务|房地产|银行
V2,2018-03-30,0.01415,0.001726,0.8,社会服务|电子|钢铁|计算机|通信
V2,2018-04-27,-0.025741,-0.04126,0.6,计算机|通信|医药生物|国防军工|电力设备
V2,2018-05-31,-0.001345,-0.00219,0.4,计算机|医药生物|国防军工|钢铁|食品饮料
V2,2018-06-29,-0.103175,-0.094313,0.6,医药生物|食品饮料|社会服务|农林牧渔|商贸零售
V2,2018-07-31,-0.004527,0.002482,0.6,食品饮料|社会服务|钢铁|家用电器|汽车
V2,2018-08-31,-0.053671,-0.073615,0.8,钢铁|建筑材料|建筑装饰|国防军工|银行
V2,2018-09-28,0.023677,0.005674,0.4,建筑装饰|国防军工|银行|通信|非银金融
V2,2018-10-31,-0.099082,-0.099982,0.4,国防军工|银行|非银金融|食品饮料|汽车
V2,2018-11-30,-0.007445,0.03119,0.6,银行|非银金融|房地产|钢铁|农林牧渔
V2,2018-12-28,-0.0121,-0.038189,0.8,农林牧渔|综合|通信|电力设备|食品饮料
V2,2019-01-31,0.019043,0.013335,0.2,农林牧渔|通信|电力设备|食品饮料|社会服务
V2,2019-02-28,0.139634,0.186743,0.6,电力设备|食品饮料|家用电器|非银金融|银行
V2,2019-03-29,0.08316,0.089246,0.8,非银金融|电子|计算机|通信|传媒
V2,2019-04-30,-0.014074,-0.024295,0.8,计算机|农林牧渔|食品饮料|轻工制造|综合
V2,2019-05-31,-0.056988,-0.063575,0.6,农林牧渔|食品饮料|家用电器|银行|汽车
V2,2019-06-28,0.015147,0.019336,0.4,农林牧渔|食品饮料|银行|有色金属|国防军工
V2,2019-07-31,-0.004615,-0.010454,0.6,食品饮料|银行|非银金融|社会服务|家用电器
V2,2019-08-30,0.019922,-0.009757,0.6,社会服务|家用电器|农林牧渔|电子|国防军工
V2,2019-09-30,-0.022962,0.002489,0.2,社会服务|农林牧渔|电子|国防军工|食品饮料
V2,2019-10-31,0.003308,0.003379,0.8,电子|通信|计算机|银行|机械设备
V2,2019-11-29,-0.032771,-0.014726,0.8,银行|农林牧渔|家用电器|医药生物|轻工制造
V2,2019-12-31,0.092328,0.079229,1.0,建筑材料|电子|钢铁|汽车|电力设备
V2,2020-01-23,0.013499,-0.00983,0.6,建筑材料|电子|有色金属|传媒|家用电器
V2,2020-02-28,0.043674,0.004934,0.6,电子|传媒|计算机|电力设备|医药生物
V2,2020-03-31,-0.057401,-0.05347,0.4,电子|计算机|医药生物|通信|农林牧渔
V2,2020-04-30,0.045829,0.047643,0.6,医药生物|农林牧渔|商贸零售|食品饮料|建筑材料
V2,2020-05-29,0.023694,0.005888,0.6,食品饮料|建筑材料|社会服务|电子|电力设备
V2,2020-06-30,0.097841,0.069358,0.6,食品饮料|社会服务|商贸零售|轻工制造|家用电器
V2,2020-07-31,0.191987,0.136973,0.4,食品饮料|社会服务|商贸零售|电子|医药生物
V2,2020-08-31,0.027841,0.020939,0.6,食品饮料|社会服务|国防军工|建筑材料|电力设备
V2,2020-09-30,-0.07199,-0.060947,0.6,食品饮料|国防军工|交通运输|农林牧渔|汽车
V2,2020-10-30,0.02782,0.003957,0.8,汽车|社会服务|电力设备|家用电器|非银金融
V2,2020-11-30,0.059523,0.042811,0.4,汽车|电力设备|家用电器|银行|食品饮料
V2,2020-12-31,0.012954,0.018931,0.4,汽车|家用电器|银行|有色金属|钢铁
V2,2021-01-29,0.018364,-0.012202,0.6,家用电器|有色金属|社会服务|电力设备|食品饮料
V2,2021-02-26,0.004756,0.015749,0.4,有色金属|电力设备|食品饮料|基础化工|银行
V2,2021-03-31,-0.043089,-0.015614,0.6,有色金属|基础化工|房地产|钢铁|农林牧渔
V2,2021-04-30,0.000222,0.010811,0.8,钢铁|公用事业|建筑装饰|纺织服饰|综合
V2,2021-05-31,0.041665,0.040872,0.6,钢铁|综合|医药生物|有色金属|电力设备
V2,2021-06-30,0.015839,-0.002151,0.6,有色金属|电力设备|国防军工|食品饮料|计算机
V2,2021-07-30,0.012099,-0.035987,0.6,电力设备|计算机|电子|综合|汽车
V2,2021-08-31,0.092859,0.048802,0.6,电力设备|电子|有色金属|钢铁|基础化工
V2,2021-09-30,-0.059447,-0.015132,0.4,有色金属|钢铁|基础化工|国防军工|公用事业
V2,2021-10-29,-0.01791,-0.00327,0.8,公用事业|食品饮料|农林牧渔|社会服务|房地产
V2,2021-11-30,-0.012498,0.024431,0.4,食品饮料|农林牧渔|社会服务|电力设备|汽车
