,nav_true
2013-08-31,1.0037979620103
2013-09-30,1.0077593574025976
2013-10-31,1.0118398271887201
2013-11-30,1.0159312331022743
2013-12-31,1.0207482416718414
2014-01-31,1.0262438952395572
2014-02-28,1.0309570319240327
2014-03-31,1.0357156071893876
2014-04-30,1.0400581798724016
2014-05-31,1.044260773451281
2014-06-30,1.0480820747819688
2014-07-31,1.0287211787328276
2014-08-31,1.0197348957551013
2014-09-30,0.96979446028807
2014-10-31,0.9718767220729632
2014-11-30,0.9750959873739036
2014-12-31,0.9786458499613235
2015-01-31,0.9822582340515017
2015-02-28,0.9656653626430354
2015-03-31,0.9685488866561984
2015-04-30,0.9719875141012766
2015-05-31,0.9753772733575452
2015-06-30,0.9783816068328789
2015-07-31,0.9811490219123025
2015-08-31,0.9838073821421286
2015-09-30,0.9863253097024492
2015-10-31,0.9888125768926074
2015-11-30,0.9910773548368843
2015-12-31,0.9933608214887588
2016-01-31,0.9955992043411559
2016-02-29,1.0705675378241188
2016-03-31,1.0601708574528634
2016-04-30,1.0889749908842714
2016-05-31,1.0686608774472999
2016-06-30,1.14306888411129
2016-07-31,1.1535108251189377
2016-08-31,1.1460288141768835
2016-09-30,1.15163693745407
2016-10-31,1.1304448092917165
2016-11-30,1.0860619150055382
2016-12-31,1.0875211598957022
2017-01-31,1.0906943525386312
2017-02-28,1.0936852316812116
2017-03-31,1.0871380234280192
2017-04-30,1.1072191676492917
2017-05-31,1.092650494390795
2017-06-30,1.0686318709104732
2017-07-31,1.070888221554034
2017-08-31,1.0749637674866401
2017-09-30,1.069503138769367
2017-10-31,1.0601420609683214
2017-11-30,1.0621152824795521
2017-12-31,1.065747233621997
2018-01-31,1.0694012814121578
2018-02-28,1.0726770874702691
2018-03-31,1.07640080851905
2018-04-30,1.0799125051839689
2018-05-31,1.0833269261501424
2018-06-30,1.086611111058559
2018-07-31,1.0898096971064617
2018-08-31,1.092798863806006
2018-09-30,1.0954316247260023
2018-10-31,1.0979041359371702
2018-11-30,1.09970124862488
2018-12-31,1.1375387000782455
2019-01-31,1.1419664869504578
2019-02-28,1.1403563826332874
2019-03-31,1.1222427090652058
2019-04-30,1.1178149221929938
2019-05-31,1.1584700562014285
2019-06-30,1.251453580517791
2019-07-31,1.2710760130955572
2019-08-31,1.3651716416202182
2019-09-30,1.3446278211707232
2019-10-31,1.3387184647939778
2019-11-30,1.3187825334488412
2019-12-31,1.3571222062083608
2020-01-31,1.3742206657664344
2020-02-29,1.4288973875901552
2020-03-31,1.4207096541209376
2020-04-30,1.446570283851267
2020-05-31,1.4664900367607439
2020-06-30,1.4754674791998168
2020-07-31,1.5566365246540814
2020-08-31,1.530213693897325
2020-09-30,1.5026818246113358
2020-10-31,1.4900487150357784
2020-11-30,1.44033971946725
2020-12-31,1.4420897603050047
2021-01-31,1.4448350107740207
2021-02-28,1.447315965850542
2021-03-31,1.4499774413390671
2021-04-30,1.4525659970371563
2021-05-31,1.45512012270485
2021-06-30,1.4575974929588735
2021-07-31,1.4601310601054234
2021-08-31,1.4626426023408226
2021-09-30,1.465088389399985
2021-10-31,1.4676176453851812
2021-11-30,1.4700748385527997
2021-12-31,1.4726214497410666
2022-01-31,1.4752180386185612
2022-02-28,1.477463521038215
2022-03-31,1.4913200104387767
2022-04-30,1.5179978210145462
2022-05-31,1.50378037998015
2022-06-30,1.4889252407116285
2022-07-31,1.4631084314642016
2022-08-31,1.466315490493268
2022-09-30,1.4662764202126755
2022-10-31,1.4736725696385577
2022-11-30,1.5267046531795598
2022-12-31,1.5429626641921281
2023-01-31,1.5750915907169811
2023-02-28,1.5541884337009082
2023-03-31,1.657155836780446
2023-04-30,1.663088574427451
2023-05-31,1.6844754558858774
2023-06-30,1.680236135123803
2023-07-31,1.7016507898608078
2023-08-31,1.7343080383774647
2023-09-30,1.711924890574721
2023-10-31,1.7829334973974722
2023-11-30,1.7709700908131976
2023-12-31,1.7937391549574238
2024-01-31,1.7956687366645667
2024-02-29,1.7933532386160036
2024-03-31,1.9782071661592042
2024-04-30,2.0399537807877373
2024-05-31,2.0555172419386674
2024-06-30,2.0458687661926955
2024-07-31,2.076477164660403
2024-08-31,2.0973973004020863
2024-09-30,2.1468299911826305
2024-10-31,2.260918779396025
2024-11-30,2.202790954795481
2024-12-31,2.2043116803958087
2025-01-31,2.276730025330578
2025-02-28,2.3456093116046066
2025-03-31,2.5079945360848117
2025-04-30,2.6376549158292453
2025-05-31,2.6215941008903174
2025-06-30,2.6145025725999904
2025-07-31,2.6213643280825893
2025-08-31,2.65381262246739
2025-09-30,2.955063886651487
2025-10-31,3.0939627382642425
2025-11-30,3.1356544780659887
2025-12-31,3.1699653123416893
2026-01-31,3.4044507466379796
2026-02-28,3.3973507489226367
2026-03-31,3.2978654616338368
2026-04-30,3.29828384874561
2026-05-31,3.2796758483276864
2026-06-30,3.1680058145239203
2026-07-31,3.168974553581083
2026-08-31,3.1706794575874837
