,w_applied,w_eng_recomputed,w_true,gold_ret,mmf_ret,gross,net,nav,prev_me_is_cal_nan,prev_me_is_warmup_nan,agree_engine_vs_ledger,cost_model_ok,contaminated,pnl_diff_gross,net_gain
2014-09-30,0.0,0.0,1.0,-0.048942834769,0.00336413799897,0.00336413799897,0.00209524355573,1.02187037779,True,False,True,True,True,-0.048942834769,False
2015-02-28,0.0,0.0,0.579014,-0.0302911093627,0.00332343371692,0.00332343371692,0.00332343371692,1.03979027903,True,False,True,True,True,-0.01753897639653438,False
2016-02-29,0.0,0.0,0.801001,0.0947947524333,0.00206192963476,0.00206192963476,0.00206192963476,1.07503847667,True,False,True,True,True,0.07593069149382574,True
2016-05-31,0.0,0.0,0.615129,-0.0315789473684,0.00204649379407,0.00204649379407,0.00126367958067,1.09410379788,True,False,True,True,True,-0.019425126315776524,False
2016-08-31,0.0,0.0,0.580665,-0.01259181532,0.00197735944827,0.00197735944827,0.00121865115182,1.18152905172,True,False,True,True,True,-0.007311626442787799,False
2017-05-31,0.0,0.0,1.0,-0.0131578947368,0.00336110426873,0.00336110426873,0.00206110426873,1.14302062449,True,False,True,True,True,-0.0131578947368,False
2017-10-31,0.0,0.0,1.0,-0.00875273522976,0.00325859699893,0.00325859699893,0.00195859699893,1.11950743764,True,False,True,True,True,-0.00875273522976,False
2019-01-31,0.0,0.0,1.0,0.00389242745931,0.00220793534807,0.00220793534807,0.000907935348069,1.20388887035,True,False,True,True,True,0.00389242745931,True
2019-04-30,0.0,0.0,1.0,-0.00394548063128,0.00188900253402,0.00188900253402,0.00058900253402,1.18225132682,True,False,True,True,True,-0.00394548063128,False
2019-07-31,0.0,0.0,0.882219,0.0176905757478,0.00191767718614,0.00191767718614,0.000617677186142,1.32274982255,True,False,True,True,True,0.015606962045648367,True
2019-09-30,0.0,0.0,0.493167,-0.0319270239453,0.0018478683902,0.0018478683902,0.000967019686806,1.42123055281,True,False,True,True,True,-0.015745354618031764,False
2019-12-31,0.0,0.0,0.795586,0.0364471669219,0.00199010386072,0.00199010386072,0.00128748304936,1.39480876718,True,False,True,True,True,0.028996855742726733,True
2020-02-29,0.0,0.0,0.702523,0.0562682215743,0.00185587066767,0.00185587066767,0.000648232362134,1.4118540545,True,False,True,True,True,0.039529719825041956,True
2020-03-31,0.0,0.0,0.6183,-0.0102125310516,0.00181763653801,0.00181763653801,0.00181763653801,1.41442029201,True,False,True,True,True,-0.0063144079492042805,False
2020-06-30,0.0,0.0,0.422881,0.0129399585921,0.00114833680307,0.00114833680307,0.000611660633368,1.46057347535,True,False,True,True,True,0.00547206262938584,True
2020-11-30,0.0,0.0,0.494522,-0.0690274570182,0.00159135258554,0.00159135258554,0.000977923328792,1.47568059509,True,False,True,True,True,-0.0341355960995543,False
2022-05-31,0.0,0.0,0.602299,-0.0164890918316,0.00147405033488,0.00147405033488,0.000670277718021,1.5572858769,True,False,True,True,True,-0.009931363521080849,False
2022-08-31,0.0,0.0,0.888246,0.00240064017071,0.00118094428451,0.00118094428451,-4.6160464115e-05,1.5138987294,True,False,True,True,True,0.0021323590290724744,True
2023-01-31,0.0,0.0,1.0,0.0208228800803,0.0015249240387,0.0015249240387,0.000224924038698,1.59523145308,True,False,True,True,True,0.0208228800803,True
2023-05-31,0.0,0.0,0.813978,0.0155886458818,0.00146135227175,0.00146135227175,0.000302258949573,1.68264293969,True,False,True,True,True,0.0126888147975758,True
2023-10-31,0.0,0.0,1.0,0.0414788097385,0.00159423841521,0.00159423841521,0.000294238415206,1.70898905623,True,False,True,True,True,0.0414788097385,True
2024-01-31,0.0,0.0,1.0,0.00107573149742,0.00178844556514,0.00178844556514,0.000488445565137,1.71793502413,True,False,True,True,True,0.00107573149742,True
2024-04-30,0.0,0.0,1.0,0.0312134217714,0.00140580426037,0.00140580426037,0.000105804260373,1.89030790693,True,False,True,True,True,0.0312134217714,True
2024-07-31,0.0,0.0,0.551073,0.0262412686426,0.00121818747034,0.00121818747034,0.000455137344646,1.8956413855,True,False,True,True,True,0.014460854634683511,True
2024-09-30,0.0,0.0,0.696434,0.0335023542195,0.00113733473765,0.00113733473765,0.000340817989433,1.91403372502,True,False,True,True,True,0.023332178558503263,True
2024-12-31,0.0,0.0,0.701441,0.000844166807361,0.00106992351316,0.00106992351316,-6.31549427461e-05,1.96211419629,True,False,True,True,True,0.0005921332095221072,True
2025-02-28,0.0,0.0,0.771574,0.0390196710738,0.0010320230128,0.0010320230128,0.000117677992197,2.02502471806,True,False,True,True,True,0.03010656368909616,True
2025-06-30,0.0,0.0,0.431568,-0.00746369928077,0.000965019789419,0.000965019789419,0.000371482383586,2.26200626124,True,False,True,True,True,-0.0032210937712033472,False
2025-09-30,0.0,0.0,1.0,0.113946032594,0.000860697771935,0.000860697771935,-9.6733158313e-06,2.29472602536,True,False,True,True,True,0.113946032594,True
2025-12-31,0.0,0.0,0.405617,0.0258078747105,0.000865782482345,0.000865782482345,0.00029792209498,2.43349465037,True,False,True,True,True,0.01046811271644888,True
2026-02-28,0.0,0.0,0.368658,-0.00690344263784,0.000792482282656,0.000792482282656,0.000272404671614,2.61296606052,True,False,True,True,True,-0.0025450093559808186,False
2026-03-31,0.0,0.0,0.263753,-0.112869294796,0.00084590603274,0.00084590603274,0.00084590603274,2.61517638427,True,False,True,True,True,-0.029769615110329387,False
2026-06-30,0.0,0.0,0.317147,-0.108438863467,0.000696584413842,0.000696584413842,0.000418004936751,2.60129043611,True,False,True,True,True,-0.034391060231968654,False
