date,roll3y_pct,s_step,s_linear
2020-01,23.93822393822394,0,0.0
2020-02,0.0,0,0.0
2020-03,15.282392026578073,0,0.0
2020-04,31.987577639751553,0,0.0
2020-05,47.05882352941176,0,0.35294117647058804
2020-06,32.22222222222222,0,0.0
2020-07,0.5221932114882507,0,0.0
2020-08,16.08910891089109,0,0.0
2020-09,56.10328638497653,0,0.8051643192488264
2020-10,71.04072398190046,1,1.0
2020-11,28.725701943844495,0,0.0
2020-12,3.7037037037037033,0,0.0
2021-01,0.592885375494071,0,0.0
2021-02,2.3032629558541267,0,0.0
2021-03,15.808823529411764,0,0.0
2021-04,43.53982300884956,0,0.17699115044247798
2021-05,8.576329331046312,0,0.0
2021-06,8.940397350993377,0,0.0
2021-07,3.5143769968051117,0,0.0
2021-08,9.5679012345679,0,0.0
2021-09,0.0,0,0.0
2021-10,5.847953216374268,0,0.0
2021-11,29.745042492917843,0,0.0
2021-12,27.846364883401918,0,0.0
2022-01,32.219251336898395,0,0.0
2022-02,26.62251655629139,0,0.0
2022-03,25.695364238410594,0,0.0
2022-04,26.35761589403974,0,0.0
2022-05,20.79470198675497,0,0.0
2022-06,16.423841059602648,0,0.0
2022-07,22.781456953642383,0,0.0
2022-08,44.900662251655625,0,0.24503311258278124
2022-09,54.56953642384106,0,0.7284768211920529
2022-10,57.615894039735096,0,0.8807947019867548
2022-11,61.58940397350994,1,1.0
2022-12,49.5364238410596,0,0.47682119205298007
2023-01,26.62251655629139,0,0.0
2023-02,74.3046357615894,1,1.0
2023-03,72.05298013245033,1,1.0
2023-04,23.443708609271525,0,0.0
2023-05,58.145695364238414,0,0.9072847682119207
2023-06,81.19205298013244,1,1.0
2023-07,94.43708609271523,1,1.0
2023-08,100.0,1,1.0
2023-09,92.8476821192053,1,1.0
2023-10,83.17880794701988,1,1.0
2023-11,89.13907284768212,1,1.0
2023-12,88.60927152317882,1,1.0
2024-01,83.57615894039735,1,1.0
2024-02,77.21854304635761,1,1.0
2024-03,67.81456953642385,1,1.0
2024-04,62.11920529801325,1,1.0
2024-05,66.49006622516556,1,1.0
2024-06,81.45695364238411,1,1.0
2024-07,65.16556291390728,1,1.0
2024-08,80.52980132450331,1,1.0
2024-09,23.576158940397352,0,0.0
2024-10,4.768211920529802,0,0.0
2024-11,4.635761589403973,0,0.0
2024-12,11.788079470198676,0,0.0
2025-01,4.900662251655629,0,0.0
2025-02,2.384105960264901,0,0.0
2025-03,35.894039735099334,0,0.0
2025-04,50.06622516556292,0,0.5033112582781459
2025-05,75.36423841059603,1,1.0
2025-06,58.41059602649007,0,0.9205298013245035
2025-07,36.29139072847682,0,0.0
2025-08,19.47019867549669,0,0.0
2025-09,0.0,0,0.0
2025-10,3.3112582781456954,0,0.0
2025-11,16.95364238410596,0,0.0
2025-12,3.9735099337748347,0,0.0
2026-01,0.26490066225165565,0,0.0
2026-02,4.635761589403973,0,0.0
2026-03,5.827814569536424,0,0.0
2026-04,0.0,0,0.0
2026-05,0.0,0,0.0
2026-06,0.0,0,0.0
2026-07,3.3112582781456954,0,0.0
2026-08,6.0927152317880795,0,0.0
