ym,EP,BP,DP,SP,EP_stab,EP_impr,log_mv,amt20,pb_inv,roe_ttm,EP_dz,BP_dz,DP_dz,SP_dz,EP_stab_dz,EP_impr_dz
2006-07,0.050302667754041845,0.03375767388333851,0.11142940003918894,-0.021274451599737565,0.0736867572553243,0.023036128310010652,0.08159905477819301,0.07653579216061017,-0.03375767388333851,0.04570320311321122,0.06395843535737436,0.0792426114618296,0.12615997989818378,0.005543654928444062,0.08507678681454273,0.04002177648323404
2006-08,-0.08085069306479402,0.09104818623121218,-0.12759333015487748,-0.057016971440352934,-0.06609405795663123,-0.132060403552136,-0.2041484535166708,-0.25317963770303625,-0.09104818623121218,-0.06583808331541174,-0.12692196078108386,-0.0517362004198494,-0.173961636763695,-0.11546492960473399,-0.10325203182706064,-0.10708236890677081
2006-09,0.281253631492049,0.16213093010760446,0.22364746709441968,0.2558218105854242,0.15719977759231335,0.08786550401184891,0.036380803198881574,0.0014312525982248397,-0.16213093010760446,0.2533032952374361,0.2699541841372799,0.17198819016264,0.20094249212024065,0.22429216117945242,0.156911684190377,0.041608406856047706
2006-10,0.293357426930126,0.03827628113472128,0.22686834232033715,0.11628920171501465,0.17333557462403854,0.21041680576912647,0.3028509567011056,0.3511045098949241,-0.03827628113472128,0.3523418862212392,0.2835132067700293,0.2164274485228209,0.2256731767581595,0.2167040089246175,0.19441096443554054,0.15380170174149446
2006-11,0.1689793443193708,0.041761150776153326,0.12449501294275017,0.18004154775516,0.09919859926023311,0.08984832945572148,0.1515590627979758,0.216249661223824,-0.041761150776153326,0.21202810714414932,0.17462258589330443,0.11063815293689765,0.13153194861756567,0.22716662439028684,0.1163819106310363,0.06777603715019723
2006-12,-0.07898832926028101,-0.025600304542836155,-0.08434728853276484,-0.02803141562663076,-0.04249208803146424,-0.05113880695783207,-0.016755596252101188,-0.07974888119682143,0.025600304542836155,-0.06723167507364315,-0.06968900021555005,-0.009852799352177501,-0.06615427951920402,-0.022004652708807235,-0.03825817299465812,-0.03788903176295596
2007-01,-0.25084023295104846,0.09817816513213856,-0.18770010894270645,-0.030421669394232735,-0.14464724861085926,-0.1524936246018407,-0.15082612308173124,-0.23698875908772377,-0.09817816513213856,-0.33250941672116535,-0.2396826531315446,0.030259050811726113,-0.1972869650052651,-0.09172370068557836,-0.15180013182445687,-0.13767885854455436
2007-02,-0.25906015435694807,0.07331837957801955,-0.2370550528026705,-0.037078997207254306,-0.133804829097356,-0.16189091612516224,-0.23939398693124922,-0.31314744659886057,-0.07331837957801955,-0.3162501485323726,-0.28215535511390494,-0.05548161343974338,-0.25364311040746335,-0.1198401820364632,-0.16816775006867513,-0.17395270782998368
2007-03,-0.13540671002891347,0.059952368213219094,-0.04943542552294154,-0.09822967928317468,0.0034023891832267454,-0.11856841884018031,0.04046120656888613,0.05668965364347956,-0.059952368213219094,-0.29700355973223175,-0.11378796016541447,0.1238754643056564,-0.015572831929829431,-0.04558084182542092,0.0081722052392911,-0.08318038028168791
2007-04,0.06485135671173195,0.07020866158012451,-0.05902852817767244,0.10182749422347871,-0.022816802541310723,0.029764541712462834,-0.001595584441045821,0.0033001473783381002,-0.07020866158012451,0.12077242472523284,0.05255386324150045,0.067301852133249,-0.07561373376682375,0.10039723729911885,-0.032901554420986065,0.0027693433140085766
2007-05,0.45804944081098253,0.15558991696825056,0.29641937254547734,0.2945040473595092,0.21835081821314287,0.24015657310900404,0.06302825703490952,0.05447168750433419,-0.15558991696825056,0.4573855289148967,0.4236758287962874,0.17393175087773374,0.28179121241530675,0.28992028226343686,0.25769038789013754,0.20995756371140004
2007-06,-0.04435186890425573,0.1182766075888836,-0.029749765416481524,0.020597567740865855,-0.05935676789237135,-0.07644518491600921,-0.19875596977354884,-0.10039856204341552,-0.1182766075888836,-0.2065285213743701,-0.0669914547703743,0.04592829337987308,-0.07313547889527028,-0.056828026854680296,-0.11474708358590936,-0.06933753904935927
2007-07,0.06536544490120062,0.09084724434260992,-0.0004213054828757401,0.08230585986922585,-0.032968919023251206,0.05018958530099702,0.05123450489763893,-0.04800094179606081,-0.09084724434260992,0.06483172059298017,0.016374940747760955,0.11170017487350055,-0.010462797253376397,0.11004140711672082,-0.022707413869959676,0.024205803067742525
2007-08,0.004209269423976021,0.04020415799010348,0.026805992212696944,0.04668326952741061,-0.010629917803761293,-0.06430660955197813,0.0871186688934959,0.028681196724464324,-0.04020415799010348,0.008219133399404506,0.017510352762855255,0.08402720800332394,0.04488001566842543,0.08909979668040983,-0.0016707597618220772,-0.04898269786519503
2007-09,0.3163687778021372,0.09183561134372327,0.19724124935961704,0.11123539029893387,0.1126107403433839,0.21779204858711182,0.06293660965749628,0.06356340232887395,-0.09183561134372327,0.34553574837038503,0.26890578716015834,0.09437550977982324,0.1835985802362582,0.10464047987815105,0.13139007720119728,0.20068660671730348
2007-10,-0.18120716107409832,0.15977904896638054,-0.10654679357858779,0.023979959583453694,0.021115202201455244,-0.19149299085097454,-0.3421066273186459,-0.5057358532944803,-0.15977904896638054,-0.34063123765333286,-0.210797322551282,-0.0021362671978875205,-0.1849017278482565,-0.16338216393006094,-0.09411425357937124,-0.2211617198136324
2007-11,0.05797430700630667,0.003511898521649665,0.06050231663817697,0.05892233918395224,0.037571331027576975,0.06445293507268976,-0.11274655370639963,-0.03786055324337974,-0.003511898521649665,0.07662463153729719,0.03987489992994914,-0.056326945794169955,0.03235668782027778,-0.026675078675185364,0.011748596167384174,0.06349627648092539
2007-12,0.0020793523993800013,0.07105565833858322,0.041640348436355244,0.061163535506022895,0.037397814928662065,-0.04143656103220094,-0.15451280083387767,-0.22045326899698975,-0.07105565833858322,-0.02350884915573549,0.028146293476387786,0.03069035932482801,0.021015779526109273,0.0327592059836608,0.018294527696056283,-0.020918178170399607
2008-01,-0.1740662463327507,0.025436082009545453,-0.09813152393214487,-0.052290099583948806,-0.0061986566048221415,-0.11918789948936313,-0.1967916607706231,-0.15518035312952916,-0.025436082009545453,-0.2855527620165932,-0.15003877891592768,-0.023078852828206344,-0.11912394819936566,-0.08185877862644264,-0.07765221126705439,-0.11882134881741671
2008-02,0.005471125724575381,0.1313192226078508,0.04483815814529549,0.002912464411319024,0.03798900893682612,-0.07040490348023065,-0.1654645154367579,-0.17381899672477857,-0.1313192226078508,-0.09912739377345282,-0.03411189187634818,0.04933192272428215,0.0044397495951988865,-0.08979109829023295,-0.014753096318164486,-0.10738772648207816
2008-03,0.17732176658673007,0.03397953999020175,0.14230658290972373,0.08433373218593337,0.07173343778090806,0.14489115895068103,0.15531212001313022,0.22112193503605207,-0.03397953999020175,0.16052784016652286,0.1869011873276009,0.11789100960175587,0.1378965581155723,0.1644003851744171,0.10861254571019584,0.12274890349749516
2008-04,-0.15801623323234168,0.02774422958202676,-0.06309788671379807,0.05558651950999389,-0.0018788371099531913,-0.12617996231419706,-0.1921538875397661,-0.24696228649313962,-0.02774422958202676,-0.1819738843024528,-0.13493220366375488,-0.028251661819546765,-0.05126936081382906,-0.027451665369131358,-0.07779769805862044,-0.13207274221053056
2008-05,0.13024420227460257,0.09018742147818837,0.10220099099411081,0.07389600312923403,0.07691175935822135,0.03744633104524542,0.01251477825664441,-0.02557096490150797,-0.09018742147818837,0.1204580634409685,0.08890508237741414,0.06677147593199383,0.08762262369118551,0.02410595532833746,0.08425500665193951,0.028209968351005796
2008-06,-0.06018345647274146,0.06763199121310313,-0.06407847278652541,0.014277603300779743,0.021369426367636928,-0.07549873559127462,-0.2960396050484746,-0.2967221304752814,-0.06763199121310313,-0.15012672230233243,-0.09162691027144156,-0.04479995493817687,-0.07679271903800378,-0.094085193520122,-0.049676740732664766,-0.07966469492242897
2008-07,0.1560374457004822,0.179209601930685,0.14763777963336774,0.07923187850019965,0.17618072284303826,0.06427459399169948,-0.01770894385932337,-0.18645497640232092,-0.179209601930685,0.062000024705763206,0.11649381697623645,0.14308194060010543,0.1355073951279153,0.037463871311878304,0.14778010012434697,0.05177107532080722
2008-08,0.04434751513564324,0.04240905986839498,0.11465056737355492,-0.016400258620892446,0.1349944451335664,0.12900902733892736,0.20130936495852997,0.1534362165991097,-0.04240905986839498,-0.04190996640737049,0.0817969669103429,0.16441116144645354,0.14966251665158042,0.08684345480650073,0.16534245166294673,0.15139033023444318
2008-09,0.0337621945445071,0.12136318385555772,0.03663561163934615,0.01210328638177902,0.16604610966796632,0.016863682580430358,-0.15203862345644914,-0.25576355380263394,-0.12136318385555772,-0.06670934232386479,-0.008356482959950947,0.026431843295468608,0.009815269029648006,-0.06495993235956272,0.11867746863948862,0.002211532266384725
2008-10,-0.07915485385938018,0.061010906817125905,-0.05869929544044783,0.04394161326163683,-0.03782872008040521,-0.06984424862755022,-0.2042076435927226,-0.18406218514339906,-0.061010906817125905,-0.19015165926167496,-0.11481164202873427,-0.011827595067713572,-0.06260043140944548,-0.0539830514990914,-0.0661818784157083,-0.07731240845672814
2008-11,0.13906131063284274,0.0817506936768952,0.011661746868872506,0.1782041158564426,-0.08021535410630974,-0.05576517482563515,-0.36132247553255703,-0.39478277789559707,-0.0817506936768952,0.16399478586807917,0.032755487825376836,-0.12946019916999735,-0.06553885769292848,-0.05748164715089171,-0.12547349723680135,-0.0932881709484691
2008-12,0.061928803861592115,0.037465323078986104,0.01123418010981655,0.04708239385957388,-0.01953152542251682,0.09506293276719098,-0.02577426358140771,0.12134864031520456,-0.037465323078986104,0.028344881528702875,0.1136798379460823,0.06343088282124902,0.043346721132872995,0.09138638079884706,0.01200504220789942,0.12888845616409558
