ym,EP~log_mv,EP~amt20,EP~pb_inv,EP~roe_ttm,BP~log_mv,BP~amt20,BP~pb_inv,BP~roe_ttm,DP~log_mv,DP~amt20,DP~pb_inv,DP~roe_ttm,SP~log_mv,SP~amt20,SP~pb_inv,SP~roe_ttm,EP_stab~log_mv,EP_stab~amt20,EP_stab~pb_inv,EP_stab~roe_ttm,EP_impr~log_mv,EP_impr~amt20,EP_impr~pb_inv,EP_impr~roe_ttm
2006-07,-0.1568642846675862,0.23230400348085029,-0.4705563148864397,0.6939041240180592,-0.49638254271621685,-0.15393898409460022,-1.0,-0.013722642449673592,0.07384621699979757,0.3458538045985562,-0.2729419371447773,0.4403140538869763,-0.34584695264946885,-0.009210714795967105,-0.6641234889652333,0.3471775173752515,0.12818939919037065,0.15950197649491876,-0.1787765745760111,0.13668113621944997,0.17952282738990533,0.2500385452226971,0.03896916368799829,0.3903474844978855
2006-08,-0.1246049701855537,0.149813937589358,-0.4276945364576728,0.7468729393378173,-0.5289813350247105,-0.2341201009422041,-1.0,-0.05546582004045405,0.04014825788602326,0.20332711534406753,-0.2932328813283175,0.47179978088583663,-0.3276932169237418,-0.0728389079337565,-0.6082208109702107,0.36349059823267427,0.01909652946011877,0.1082670244006989,-0.24724052373423525,0.29495470672179397,0.19035594272087003,0.21571775151914432,0.07767467428282256,0.47242403457716375
2006-09,-0.112250935898899,0.15379250359028865,-0.4486364155167762,0.7504549805706954,-0.5033764310069059,-0.22447264160964792,-1.0,-0.04677868839119524,0.04235819128597934,0.1914089018689038,-0.3210668272443486,0.47231261166812893,-0.31637762407565695,-0.11437718513837704,-0.616956040723485,0.35867831384855,0.020423119535822994,0.128488992957521,-0.27448117584679876,0.31002045927222177,0.178946744936174,0.18111629076022812,0.06574490640814987,0.47285888824024963
2006-10,-0.08441085345923502,0.2243877066141655,-0.41184758943319727,0.7630976885890379,-0.5095410541344211,-0.18965321930090207,-0.9999999999999998,-0.06618489598942776,0.055179420303864295,0.2280231391877239,-0.2987373774629331,0.4539766901170909,-0.2908448417623402,0.01860454569428295,-0.5894188733159417,0.3718261792804339,0.023783624884241933,0.13374206958345192,-0.25711553261707615,0.32287112292491044,0.1456170181523016,0.16092198427923135,0.048352029320775154,0.4887268215984165
2006-11,-0.07431656274473297,0.30273565494931537,-0.389635621299429,0.7497949732656196,-0.5258919757860913,-0.17950928783860304,-1.0,-0.1119308156619139,0.063335402124781,0.28957178457548716,-0.2757227541841885,0.4319122402499916,-0.295966272845488,0.02293926149182983,-0.5840814583981901,0.34295060771627156,0.026481448374680607,0.18324285699921236,-0.25489258628249467,0.31634575999117603,0.14412531721314664,0.2139120789451896,0.05380918979492338,0.485016637404165
2006-12,-0.07591268447932707,0.2555329284964277,-0.3816755213611399,0.7397767075042477,-0.5329678388463055,-0.23263591920433058,-1.0,-0.13531211502924184,0.06212390057696326,0.2622800042345412,-0.26302468971317017,0.4173837109114962,-0.2971389501553648,-0.013982174792115337,-0.5726572638929599,0.3240745921542664,0.012892914452605505,0.17910771530883532,-0.262473429011164,0.3099270445520715,0.14605132567220008,0.21270837614261023,0.06132295439294512,0.4825880598087016
2007-01,-0.10334999959336821,0.22115118524062088,-0.40993303982740953,0.7409643461012353,-0.5402266214259003,-0.2168607110972875,-0.9999999999999998,-0.1088374834227649,0.04168298678749213,0.2234390760035356,-0.2823972375834664,0.39961717523554596,-0.3139804960635631,-0.04924086715811367,-0.5860407101492778,0.33654942109956126,0.003940517808329244,0.1694100509120751,-0.27285795630591897,0.3126346945705912,0.1363233872003461,0.1856591561698175,0.05013240924189486,0.4765497309084931
2007-02,-0.12888317269113522,0.14607066190862503,-0.43185656275979173,0.7597622625815299,-0.527455552376038,-0.19762720467023945,-1.0,-0.06251427424454063,0.0324224313682196,0.17170841448813454,-0.29271119010379554,0.39115563571011447,-0.3291927286006143,-0.07899315450794979,-0.5917276633899814,0.3744655927955331,-0.003033441336594993,0.14369119066387318,-0.2756201530767174,0.31666859162721994,0.1283366772580871,0.1458286644689022,0.049107756294568865,0.4855696980499292
2007-03,-0.1383893010333621,0.07126089764239177,-0.4597041214595641,0.7753814385761787,-0.5078503420665752,-0.18021870180584204,-1.0,-0.02112583435651812,0.0212525641056046,0.11682511487880627,-0.3028753328436634,0.39420513075987024,-0.3245242732221251,-0.11540804159874361,-0.5964702870023916,0.39411260055025527,-0.005956512849190729,0.11021389594527661,-0.29380952475310673,0.33069311629344383,0.1292169842618169,0.11221181338892541,0.03333571357478477,0.48936972004413254
2007-04,-0.1433653758470219,0.08505487686252973,-0.5772401474395622,0.7225378868860242,-0.48869709902067315,-0.19433449859843233,-1.0,0.01810115853338768,0.01924661188149143,0.1396972811572493,-0.31186583779578647,0.35445640339500506,-0.31593698907103906,-0.08619484016512698,-0.6755086116897285,0.35091558718712557,-0.039472724531080285,0.09385751694979268,-0.3524887267882822,0.24966052226687657,0.12455520223683353,0.15486355889117334,-0.01727048038372758,0.43018803371712455
