ym,EP_Q1,EP_Q2,EP_Q3,EP_Q4,EP_Q5,BP_Q1,BP_Q2,BP_Q3,BP_Q4,BP_Q5,DP_Q1,DP_Q2,DP_Q3,DP_Q4,DP_Q5,SP_Q1,SP_Q2,SP_Q3,SP_Q4,SP_Q5,EP_stab_Q1,EP_stab_Q2,EP_stab_Q3,EP_stab_Q4,EP_stab_Q5,EP_impr_Q1,EP_impr_Q2,EP_impr_Q3,EP_impr_Q4,EP_impr_Q5
2006-07,0.01580872702685344,0.00898667041920823,0.03817498475805014,0.013643615019634275,0.026326656602857962,0.008206165676947492,0.017727177959949405,0.033203304680365815,0.030579804989877626,0.013143322207230664,,0.012718541471250336,0.020116101583077133,0.023453711968450145,0.037284873282075554,0.034430071178847915,0.005609587392656527,0.04269115885386439,0.0170980797277369,0.021916263419667896,-0.003081419826987929,0.016387617968337893,0.017411254216264882,0.030969964640484158,0.024861873114065222,-0.016402316449456944,0.019685343267965272,,0.027141256240198294,0.01968628998599098
2006-08,0.07585610032827687,0.045669320570631194,0.053538046198643434,0.05250296745684747,0.0466268782363084,0.04563171448116549,0.04022758388108573,0.06209152392721212,0.06747406722311104,0.05866063670120384,,0.07021966824972037,0.0450306780874143,0.047479201797115046,0.03344488151195829,0.055417951747653904,0.0439255727044375,0.04302397521281555,0.051569610009436016,0.03906562356766488,0.1021481636987196,0.053523614695144245,0.04893986836482489,0.04951703566606992,0.04668420243332026,0.1566146331913424,0.06203556611824335,,0.04209634477317464,0.03192026220369811
2006-09,-0.02140169702091852,-0.012720388100357468,-0.0057484112136390675,0.0072197783834941414,0.04593672456516886,-0.022138598709590986,-0.0032819342962145497,0.005151083396205968,0.010976764844336117,0.02263887755570856,,-0.007915031117110938,-0.02140411071393471,0.010173862721040193,0.036408747624543214,-0.016136631310757068,-0.012994679981209194,0.008364842576484137,0.01919918388254083,0.045115748161760234,-0.029696318748804133,0.00198802637691348,-0.014690432433317146,0.003658677390661913,0.029784074262188574,-0.045974130429314634,0.0019035565787152936,,-0.01604536911396948,0.021573460423289236
2006-10,0.027949206257645628,0.016825643907773333,0.04467637025199368,0.06207093289476409,0.10355957275785,0.05988809828209156,0.03410374373749749,0.04730119376635427,0.05792614558410353,0.05586254469997991,,0.03157643404762822,0.05253908847745813,0.05912286310996905,0.08692243462407799,0.05850865399611019,0.05220207838748079,0.04868419563846384,0.07119682321219822,0.08410572109667903,0.011125484629541226,0.05566545723064337,0.024727887803201173,0.055756576049613704,0.08370853691689326,,0.040699601644880554,,0.043434392361323515,0.09523129744532709
2006-11,0.05434978905719177,0.04413888465925991,0.05871122560440405,0.0857051634453227,0.09591637359164092,0.06682720360989662,0.06653011910974005,0.05662549683592603,0.07952571799918844,0.0693128988030682,,0.061810523280820255,0.05353866211761003,0.07862956618795025,0.08032714528084836,0.04945907896720494,0.049731830792053115,0.08937153683094223,0.08421554112044227,0.09958854795921288,0.058087287497130394,0.06765253741315909,0.04438016151577819,0.07633214640207149,0.09068204873702017,,0.06338419460275649,,0.060058461540434205,0.09297806914379533
2006-12,0.27966657667813016,0.2683661030615719,0.2837874793213164,0.2257594764603699,0.24442521550098115,0.274828741016122,0.26558954723366984,0.2597870903588392,0.2604327435389505,0.24138102086836843,,0.2933663127349511,0.228349960537528,0.23523802620163306,0.23038328705100747,0.23882020322175349,0.2373060836971329,0.24209351683236777,0.25921796330903374,0.23155817706903453,0.2550835848002891,0.29516975454326555,0.2659243367578986,0.24931111822980642,0.2207715703671716,,0.2588485102211224,,0.25194034029810775,0.23097303559337978
2007-01,0.27419694989818477,0.22778887098584227,0.2132416577027277,0.15835724230117862,0.15701271387339807,0.16587539682967017,0.19835990933248548,0.2366540982040139,0.2146431522954404,0.21468241516672798,,0.2604061458396898,0.14535953233930599,0.16141723885673073,0.1636820041949427,0.17305999451649823,0.15611676672220984,0.23380837185651582,0.16615038010819802,0.1558840303248957,0.21485066327685812,0.24507467688286705,0.2304454260980576,0.19310712044148803,0.16234633084578107,,0.2185414326789134,,0.2125079187764808,0.15741608404020807
2007-02,0.25588052882156936,0.17608454833422596,0.16676818764997023,0.16011677714216133,0.12906268922921385,0.16427323317248618,0.15466626464979125,0.17976579937596643,0.20058013228796712,0.18825996671932652,,0.2179411739363539,0.14515435084891354,0.1391581529830069,0.14295056893988634,0.15848814508640544,0.15941656996581646,0.14131303974230747,0.16078971893942418,0.14165337008361967,0.20184443764671134,0.19235894736142609,0.17329073787734867,0.16674955783883183,0.1435916211094859,,0.1914040644412999,,0.17334182390807418,0.13557906146072934
2007-03,0.3720275004418729,0.37633802442479375,0.34562906236442387,0.29374264742943546,0.30738054484720573,0.3268496444119286,0.32069395486865065,0.34449102301992274,0.36144194801949603,0.34148857036286717,,0.3582355957522983,0.3269640959335841,0.2998550357249815,0.3400358737160794,0.36458119092359126,0.36497081955401656,0.29088696008811293,0.30344633721479286,0.31166660847521016,0.3863605487564529,0.32458047840937837,0.37872082083832226,0.32584002690967806,0.32598666317044844,,0.3571266999112788,,0.3339618403150827,0.29393283282644533
2007-04,0.1099103419592222,0.08931391098508565,0.08789544615276199,0.11313295611288193,0.15526717179040914,0.07739322387692743,0.1096201067394691,0.09334011468218247,0.14402384364879334,0.13101948146411183,,0.1359194327304329,0.07294913813915736,0.08753061848189099,0.09090765716364428,0.07530726406387386,0.08715676191284119,0.0853375070582159,0.11834274881907006,0.10801190017387334,0.1425205137817967,0.045467905145411804,0.08211898031986226,0.08585965912888963,0.13088887655441053,,0.11080025707094826,-0.033193419349758314,0.08639704508414296,0.12421452640285661
