,V1_lam015_mixed,V2_lam030_mixed,V4_base_lam0,V3_base_strict,V3_lam015_strict
2007-04,,,0.13882803253506584,,
2007-05,,,-0.07355896351136963,,
2007-06,,,0.2806527158721765,,
2007-07,,,-0.20857334869431646,,
2007-08,,,-0.029704354652920293,,
2007-09,,,-0.0001211478115311865,,
2007-10,,,0.2978858068217558,,
2007-11,,,0.08985291635700327,,
2007-12,,,0.19210519389681135,,
2008-01,,,0.1535712374237591,,
2008-02,,,0.1635899737390145,,
2008-03,,,-0.0826085693808634,-0.32597402597402597,
2008-04,,,0.15557817418492978,0.36590920640008623,
2008-05,,,-0.026802489302711174,-0.06341463414634148,
2008-06,,,0.3065174394229395,0.1347759155397939,
2008-07,,,0.18099665651277402,0.037829878835433296,
2008-08,,,-0.0717111416697815,-0.2730188097440641,
2008-09,,,0.2205116712267237,0.2571805006587615,
2008-10,,,0.1672167247897794,0.23689844869401552,
2008-11,,,0.26074531363517484,0.3522513918706622,
2008-12,,,0.09043163814004106,-0.0017127799736495386,
2009-01,,,0.0877898571414771,0.5662714097496705,
2009-02,,,0.113042046418338,-0.08102766798418971,
2009-03,,,0.190212851256434,0.26318223866790014,
2009-04,,,0.029560116325257253,-0.08951257453979777,
2009-05,,,-0.031912256980334945,-0.10001296344309049,
2009-06,,,-0.07040778667567928,-0.18790510759657766,
2009-07,,,0.268549858864368,0.3968758102151932,
2009-08,,,0.13182206184172332,0.09464285714285714,
2009-09,,,0.12433911184309697,0.28168498168498163,
2009-10,,,0.2254532628355305,0.394493006993007,
2009-11,,,0.23392588808687576,0.154763986013986,
2009-12,,,0.247561566096087,0.3231604216678844,
2010-01,,,0.11832183539047499,0.1968270535434715,
2010-02,,,0.23888575373518176,0.23607139129527188,
2010-03,,,0.11380697084229163,0.1206343329631001,
2010-04,,,0.04141046079921698,0.04998539692369549,
2010-05,,,0.10607928469746426,0.10610510754813895,
2010-06,,,0.11682944107398605,0.13291070128831348,
2010-07,,,0.17404009832271727,0.1833017167961609,
2010-08,,,0.0011993304125433256,0.005442636473522781,
2010-09,,,-0.10838148786486146,-0.11027915718113857,
2010-10,,,0.25599016464909397,0.26124345306864627,
2010-11,,,0.10712307164786998,0.11162620401396967,
2010-12,,,0.07181227734323767,0.06809039112752939,
2011-01,,,0.06255177243697896,0.057918515280754396,
2011-02,,,0.10747363342757148,0.1030481909583129,
2011-03,,,0.02312511036076923,0.025314028052295084,
2011-04,,,0.04656797174833611,0.04929793982731714,
2011-05,,,0.03239687459947406,0.03981560661929102,
2011-06,,,0.19580069757749619,0.20015053073694514,
2011-07,,,0.23249984021557418,0.23536799734259864,
2011-08,,,0.08995709852877522,0.08876109936712571,
2011-09,,,0.10217979321389825,0.10027919197690377,
2011-10,,,0.24174142782496771,0.24290019564843104,
2011-11,,,0.016428489565293067,0.02383151575705118,
2011-12,,,-0.20527961745605042,-0.20754671942063144,
2012-01,,,0.2141544926662761,0.21410963341792683,
2012-02,,,0.1614472254390023,0.16082439855732222,
2012-03,,,-0.06613994948783174,-0.07140413620030316,
2012-04,,,0.18006383453829508,0.18382322249577288,
2012-05,,,0.2599321130182629,0.2703997691538874,
2012-06,,,-0.0461730938185182,-0.042446803951376226,
2012-07,,,0.32965910575697643,0.32496853913838214,
2012-08,,,-0.09537743146559885,-0.09563030546804363,
2012-09,,,0.12356874116149304,0.11985038973506919,
2012-10,,,-0.03306407336708577,-0.03140217659854783,
2012-11,,,0.012686505721718195,0.015532681817657846,
2012-12,,,0.090915269706781,0.09007691352699221,
2013-01,,,0.26323937629584615,0.26703583021190375,
2013-02,,,0.13842684345037953,0.14358633304861704,
2013-03,,,0.08807634144599398,0.09173486002481186,
2013-04,,,0.22084955266284523,0.21926407195748066,
2013-05,,,0.08746071769236989,0.08972455144977234,
2013-06,,,0.1722392567077812,0.17393612917457077,
2013-07,,,0.08810208425382961,0.08741324035767681,
2013-08,,,0.0939447885747677,0.09397885050600328,
2013-09,,,0.16012538598601214,0.1607075461753134,
2013-10,,,0.276703322331984,0.27661410214267146,
2013-11,,,0.2456515200974445,0.24816524100992682,
2013-12,,,0.20096701599139727,0.20078363286561338,
2014-01,,,0.1429617612415767,0.1425992388510478,
2014-02,,,0.16727331268543774,0.1662964600909809,
2014-03,,,0.1009617151104516,0.10020175630451103,
2014-04,,,0.16917805529318247,0.16953316578175887,
2014-05,,,0.2039364564229646,0.20394175677118834,
2014-06,,,0.059526333159243744,0.05620320569383853,
2014-07,,,0.235881534213146,0.2338441549516199,
2014-08,,,0.245051049787127,0.24029350579908235,
2014-09,,,0.09107307932157231,0.09239150696525632,
2014-10,,,0.07158160084578745,0.07126680356707678,
2014-11,,,-0.25725564590471145,-0.2563139248503716,
2014-12,,,0.2471800844322141,0.24825173034918857,
2015-01,,,0.09064384474311314,0.0903925269089615,
2015-02,,,0.20936448455066875,0.20745072834285164,
2015-03,,,0.07621684686797525,0.07375214467181572,
2015-04,,,0.35593636594246175,0.3537431702433709,
2015-05,,,0.0680313477899472,0.06966623459846576,
2015-06,,,0.023287625048536938,0.030745623497623827,
2015-07,,,0.11225019528573622,0.1096144654552249,
2015-08,,,0.22291142998556737,0.22440765235166457,
2015-09,,,0.1436577537641536,0.1397924672778082,
2015-10,,,0.2957313436509686,0.29276432346804,
2015-11,,,0.28466887360775683,0.2835953069261764,
2015-12,,,0.15066848013566309,0.15335929584171867,
2016-01,,,0.09381023634136405,0.09278780897561854,
2016-02,,,0.14783457579073275,0.1460450566952117,
2016-03,,,0.28966866677633196,0.28764450602606156,
2016-04,,,0.02090216386582635,0.025661961000669604,
2016-05,,,0.1737931646416347,0.178844093977291,
2016-06,,,0.18467339702404093,0.18643615509786285,
2016-07,,,0.27998249522563934,0.27931789867390655,
2016-08,,,0.2729294575341007,0.27135528239798745,
2016-09,,,0.16332194819561857,0.1615076510832469,
2016-10,,,0.15940167752504192,0.15792323887135395,
2016-11,,,0.11615861722436045,0.11480534370550294,
2016-12,,,-0.028528285425901037,-0.027438886544206457,
2017-01,,,0.11165124419519476,0.11147485775350856,
2017-02,,,0.05354186862266131,0.05461939999832002,
2017-03,,,-0.031590387503209076,-0.029003040695151014,
2017-04,,,-0.03365342508162185,-0.03492136094649614,
2017-05,,,0.016038576684468342,0.024542448918339184,
2017-06,,,-0.007255550356004574,-0.004359298105407847,
2017-07,,,0.10711519293597677,0.10243425108638105,
2017-08,,,0.061902985261436616,0.06152408824503542,
2017-09,,,0.06647040411144724,0.07404602998589893,
2017-10,,,-0.1046617950277839,-0.10168365446154766,
2017-11,,,-0.058623465697927694,-0.05428716781737061,
2017-12,,,-0.005768681532582689,-0.0011863211437950956,
2018-01,,,-0.06814073134117353,-0.06314918531675105,
2018-02,,,0.19629107391238207,0.19174461027829784,
2018-03,,,0.034731497436111404,0.03509000976214965,
2018-04,,,0.14120223855271283,0.1446748737548843,
2018-05,,,-0.05039715986155088,-0.047644830296783104,
2018-06,,,0.10365340331580102,0.10132270961509843,
2018-07,,,0.011438810181245639,0.005155661233840229,
2018-08,,,-0.023494173079481772,-0.026735924811399095,
2018-09,,,0.18780590717697948,0.18993218244400925,
2018-10,,,0.15915720232241207,0.1542386701682432,
2018-11,,,0.11581501510787706,0.11891022681143747,
2018-12,,,-0.027798097688872293,-0.0245172460383486,
2019-01,,,-0.025122594640121596,-0.03148453535930656,
2019-02,,,0.07478002106031306,0.07345705684793652,
2019-03,,,0.06411350673007983,0.06497048119609711,
2019-04,,,0.18896354634334311,0.18952839114794617,
2019-05,,,0.049920408174382674,0.05317086373239704,
2019-06,,,0.07681420839885737,0.0745041210794882,
2019-07,,,-0.10607630427001843,-0.10853259724953028,
2019-08,,,0.11841592977830043,0.12229882704502648,
2019-09,,,0.053007286038517246,0.059897968340139336,
2019-10,,,-0.0008752246484887595,0.001994904270919362,
2019-11,,,0.014935297216419171,0.017682416747934585,
2019-12,,,-0.06226660782595862,-0.056691829786076196,
2020-01,,,-0.1508225744404881,-0.14811120193911004,
2020-02,,,0.356468266054078,0.35572298534156205,
2020-03,,,-0.14026417116083748,-0.13522200995955938,
2020-04,,,0.11988833621024116,0.11951451863117794,
2020-05,,,-0.14039431719082782,-0.1337053236842664,
2020-06,,,0.06605609085531661,0.06837482864722658,
2020-07,,,0.18372885861375854,0.17902805550541429,
2020-08,,,0.12188255199873708,0.11817012565065851,
2020-09,,,0.07075646486429818,0.0742975146010155,
2020-10,,,0.14881941733907159,0.1417934201256499,
2020-11,,,-0.18650076747658945,-0.17898183024685133,
2020-12,,,-0.11240588462583505,-0.099981424946597,
2021-01,,,0.24607262980469718,0.24241815191259863,
2021-02,,,0.31419763603295,0.3137216963128892,
2021-03,,,-0.041091984544367244,-0.04473069772212234,
2021-04,,,-0.012406426156581737,-0.014797234101717505,
2021-05,,,0.0836719966426075,0.08292154469686953,
2021-06,,,0.01927815383513677,0.019613322944811464,
2021-07,,,0.12797960452432403,0.12974325179932591,
2021-08,,,0.1538234438392164,0.14874785624465836,
2021-09,,,-0.07549906667469791,-0.07188368866842999,
2021-10,,,0.191675891359585,0.1893791782398228,
2021-11,,,0.2585908703335485,0.2530813790782509,
2021-12,,,0.33601980350767635,0.331550609316221,
2022-01,,,0.02344715719275895,0.024713771285999393,
2022-02,,,0.2502144326270202,0.24030415899690946,
2022-03,,,0.002861200915733938,0.011715354823155947,
2022-04,,,0.10840413616171836,0.1073121621368099,
2022-05,,,-0.054217664076538656,-0.05352355632119921,
2022-06,,,0.23423476541747204,0.22862819446878901,
2022-07,,,0.12108020447502604,0.12042399274888177,
2022-08,,,0.04981469509655392,0.05220831315484378,
2022-09,,,0.16507197075599683,0.15987437156019402,
2022-10,,,0.09999104719414509,0.0956906051056131,
2022-11,,,-0.033099746906068726,-0.03291259046450712,
2022-12,,,0.11883896685639074,0.12242180347959818,
2023-01,,,0.2823086501856733,0.27881457061857556,
2023-02,,,0.005961429996848005,6.618634227490616e-05,
2023-03,,,0.04375889466453752,0.04481769936920734,
2023-04,,,0.26297490578910604,0.2631868490464905,
2023-05,,,0.14442829192077472,0.14833606298361265,
2023-06,,,0.24520042873006848,0.2383582596647648,
2023-07,,,0.18475267057029665,0.18092025822481353,
2023-08,,,0.17975859541622394,0.1806298474370835,
2023-09,,,0.07524037781811789,0.0601397569997826,
2023-10,,,0.19115913732896234,0.18465429370413441,
2023-11,,,0.10453108740832741,0.10794138204936102,
2023-12,,,0.04357665383254934,0.054702558711238296,
2024-01,,,-0.455639148619476,-0.43908291636824237,
2024-02,,,0.30991184028662816,0.3072639964593392,
2024-03,,,0.007406789379674741,0.02242211484420394,
2024-04,,,0.161745275877545,0.16821235272635796,
2024-05,,,-0.10819381512217867,-0.10220470699725367,
2024-06,,,0.07714760217108861,0.06315432315015578,
2024-07,,,0.17267669002876632,0.1665148269459281,
2024-08,,,-0.05656630378516847,-0.07123860593729876,
2024-09,,,0.03782176070923438,0.015381746228475374,
2024-10,,,0.31648357550492034,0.3129112206216561,
2024-11,,,-0.012230402717754626,0.006285320884920208,
2024-12,,,0.1572538239087036,0.1684437303837088,
2025-01,,,0.02113513399381955,0.004639823528726318,
2025-02,,,0.1923081050973077,0.206225964453131,
2025-03,,,0.19783575823289756,0.19238457517243734,
2025-04,,,0.27122451611229176,0.2629609801520635,
2025-05,,,0.09925089083885852,0.09273786113941877,
2025-06,,,0.149194725243624,0.15073849011414914,
2025-07,,,-0.19224636604071688,-0.18616292448777913,
2025-08,,,0.05539534804069143,0.054561092681614264,
2025-09,,,0.28971345087576456,0.28543349551559294,
2025-10,,,0.23135697085003903,0.22218721149171358,
2025-11,,,-0.1254626358719673,-0.11466436841622722,
2025-12,,,0.14332518338153513,0.14513779438721858,
2026-01,,,0.05141215972274809,0.04718129732069588,
2026-02,,,0.20069367525482282,0.1992619356322948,
2026-03,,,-0.044244634889004,-0.046281491984584394,
2026-04,,,-0.14881028515744776,-0.1479929969857435,
2026-05,,,-0.25211066276673794,-0.24652352057383992,
2026-06,,,0.42109677697588355,0.42329966234354877,
2026-07,,,-0.15499371271959578,-0.1609759918276272,
