,ic
2007-08,-0.026492093715131518
2007-09,-0.09296349783160143
2007-10,0.07444114996257145
2007-11,0.019196237945817755
2008-04,0.0664255029062125
2008-05,-0.020232396127603067
2008-08,-0.048133692706210686
2008-09,0.06175229928858945
2008-10,0.037078585728914176
2008-11,0.036127604595454
2009-04,-0.09163902324080034
2009-05,0.02266516074702355
2009-08,0.003734667168407778
2009-09,-0.11386867789240135
2009-10,0.018445202355936274
2009-11,0.053257902213949215
2010-04,-0.004737622178064467
2010-05,-0.03479454131817434
2010-07,0.24449426862074303
2010-08,0.03329802515019968
2010-09,-0.07324355071712849
2010-10,0.07553672450955486
2010-11,0.014849475233948974
2011-02,0.09269546003491144
2011-03,0.10533357118168042
2011-04,0.009910681981256894
2011-05,0.046211983104105535
2011-07,0.0989355898008304
2011-08,0.03570683000765514
2011-09,0.0418645818053748
2011-10,0.0686186562102642
2011-11,-0.038604868143715367
2012-02,0.001797588300770541
2012-03,0.06163058608328217
2012-04,0.015371299697531274
2012-05,0.12175140943013897
2012-07,0.25872125335761736
2012-08,-0.007620422478001184
2012-09,0.060753465647669154
2012-10,0.05851245491347402
2012-11,-0.07205826300523499
2013-02,0.1008166332611175
2013-03,-0.0038790545118914514
2013-04,-0.027256211173167635
2013-05,0.10380902403145527
2013-07,-0.09622517716679288
2013-08,0.0030641919258102106
2013-09,0.06030422396446985
2013-10,0.04550287034043726
2013-11,0.08240553344030632
2014-02,0.05826608180714945
2014-03,0.019180082089351545
2014-04,0.024460751108944242
2014-05,0.1295800967732207
2014-07,0.31417368426576936
2014-08,0.07030237766204167
2014-09,-0.018704258579122623
2014-10,-0.015529948750208234
2014-11,-0.059881970136653626
2015-02,0.21369797625636608
2015-03,0.11619900004831965
2015-04,0.06487354250978937
2015-05,0.008711641809339785
2015-07,-0.03995963247333127
2015-08,0.12671206128161042
2015-09,0.03721266290796211
2015-10,0.02604128703356841
2015-11,0.07179692065332048
2016-02,0.2949510035466784
2016-03,0.09543415473288257
2016-04,0.039110668743724555
2016-05,0.03549689837519416
2016-07,-0.030215051804801617
2016-08,0.027869713216049766
2016-09,0.0066606593159473865
2016-10,-0.03831941961761729
2016-11,0.016101577280001285
2017-02,-0.18528204768795736
2017-03,-0.014123377595688736
2017-04,-0.061707803275824896
2017-05,0.04906891671458241
2017-08,0.012246087231316392
2017-09,-0.0013222558918772425
2017-10,0.0012596684472894243
2017-11,0.014720664602455646
2018-03,0.00236162995052748
2018-04,-0.02304811297625688
2018-05,0.007592961237572942
2018-07,-0.11025267646971626
2018-08,-0.007248107467152668
2018-09,0.0036576817715093506
2018-10,0.008494656353070349
2018-11,-0.007060385856835203
2019-03,-0.03919498609424492
2019-04,0.07502143037419812
2019-05,0.030644677040641034
2019-07,0.0469240526593207
2019-08,-0.001092252654041124
2019-09,0.02146592258114302
2019-10,-0.04434462138905197
2019-11,-0.02844409154842506
2020-03,-0.11033813602892201
2020-04,-0.03240940942038734
2020-05,0.012824250827597672
2020-07,0.10095428322482611
2020-08,0.056217579868221824
2020-09,0.00393944873864192
2020-10,0.014771153657173172
2020-11,0.0303659187535631
2021-03,0.0035614853402924124
2021-04,-0.03454094673351541
2021-05,0.06163764665822578
2021-08,-0.04097528340715471
2021-09,-0.02832914934434517
2021-10,0.058567302391700334
2021-11,-0.003115810084673895
2022-03,0.09820031399277283
2022-04,0.015119309312815988
2022-05,0.000916266578540324
2022-08,0.05131292012417399
2022-09,0.0022149843071358247
2022-10,0.010966362062340987
2022-11,-0.01901895795516358
2023-03,0.1649132499262761
2023-04,0.07518224207771484
2023-05,0.09976003941616078
2023-08,0.027862188154862175
2023-09,-0.0772847717672543
2023-10,0.0940982335497544
2023-11,0.026863983922185187
2024-03,0.20556063857058604
2024-04,0.03225292537678699
2024-05,0.011260636321876124
2024-08,-0.08789305607057937
2024-09,0.027283031480026598
2024-10,0.06397822146460899
2024-11,0.0692563484711333
2025-03,-0.02995090417199984
2025-04,0.08499816360670745
2025-05,0.057165007793725055
2025-08,0.01737916569815346
2025-09,0.10449531475846098
2025-10,0.017242603000199093
2025-11,-0.003049100563759603
2026-03,-0.11223975305308419
2026-04,-0.02555083576864875
2026-05,-0.01686315977541502
